"Step","chocolate-eon-503 - position_y","chocolate-eon-503 - position_y__MIN","chocolate-eon-503 - position_y__MAX","kind-glitter-492 - position_y","kind-glitter-492 - position_y__MIN","kind-glitter-492 - position_y__MAX","restful-moon-491 - position_y","restful-moon-491 - position_y__MIN","restful-moon-491 - position_y__MAX"
"0","-0.2757767915215832","-0.2757767915215832","-0.2757767915215832","-0.2757767915215832","-0.2757767915215832","-0.2757767915215832","-0.2757767915215832","-0.2757767915215832","-0.2757767915215832"
"1","-0.27695539959043","-0.27695539959043","-0.27695539959043","-0.2769657522091664","-0.2769657522091664","-0.2769657522091664","-0.27695301748953466","-0.27695301748953466","-0.27695301748953466"
"2","-0.2788713121966604","-0.2788713121966604","-0.2788713121966604","-0.2789095856310044","-0.2789095856310044","-0.2789095856310044","-0.27885905063966604","-0.27885905063966604","-0.27885905063966604"
"3","-0.2814888848713772","-0.2814888848713772","-0.2814888848713772","-0.28157318076597254","-0.28157318076597254","-0.28157318076597254","-0.2814599264365275","-0.2814599264365275","-0.2814599264365275"
"4","-0.28478317568392436","-0.28478317568392436","-0.28478317568392436","-0.28493261222498717","-0.28493261222498717","-0.28493261222498717","-0.2847324655207966","-0.2847324655207966","-0.2847324655207966"
"5","-0.28872823848306106","-0.28872823848306106","-0.28872823848306106","-0.28896258785595924","-0.28896258785595924","-0.28896258785595924","-0.28865138236410215","-0.28865138236410215","-0.28865138236410215"
"6","-0.29329664201616146","-0.29329664201616146","-0.29329664201616146","-0.29363578503565235","-0.29363578503565235","-0.29363578503565235","-0.29319034773219704","-0.29319034773219704","-0.29319034773219704"
"7","-0.29855099031055865","-0.29855099031055865","-0.29855099031055865","-0.2990163939898099","-0.2990163939898099","-0.2990163939898099","-0.29840995451729535","-0.29840995451729535","-0.29840995451729535"
"8","-0.3044116549515411","-0.3044116549515411","-0.3044116549515411","-0.30502797778989793","-0.30502797778989793","-0.30502797778989793","-0.30423055761319473","-0.30423055761319473","-0.30423055761319473"
"9","-0.3109373880212943","-0.3109373880212943","-0.3109373880212943","-0.31165779890572154","-0.31165779890572154","-0.31165779890572154","-0.31063935990735075","-0.31063935990735075","-0.31063935990735075"
"10","-0.31808153983260856","-0.31808153983260856","-0.31808153983260856","-0.3188604690458229","-0.3188604690458229","-0.3188604690458229","-0.31758832133760045","-0.31758832133760045","-0.31758832133760045"
"11","-0.3258588949748769","-0.3258588949748769","-0.3258588949748769","-0.32661763974801433","-0.32661763974801433","-0.32661763974801433","-0.32505779175119703","-0.32505779175119703","-0.32505779175119703"
"12","-0.33424064297868405","-0.33424064297868405","-0.33424064297868405","-0.33489301349417716","-0.33489301349417716","-0.33489301349417716","-0.33300674091686694","-0.33300674091686694","-0.33300674091686694"
"13","-0.3432358731743863","-0.3432358731743863","-0.3432358731743863","-0.3436545256346353","-0.3436545256346353","-0.3436545256346353","-0.34140006326396155","-0.34140006326396155","-0.34140006326396155"
"14","-0.352810447401604","-0.352810447401604","-0.352810447401604","-0.35286476702209135","-0.35286476702209135","-0.35286476702209135","-0.35020868435616076","-0.35020868435616076","-0.35020868435616076"
"15","-0.3629798497761875","-0.3629798497761875","-0.3629798497761875","-0.36255941493505384","-0.36255941493505384","-0.36255941493505384","-0.35948140240056636","-0.35948140240056636","-0.35948140240056636"
"16","-0.37377790752428314","-0.37377790752428314","-0.37377790752428314","-0.37269461281406224","-0.37269461281406224","-0.37269461281406224","-0.3692614028944127","-0.3692614028944127","-0.3692614028944127"
"17","-0.38515703664413964","-0.38515703664413964","-0.38515703664413964","-0.3832891626235519","-0.3832891626235519","-0.3832891626235519","-0.37957155522704616","-0.37957155522704616","-0.37957155522704616"
"18","-0.3971357015227397","-0.3971357015227397","-0.3971357015227397","-0.39436785632373045","-0.39436785632373045","-0.39436785632373045","-0.39042487562036493","-0.39042487562036493","-0.39042487562036493"
"19","-0.40973912709548277","-0.40973912709548277","-0.40973912709548277","-0.4058696276337916","-0.4058696276337916","-0.4058696276337916","-0.40183391408364694","-0.40183391408364694","-0.40183391408364694"
"20","-0.42292014223534424","-0.42292014223534424","-0.42292014223534424","-0.4178084676297361","-0.4178084676297361","-0.4178084676297361","-0.41381022454067046","-0.41381022454067046","-0.41381022454067046"
"21","-0.4366979930423908","-0.4366979930423908","-0.4366979930423908","-0.4302030075210075","-0.4302030075210075","-0.4302030075210075","-0.42636532364480695","-0.42636532364480695","-0.42636532364480695"
"22","-0.4510263541273197","-0.4510263541273197","-0.4510263541273197","-0.4430674404164687","-0.4430674404164687","-0.4430674404164687","-0.4395101429832016","-0.4395101429832016","-0.4395101429832016"
"23","-0.46592717994714117","-0.46592717994714117","-0.46592717994714117","-0.45641243764446027","-0.45641243764446027","-0.45641243764446027","-0.45325556893342983","-0.45325556893342983","-0.45325556893342983"
"24","-0.48142513177859225","-0.48142513177859225","-0.48142513177859225","-0.4702463222246161","-0.4702463222246161","-0.4702463222246161","-0.46761174752968204","-0.46761174752968204","-0.46761174752968204"
"25","-0.49747352419628393","-0.49747352419628393","-0.49747352419628393","-0.48458021916655786","-0.48458021916655786","-0.48458021916655786","-0.4825915586958116","-0.4825915586958116","-0.4825915586958116"
"26","-0.5140959439840029","-0.5140959439840029","-0.5140959439840029","-0.4994274129471717","-0.4994274129471717","-0.4994274129471717","-0.49820787484516754","-0.49820787484516754","-0.49820787484516754"
"27","-0.5312476480758949","-0.5312476480758949","-0.5312476480758949","-0.514804190688949","-0.514804190688949","-0.514804190688949","-0.5143999953692083","-0.5143999953692083","-0.5143999953692083"
"28","-0.548954534126868","-0.548954534126868","-0.548954534126868","-0.5307288094894592","-0.5307288094894592","-0.5307288094894592","-0.5311888495688076","-0.5311888495688076","-0.5311888495688076"
"29","-0.5671723811817981","-0.5671723811817981","-0.5671723811817981","-0.5472217431335227","-0.5472217431335227","-0.5472217431335227","-0.5485212985731207","-0.5485212985731207","-0.5485212985731207"
"30","-0.5859280933499492","-0.5859280933499492","-0.5859280933499492","-0.5643038703989697","-0.5643038703989697","-0.5643038703989697","-0.5663479761954376","-0.5663479761954376","-0.5663479761954376"
"31","-0.6051773878182921","-0.6051773878182921","-0.6051773878182921","-0.5819961485734145","-0.5819961485734145","-0.5819961485734145","-0.5846227341536065","-0.5846227341536065","-0.5846227341536065"
