"Step","kind-glitter-492 - position_y","kind-glitter-492 - position_y__MIN","kind-glitter-492 - position_y__MAX","restful-moon-491 - position_y","restful-moon-491 - position_y__MIN","restful-moon-491 - position_y__MAX"
"0","-0.2757767915215832","-0.2757767915215832","-0.2757767915215832","-0.2757767915215832","-0.2757767915215832","-0.2757767915215832"
"1","-0.2769657522091664","-0.2769657522091664","-0.2769657522091664","-0.27695301748953466","-0.27695301748953466","-0.27695301748953466"
"2","-0.2789095856310044","-0.2789095856310044","-0.2789095856310044","-0.27885905063966604","-0.27885905063966604","-0.27885905063966604"
"3","-0.28157318076597254","-0.28157318076597254","-0.28157318076597254","-0.2814599264365275","-0.2814599264365275","-0.2814599264365275"
"4","-0.28493261222498717","-0.28493261222498717","-0.28493261222498717","-0.2847324655207966","-0.2847324655207966","-0.2847324655207966"
"5","-0.28896258785595924","-0.28896258785595924","-0.28896258785595924","-0.28865138236410215","-0.28865138236410215","-0.28865138236410215"
"6","-0.29363578503565235","-0.29363578503565235","-0.29363578503565235","-0.29319034773219704","-0.29319034773219704","-0.29319034773219704"
"7","-0.2990163939898099","-0.2990163939898099","-0.2990163939898099","-0.29840995451729535","-0.29840995451729535","-0.29840995451729535"
"8","-0.30502797778989793","-0.30502797778989793","-0.30502797778989793","-0.30423055761319473","-0.30423055761319473","-0.30423055761319473"
"9","-0.31165779890572154","-0.31165779890572154","-0.31165779890572154","-0.31063935990735075","-0.31063935990735075","-0.31063935990735075"
"10","-0.3188604690458229","-0.3188604690458229","-0.3188604690458229","-0.31758832133760045","-0.31758832133760045","-0.31758832133760045"
"11","-0.32661763974801433","-0.32661763974801433","-0.32661763974801433","-0.32505779175119703","-0.32505779175119703","-0.32505779175119703"
"12","-0.33489301349417716","-0.33489301349417716","-0.33489301349417716","-0.33300674091686694","-0.33300674091686694","-0.33300674091686694"
"13","-0.3436545256346353","-0.3436545256346353","-0.3436545256346353","-0.34140006326396155","-0.34140006326396155","-0.34140006326396155"
"14","-0.35286476702209135","-0.35286476702209135","-0.35286476702209135","-0.35020868435616076","-0.35020868435616076","-0.35020868435616076"
"15","-0.36255941493505384","-0.36255941493505384","-0.36255941493505384","-0.35948140240056636","-0.35948140240056636","-0.35948140240056636"
"16","-0.37269461281406224","-0.37269461281406224","-0.37269461281406224","-0.3692614028944127","-0.3692614028944127","-0.3692614028944127"
"17","-0.3832891626235519","-0.3832891626235519","-0.3832891626235519","-0.37957155522704616","-0.37957155522704616","-0.37957155522704616"
"18","-0.39436785632373045","-0.39436785632373045","-0.39436785632373045","-0.39042487562036493","-0.39042487562036493","-0.39042487562036493"
"19","-0.4058696276337916","-0.4058696276337916","-0.4058696276337916","-0.40183391408364694","-0.40183391408364694","-0.40183391408364694"
"20","-0.4178084676297361","-0.4178084676297361","-0.4178084676297361","-0.41381022454067046","-0.41381022454067046","-0.41381022454067046"
"21","-0.4302030075210075","-0.4302030075210075","-0.4302030075210075","-0.42636532364480695","-0.42636532364480695","-0.42636532364480695"
"22","-0.4430674404164687","-0.4430674404164687","-0.4430674404164687","-0.4395101429832016","-0.4395101429832016","-0.4395101429832016"
"23","-0.45641243764446027","-0.45641243764446027","-0.45641243764446027","-0.45325556893342983","-0.45325556893342983","-0.45325556893342983"
"24","-0.4702463222246161","-0.4702463222246161","-0.4702463222246161","-0.46761174752968204","-0.46761174752968204","-0.46761174752968204"
"25","-0.48458021916655786","-0.48458021916655786","-0.48458021916655786","-0.4825915586958116","-0.4825915586958116","-0.4825915586958116"
"26","-0.4994274129471717","-0.4994274129471717","-0.4994274129471717","-0.49820787484516754","-0.49820787484516754","-0.49820787484516754"
"27","-0.514804190688949","-0.514804190688949","-0.514804190688949","-0.5143999953692083","-0.5143999953692083","-0.5143999953692083"
"28","-0.5307288094894592","-0.5307288094894592","-0.5307288094894592","-0.5311888495688076","-0.5311888495688076","-0.5311888495688076"
"29","-0.5472217431335227","-0.5472217431335227","-0.5472217431335227","-0.5485212985731207","-0.5485212985731207","-0.5485212985731207"
"30","-0.5643038703989697","-0.5643038703989697","-0.5643038703989697","-0.5663479761954376","-0.5663479761954376","-0.5663479761954376"
"31","-0.5819961485734145","-0.5819961485734145","-0.5819961485734145","-0.5846227341536065","-0.5846227341536065","-0.5846227341536065"
"32","-0.6003209757273142","-0.6003209757273142","-0.6003209757273142","-0.6033016103060365","-0.6033016103060365","-0.6033016103060365"
"33","-0.6193025794224907","-0.6193025794224907","-0.6193025794224907","-0.6223415690654635","-0.6223415690654635","-0.6223415690654635"
"34","-0.6389676098195374","-0.6389676098195374","-0.6389676098195374","-0.6417783836300576","-0.6417783836300576","-0.6417783836300576"
"35","-0.6593444769136989","-0.6593444769136989","-0.6593444769136989","-0.6616447984083689","-0.6616447984083689","-0.6616447984083689"
"36","-0.6803832219352295","-0.6803832219352295","-0.6803832219352295","-0.6819727343377219","-0.6819727343377219","-0.6819727343377219"
"37","-0.7020405849749629","-0.7020405849749629","-0.7020405849749629","-0.7027922732214559","-0.7027922732214559","-0.7027922732214559"
"38","-0.724278231298469","-0.724278231298469","-0.724278231298469","-0.72413267669724","-0.72413267669724","-0.72413267669724"
"39","-0.7470597087781208","-0.7470597087781208","-0.7470597087781208","-0.7460244843233802","-0.7460244843233802","-0.7460244843233802"
"40","-0.77034926020431","-0.77034926020431","-0.77034926020431","-0.7684187738639415","-0.7684187738639415","-0.7684187738639415"
"41","-0.79411021001108","-0.79411021001108","-0.79411021001108","-0.7912712024274249","-0.7912712024274249","-0.7912712024274249"
"42","-0.8183043509492649","-0.8183043509492649","-0.8183043509492649","-0.8145393298557522","-0.8145393298557522","-0.8145393298557522"
"43","-0.8428911558058014","-0.8428911558058014","-0.8428911558058014","-0.8381820496770962","-0.8381820496770962","-0.8381820496770962"
"44","-0.867907544722629","-0.867907544722629","-0.867907544722629","-0.8622377563899943","-0.8622377563899943","-0.8622377563899943"
"45","-0.8933865344252585","-0.8933865344252585","-0.8933865344252585","-0.8866596813958542","-0.8866596813958542","-0.8866596813958542"
"46","-0.9193594716244917","-0.9193594716244917","-0.9193594716244917","-0.9114838502972432","-0.9114838502972432","-0.9114838502972432"
"47","-0.9458581664550669","-0.9458581664550669","-0.9458581664550669","-0.9367441195248035","-0.9367441195248035","-0.9367441195248035"
"48","-0.9729155348050348","-0.9729155348050348","-0.9729155348050348","-0.9624726786806084","-0.9624726786806084","-0.9624726786806084"
"49","-1.0005663494729888","-1.0005663494729888","-1.0005663494729888","-0.9887025528531517","-0.9887025528531517","-0.9887025528531517"
"50","-1.0288474504987295","-1.0288474504987295","-1.0288474504987295","-1.0154681185951082","-1.0154681185951082","-1.0154681185951082"
"51","-1.0577192650622413","-1.0577192650622413","-1.0577192650622413","-1.0427233433344067","-1.0427233433344067","-1.0427233433344067"
"52","-1.0871498597864424","-1.0871498597864424","-1.0871498597864424","-1.0704284868250755","-1.0704284868250755","-1.0704284868250755"
"53","-1.1171084873982713","-1.1171084873982713","-1.1171084873982713","-1.098546550829221","-1.098546550829221","-1.098546550829221"
"54","-1.1475641457897368","-1.1475641457897368","-1.1475641457897368","-1.1270403169321532","-1.1270403169321532","-1.1270403169321532"
"55","-1.1784842553187436","-1.1784842553187436","-1.1784842553187436","-1.155954168936773","-1.155954168936773","-1.155954168936773"
"56","-1.2098330653525031","-1.2098330653525031","-1.2098330653525031","-1.1852434389285909","-1.1852434389285909","-1.1852434389285909"
"57","-1.2415716367183225","-1.2415716367183225","-1.2415716367183225","-1.214947464778443","-1.214947464778443","-1.214947464778443"
"58","-1.2736562604642725","-1.2736562604642725","-1.2736562604642725","-1.2451014345393165","-1.2451014345393165","-1.2451014345393165"
"59","-1.3061180054987365","-1.3061180054987365","-1.3061180054987365","-1.2757394415999714","-1.2757394415999714","-1.2757394415999714"
"60","-1.3389819159930012","-1.3389819159930012","-1.3389819159930012","-1.3068966571945708","-1.3068966571945708","-1.3068966571945708"
"61","-1.3722707182816811","-1.3722707182816811","-1.3722707182816811","-1.3385265850537689","-1.3385265850537689","-1.3385265850537689"
"62","-1.4060079351130819","-1.4060079351130819","-1.4060079351130819","-1.370673242378422","-1.370673242378422","-1.370673242378422"
"63","-1.440219662765079","-1.440219662765079","-1.440219662765079","-1.4032973629727368","-1.4032973629727368","-1.4032973629727368"
"64","-1.474935478991051","-1.474935478991051","-1.474935478991051","-1.4363630751107834","-1.4363630751107834","-1.4363630751107834"
"65","-1.5101891075317657","-1.5101891075317657","-1.5101891075317657","-1.469835625977464","-1.469835625977464","-1.469835625977464"
