,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,y_0,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,y_10,y_11,y_12
0,0.083143406,0.083143406,0.083143406,0.083143406,0.083143406,0.083143406,0.083143406,0.083143406,0.083143406,0.083143406,0.083143406,0.083143406,0.083143406,-0.0009153513,-0.0009153513,-0.0009153513,-0.0009153513,-0.0009153513,-0.0009153513,-0.0009153513,-0.0009153513,-0.0009153513,-0.0009153513,-0.0009153513,-0.0009153513,-0.0009153513
1,0.083143406,0.083143406,0.083143406,0.083143406,0.083143406,0.083143406,0.083143406,0.083143406,0.083143406,0.083143406,0.083143406,0.083143406,0.083143406,-0.0009153513,-0.0009153513,-0.0009153513,-0.0009153513,-0.0009153513,-0.0009153513,-0.0009153513,-0.0009153513,-0.0009153513,-0.0009153513,-0.0009153513,-0.0009153513,-0.0009153513
2,0.082628146,0.082628146,0.082628146,0.082628146,0.082628146,0.082628146,0.082628146,0.082628146,0.082628146,0.082628146,0.082628146,0.082628146,0.082628146,-0.0017146176,-0.0017146176,-0.0017146176,-0.0017146176,-0.0017146176,-0.0017146176,-0.0017146176,-0.0017146176,-0.0017146176,-0.0017146176,-0.0017146176,-0.0017146176,-0.0017146176
3,0.08159025,0.08159025,0.08159025,0.08159025,0.08159025,0.08159025,0.08159025,0.08159025,0.08159025,0.08159025,0.08159025,0.08159025,0.08159025,-0.0033083805,-0.0033083805,-0.0033083805,-0.0033083805,-0.0033083805,-0.0033083805,-0.0033083805,-0.0033083805,-0.0033083805,-0.0033083805,-0.0033083805,-0.0033083805,-0.0033083805
4,0.081068285,0.08106821,0.08106841,0.08106813,0.08106841,0.08106807,0.081068024,0.081068136,0.08106823,0.08106803,0.08106802,0.08106835,0.08106821,-0.0041032424,-0.0041031935,-0.0041033262,-0.0041031386,-0.0041033253,-0.0041031004,-0.0041030697,-0.004103147,-0.0041032108,-0.004103076,-0.0041030655,-0.004103286,-0.004103195
5,0.080046505,0.0800463,0.080046855,0.08004608,0.08004685,0.08004592,0.0800458,0.08004612,0.08004638,0.08004582,0.080045775,0.08004669,0.08004631,-0.0057073263,-0.005707197,-0.0057075494,-0.005707051,-0.005707547,-0.0057069496,-0.005706869,-0.005707074,-0.0057072425,-0.005706886,-0.005706857,-0.0057074428,-0.0057072
6,0.07838596,0.078381546,0.07839343,0.07837655,0.078393355,0.07837304,0.07837022,0.07837733,0.0783831,0.07837081,0.0783698,0.078389876,0.078381665,-0.008027055,-0.008023911,-0.0080323685,-0.008020324,-0.008032312,-0.008017801,-0.00801577,-0.00802089,-0.008025021,-0.008016193,-0.008015465,-0.008029845,-0.008023993
7,0.076630965,0.0766522,0.07659739,0.07667767,0.076597735,0.076696366,0.07671188,0.07667356,0.07664459,0.076708615,0.07671425,0.07661298,0.07665164,-0.011401768,-0.011411833,-0.011385412,-0.011423629,-0.011385581,-0.0114321,-0.011439009,-0.011421746,-0.01140825,-0.011437563,-0.0114400545,-0.011393074,-0.011411569
8,0.07359556,0.07355743,0.07365396,0.07351077,0.07365337,0.07347607,0.07344707,0.07351836,0.07357119,0.07345319,0.07344263,0.07362718,0.07355844,-0.015061502,-0.015021502,-0.015119513,-0.014970193,-0.015118952,-0.014930245,-0.014895649,-0.014978717,-0.015036131,-0.014903041,-0.014890247,-0.015093386,-0.015022593
9,0.07144358,0.071551576,0.071292154,0.07169384,0.071293585,0.071807176,0.071906954,0.071669936,0.07151176,0.07188551,0.07192266,0.07135954,0.071548596,-0.02034578,-0.02036296,-0.020313406,-0.02037883,-0.02031376,-0.020386381,-0.020389523,-0.020376675,-0.020357164,-0.020389117,-0.020389732,-0.020329075,-0.020362549
10,0.067285255,0.06723433,0.06735583,0.067169316,0.06735518,0.067120545,0.06708053,0.067179985,0.06725302,0.06708887,0.06707451,0.06732483,0.06723572,-0.025543746,-0.025429709,-0.025681444,-0.025261376,-0.025680274,-0.025113538,-0.024973858,-0.025291033,-0.025473187,-0.025004603,-0.024951087,-0.025623567,-0.025433019
11,0.064061105,0.06419689,0.063896164,0.0643988,0.06389759,0.06457823,0.06474968,0.064363055,0.06414507,0.06471178,0.06477781,0.06396592,0.06419294,-0.032434314,-0.032404594,-0.032456823,-0.03234652,-0.03245671,-0.03228373,-0.032215554,-0.03235785,-0.032416936,-0.032231253,-0.032203685,-0.032449454,-0.032405574
12,0.059559777,0.059587885,0.05951751,0.059626363,0.059517946,0.05966045,0.059694327,0.059619635,0.059577532,0.05968669,0.059700057,0.059537116,0.059587106,-0.039713472,-0.039616052,-0.03981043,-0.039450884,-0.03980973,-0.039288267,-0.03912146,-0.03948162,-0.03965473,-0.039159212,-0.03909314,-0.03977297,-0.03961906
13,0.055071097,0.05515889,0.05496244,0.055292666,0.054963414,0.055416632,0.055540074,0.05526858,0.05512529,0.05551236,0.055560797,0.055009212,0.055156324,-0.048096884,-0.04803115,-0.048157956,-0.04791545,-0.04815755,-0.047798254,-0.047675528,-0.04793728,-0.048057552,-0.047703497,-0.047654472,-0.048135262,-0.048033215
14,0.050115634,0.05019764,0.050003964,0.0503138,0.05000503,0.050415512,0.050513238,0.050293468,0.05016693,0.050491538,0.050529383,0.050053712,0.050195318,-0.057309028,-0.057240177,-0.057368476,-0.057114966,-0.05736812,-0.05698569,-0.056848917,-0.057138827,-0.05726814,-0.05688018,-0.056825355,-0.057347383,-0.057242375
15,0.0448551,0.044950057,0.04472273,0.045082916,0.044724017,0.04519859,0.04530962,0.045059744,0.044914655,0.045284964,0.045327976,0.044782512,0.044947386,-0.06743552,-0.06737339,-0.0674842,-0.06725681,-0.067483954,-0.06713472,-0.06700478,-0.067279205,-0.06739892,-0.06703453,-0.066982344,-0.06746778,-0.06737541
16,0.039295692,0.03940404,0.03907247,0.03955143,0.039073985,0.039676685,0.039794933,0.039526027,0.039364,0.039768822,0.03981432,0.039142497,0.03940103,-0.078477226,-0.0784219,-0.07847974,-0.078312606,-0.0784796,-0.0781953,-0.078068905,-0.078333884,-0.07844503,-0.078097925,-0.078046985,-0.07846801,-0.078423746
