,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,y_0,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,y_10,y_11,y_12
0,0.8007017,0.8007017,0.8007017,0.8007017,0.8007017,0.8007017,0.8007017,0.8007017,0.8007017,0.8007017,0.8007017,0.8007017,0.8007017,-0.2753365,-0.2753365,-0.2753365,-0.2753365,-0.2753365,-0.2753365,-0.2753365,-0.2753365,-0.2753365,-0.2753365,-0.2753365,-0.2753365,-0.2753365
1,0.80041933,0.80041933,0.80041933,0.80041933,0.80041933,0.80041933,0.80041933,0.80041933,0.80041933,0.80041933,0.80041933,0.80041933,0.80041933,-0.2757768,-0.2757768,-0.2757768,-0.2757768,-0.2757768,-0.2757768,-0.2757768,-0.2757768,-0.2757768,-0.2757768,-0.2757768,-0.2757768,-0.2757768
2,0.7996404,0.7996404,0.7996404,0.7996404,0.7996404,0.7996404,0.7996404,0.7996404,0.7996404,0.7996404,0.7996404,0.7996404,0.7996404,-0.2769914,-0.2769914,-0.2769914,-0.2769914,-0.2769914,-0.2769914,-0.2769914,-0.2769914,-0.2769914,-0.2769914,-0.2769914,-0.2769914,-0.2769914
3,0.79836994,0.79836994,0.79836994,0.79836994,0.79836994,0.79836994,0.79836994,0.79836994,0.79836994,0.79836994,0.79836994,0.79836994,0.79836994,-0.27897257,-0.27897257,-0.27897257,-0.27897257,-0.27897257,-0.27897257,-0.27897257,-0.27897257,-0.27897257,-0.27897257,-0.27897257,-0.27897257,-0.27897257
4,0.79656726,0.79656726,0.79656726,0.79656726,0.79656726,0.79656726,0.79656726,0.79656726,0.79656726,0.79656726,0.79656726,0.79656726,0.79656726,-0.2816834,-0.2816834,-0.2816834,-0.2816834,-0.2816834,-0.2816834,-0.2816834,-0.2816834,-0.2816834,-0.2816834,-0.2816834,-0.2816834,-0.2816834
5,0.7942117,0.7942117,0.7942117,0.7942117,0.7942117,0.7942117,0.7942117,0.7942117,0.7942117,0.7942117,0.7942117,0.7942117,0.7942117,-0.2850986,-0.2850986,-0.2850986,-0.2850986,-0.2850986,-0.2850986,-0.2850986,-0.2850986,-0.2850986,-0.2850986,-0.2850986,-0.2850986,-0.2850986
6,0.7912818,0.7912818,0.7912818,0.7912818,0.7912818,0.7912818,0.7912818,0.7912818,0.7912818,0.7912818,0.7912818,0.7912818,0.7912818,-0.2891917,-0.2891917,-0.2891917,-0.2891917,-0.2891917,-0.2891917,-0.2891917,-0.2891917,-0.2891917,-0.2891917,-0.2891917,-0.2891917,-0.2891917
7,0.7878591,0.7878595,0.78785837,0.78786,0.78785837,0.78786033,0.7878606,0.7878599,0.7878594,0.7878605,0.78786063,0.7878587,0.7878595,-0.29400948,-0.29400977,-0.29400897,-0.29401013,-0.29400897,-0.29401037,-0.29401055,-0.29401007,-0.2940097,-0.29401052,-0.29401058,-0.2940092,-0.29400977
8,0.7838748,0.78387314,0.78387743,0.7838713,0.78387743,0.7838699,0.78386885,0.7838716,0.78387374,0.7838691,0.7838687,0.7838762,0.7838732,-0.29949212,-0.29949093,-0.29949406,-0.29948956,-0.29949403,-0.29948857,-0.29948777,-0.2994898,-0.29949138,-0.29948795,-0.29948765,-0.29949316,-0.29949096
9,0.77932006,0.7793162,0.7793269,0.7793119,0.7793268,0.779309,0.7793067,0.7793126,0.77931756,0.7793072,0.77930635,0.7793236,0.7793163,-0.30562168,-0.30561882,-0.3056267,-0.30561566,-0.30562663,-0.30561352,-0.30561182,-0.30561614,-0.30561984,-0.30561215,-0.30561155,-0.3056243,-0.30561888
10,0.77416295,0.7741543,0.77417785,0.7741447,0.77417773,0.77413803,0.7741327,0.7741462,0.77415735,0.7741338,0.77413195,0.7741707,0.77415454,-0.3123626,-0.31235614,-0.31237385,-0.31234893,-0.31237373,-0.312344,-0.31234005,-0.31235003,-0.3123584,-0.31234086,-0.31233945,-0.31236845,-0.3123563
11,0.76838994,0.76837564,0.76841503,0.76835984,0.76841474,0.768349,0.7683405,0.76836234,0.76838064,0.7683423,0.7683393,0.76840293,0.768376,-0.319693,-0.31968212,-0.3197122,-0.3196701,-0.31971198,-0.31966206,-0.3196556,-0.31967196,-0.31968594,-0.3196569,-0.31965464,-0.31970298,-0.3196824
12,0.7619794,0.7619575,0.76201785,0.76193345,0.7620174,0.76191694,0.76190406,0.76193726,0.76196516,0.7619067,0.76190215,0.7619993,0.7619581,-0.32758358,-0.3275667,-0.3276135,-0.3275481,-0.32761317,-0.32753557,-0.32752556,-0.32755095,-0.32757264,-0.3275276,-0.32752407,-0.3275991,-0.32756713
13,0.7549116,0.7548804,0.7549667,0.7548462,0.7549661,0.7548228,0.7548045,0.7548516,0.7548913,0.7548083,0.7548018,0.7549401,0.7548812,-0.33600575,-0.33598125,-0.33604932,-0.3359543,-0.33604884,-0.3359362,-0.3359218,-0.33595845,-0.33598983,-0.33592474,-0.33591962,-0.33602828,-0.3359819
14,0.7471654,0.74712294,0.74724066,0.7470764,0.7472398,0.74704456,0.7470198,0.74708366,0.7471377,0.74702495,0.74701613,0.7472043,0.747124,-0.3449281,-0.34489405,-0.34498876,-0.34485662,-0.34498814,-0.3448315,-0.34481153,-0.3448624,-0.34490594,-0.34481564,-0.34480852,-0.34495944,-0.34489495
