# 8fedad36-fc2f-47ec-9fe7-3cac90df3a45
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 0.0723529; 0.0063623; 1.2290255; 0.0000557; 5.0000000; 0.0000000
0.0999995; -0.0218631; 0.0398774; 1.2290328; 0.0000904; 5.0000000; 0.0000000
0.1999991; -0.1160793; 0.0733917; 1.2290436; 0.0001252; 5.0000000; 0.0000000
0.2999986; -0.2102960; 0.1069048; 1.2290579; 0.0001600; 5.0000000; 0.0000000
0.3999981; -0.3045132; 0.1404164; 1.2290756; 0.0001948; 5.0000000; 0.0000000
0.4999977; -0.3987310; 0.1739261; 1.2290968; 0.0002295; 5.0000000; 0.0000000
0.5999972; -0.4929496; 0.2074337; 1.2291215; 0.0002643; 5.0000000; 0.0000000
0.6999967; -0.5871692; 0.2409388; 1.2291497; 0.0002991; 5.0000000; 0.0000000
0.7999963; -0.6813897; 0.2744411; 1.2291813; 0.0003339; 5.0000000; 0.0000000
0.8999958; -0.7756113; 0.3079403; 1.2292165; 0.0003686; 5.0000000; 0.0000000
0.9999954; -0.8698341; 0.3414359; 1.2292551; 0.0004034; 5.0000000; 0.0000000
1.0999949; -0.9640584; 0.3749278; 1.2292971; 0.0004382; 5.0000000; 0.0000000
1.1999944; -1.0582840; 0.4084155; 1.2293427; 0.0004730; 5.0000000; 0.0000000
1.2999940; -1.1525113; 0.4418988; 1.2293917; 0.0005077; 5.0000000; 0.0000000
1.3999935; -1.2467403; 0.4753773; 1.2294442; 0.0005425; 5.0000000; 0.0000000
1.4999930; -1.3409710; 0.5088507; 1.2295002; 0.0005773; 5.0000000; 0.0000000
1.5999926; -1.4352038; 0.5423186; 1.2295597; 0.0006120; 5.0000000; 0.0000000
1.6999921; -1.5294385; 0.5757808; 1.2296226; 0.0006468; 5.0000000; 0.0000000
1.7999916; -1.6236754; 0.6092369; 1.2296891; 0.0006816; 5.0000000; 0.0000000
1.8999912; -1.7179146; 0.6426865; 1.2297589; 0.0007164; 5.0000000; 0.0000000
1.9999907; -1.8121562; 0.6761294; 1.2298323; 0.0007511; 5.0000000; 0.0000000
2.0999902; -1.9064004; 0.7095653; 1.2299092; 0.0007859; 5.0000000; 0.0000000
2.1999898; -2.0006471; 0.7429937; 1.2299895; 0.0008207; 5.0000000; 0.0000000
2.2999893; -2.0948966; 0.7764144; 1.2300733; 0.0008555; 5.0000000; 0.0000000
