# 15779a04-06a3-4377-9c01-d828b3a1fa1e
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -0.7068877; 0.3183867; -0.5782743; -0.0237266; 5.0000000; 0.0000000
0.0999897; -0.6521370; 0.4020544; -0.5806171; -0.0231349; 5.0000000; 0.0000000
0.1999794; -0.5971928; 0.4855952; -0.5829008; -0.0225432; 5.0000000; 0.0000000
0.2999690; -0.5420605; 0.5690119; -0.5851253; -0.0219516; 5.0000000; 0.0000000
0.3999587; -0.4867452; 0.6523075; -0.5872906; -0.0213601; 5.0000000; 0.0000000
0.4999484; -0.4312521; 0.7354848; -0.5893969; -0.0207688; 5.0000000; 0.0000000
0.5999381; -0.3755864; 0.8185466; -0.5914440; -0.0201776; 5.0000000; 0.0000000
0.6999277; -0.3197533; 0.9014959; -0.5934320; -0.0195865; 5.0000000; 0.0000000
0.7999174; -0.2637578; 0.9843357; -0.5953609; -0.0189954; 5.0000000; 0.0000000
0.8999071; -0.2076050; 1.0670690; -0.5972307; -0.0184044; 5.0000000; 0.0000000
0.9998968; -0.1513001; 1.1496989; -0.5990414; -0.0178134; 5.0000000; 0.0000000
1.0998865; -0.0948481; 1.2322283; -0.6007930; -0.0172226; 5.0000000; 0.0000000
1.1998761; -0.0382541; 1.3146604; -0.6024855; -0.0166318; 5.0000000; 0.0000000
1.2998658; 0.0184769; 1.3969983; -0.6041190; -0.0160410; 5.0000000; 0.0000000
1.3998555; 0.0753400; 1.4792450; -0.6056934; -0.0154503; 5.0000000; 0.0000000
1.4998452; 0.1323300; 1.5614039; -0.6072087; -0.0148596; 5.0000000; 0.0000000
1.5998348; 0.1894420; 1.6434779; -0.6086650; -0.0142690; 5.0000000; 0.0000000
1.6998245; 0.2466711; 1.7254704; -0.6100622; -0.0136783; 5.0000000; 0.0000000
1.7998142; 0.3040122; 1.8073845; -0.6114004; -0.0130877; 5.0000000; 0.0000000
1.8998039; 0.3614605; 1.8892236; -0.6126795; -0.0124972; 5.0000000; 0.0000000
1.9997935; 0.4190111; 1.9709908; -0.6138996; -0.0119066; 5.0000000; 0.0000000
2.0997832; 0.4766589; 2.0526894; -0.6150606; -0.0113161; 5.0000000; 0.0000000
2.1997729; 0.5343991; 2.1343227; -0.6161626; -0.0107256; 5.0000000; 0.0000000
2.2997626; 0.5922268; 2.2158941; -0.6172055; -0.0101351; 5.0000000; 0.0000000
2.3997523; 0.6501372; 2.2974068; -0.6181894; -0.0095446; 5.0000000; 0.0000000
2.4997419; 0.7081254; 2.3788642; -0.6191142; -0.0089541; 5.0000000; 0.0000000
2.5997316; 0.7661864; 2.4602697; -0.6199800; -0.0083637; 5.0000000; 0.0000000
2.6997213; 0.8243155; 2.5416265; -0.6207868; -0.0077733; 5.0000000; 0.0000000
2.7997110; 0.8825079; 2.6229382; -0.6215345; -0.0071828; 5.0000000; 0.0000000
2.8997006; 0.9407586; 2.7042081; -0.6222232; -0.0065924; 5.0000000; 0.0000000
2.9996903; 0.9990629; 2.7854395; -0.6228529; -0.0060020; 5.0000000; 0.0000000
3.0996800; 1.0574159; 2.8666359; -0.6234235; -0.0054115; 5.0000000; 0.0000000
3.1996697; 1.1158128; 2.9478008; -0.6239350; -0.0048210; 5.0000000; 0.0000000
3.2996594; 1.1742489; 3.0289375; -0.6243876; -0.0042305; 5.0000000; 0.0000000
3.3996490; 1.2327193; 3.1100495; -0.6247810; -0.0036400; 5.0000000; 0.0000000
3.4996387; 1.2912192; 3.1911401; -0.6251155; -0.0030502; 5.0000000; 0.0000000
3.5996284; 1.3497439; 3.2722129; -0.6253957; -0.0025556; 5.0000000; 0.0000000
