inner_point, midpoint, outer_point, 
[1.4495409231428482, -0.5167636334004868], [0.15599425572892756, 0.11334872811069374], [-1.1375524116850215, 0.7434610896218601], 
[-1.8789046683229174, -5.740258803653134], [-2.8811937383875943, -4.655814407441966], [-3.8834828084522712, -3.5713700112307833], 
[-10.713498669139454, -19.614396191852506], [-11.981532991204972, -18.9437085255948], [-13.24956731327049, -18.27302085933711], 
[-16.349355591087686, -28.34374840927417], [-17.506200670433742, -27.481001108091988], [-18.663045749779826, -26.61825380690982], 
[-18.217723654519347, -30.65927548907257], [-19.21473605807634, -29.628195749310535], [-20.211748461633363, -28.597116009548472], 
[-19.595729732849946, -31.76612471631087], [-20.446801201343163, -30.620699389419627], [-21.29787266983641, -29.47527406252837], 
[-21.892604623698503, -33.328646864367585], [-22.645525759504068, -32.11698855154259], [-23.398446895309633, -30.905330238717625], 
[-24.944448965205822, -34.89108377783147], [-25.470652108558426, -33.560492524409554], [-25.996855251911, -32.22990127098768], 
[-29.122195410992973, -36.332046390150325], [-29.496936784741905, -34.94263706212081], [-29.87167815849085, -33.55322773409128], 
[-36.15099081498492, -38.33947593703971], [-36.51881356303079, -36.959690367910525], [-36.88663631107667, -35.57990479878134], 
[-44.852698889540264, -40.74800312226634], [-44.95780302688212, -39.29511719574501], [-45.06290716422399, -37.842231269223646], 
[-56.99000679261228, -44.00769890264452], [-57.47029414977342, -42.656755238829106], [-57.95058150693458, -41.305811575013664], 
[-65.71454578900898, -46.3967459376949], [-66.02236356192367, -44.995740553963685], [-66.33018133483837, -43.59473517023247], 
[-70.37192645858437, -47.772036116090945], [-70.87870775714133, -46.43021446047264], [-71.38548905569829, -45.08839280485435], 
[-73.54232680938861, -48.69564199162883], [-73.93583960214733, -47.31924842482833], [-74.32935239490605, -45.94285485802786], 
[-75.13791019391381, -48.864983839274146], [-74.88997707116502, -47.44651967596283], [-74.73393636193977, -46.014085991149784], 
[-76.4461313882569, -48.26711081278336], [-75.54409439058989, -47.18204371432455], [-74.75858126081185, -46.00554423249345], 
[-77.03113331543904, -47.691595279221374], [-75.93547087424194, -46.809231293166775], [-74.83980843304485, -45.926867307112204], 
[-77.6712075761888, -46.637352878846656], [-76.35446889875533, -46.083383068117044], [-75.01830665692212, -45.579142689657445], 
[-78.10464990852464, -45.30418054669306], [-76.71539114941513, -44.95745564503582], [-75.3261323903056, -44.61073074337854], 
[-78.42386952940528, -44.390637440849915], [-77.13544834591414, -43.746722877900396], [-75.84702716242302, -43.10280831495085], 
[-78.74837167470425, -43.962722165443466], [-77.74430916919957, -42.956082139754784], [-76.74024666369489, -41.949442114066116], 
[-79.44675900975682, -43.30721277932611], [-78.45461642046918, -42.28571453780894], [-77.46247383118154, -41.26421629629178], 
[-80.59224439464116, -42.206925270402735], [-79.61090575433158, -41.175604392476885], [-78.62956711402202, -40.144283514551034], 
[-83.80616300688871, -39.097328192348186], [-82.97049575705287, -37.92750504148252], [-82.13482850721702, -36.75768189061685], 
[-87.36639798181038, -35.80864262893729], [-86.37795860953287, -34.77553307175923], [-85.38951923725537, -33.742423514581176], 
[-88.93292335497102, -34.64360327603097], [-88.13163134773336, -33.4608599981113], [-87.33033934049568, -32.27811672019163], 
[-89.7373220363233, -34.192005313132924], [-89.19614335238886, -32.86675920490208], [-88.65496466845441, -31.541513096671252], 
[-90.80853530996012, -33.885749807549104], [-90.53168771043171, -32.48094462095693], [-90.2548401109033, -31.076139434364748], 
[-93.53421647340033, -33.3650580686333], [-93.42209360618493, -31.947308442406367], [-93.30997073896953, -30.52955881617939], 
[-96.26729999843432, -33.31631761288338], [-96.35988700975881, -31.89589210278787], [-96.45247402108328, -30.475466592692385], 
[-98.69306080844768, -33.67293604332201], [-98.68022931669597, -32.23298581585942], [-99.00832925759727, -30.86420500769104], 
[-101.237419167392, -34.954395279532946], [-101.90148273066157, -33.69360630620939], [-102.56554629393112, -32.43281733288586], 
[-103.05103667455231, -36.05979592273461], [-103.86017327121539, -34.8853263752238], [-104.66930986787848, -33.71085682771297], 
[-104.26659635503825, -37.05994331541412], [-105.29154772474661, -36.05345604948877], [-106.31649909445498, -35.046968783563415], 
[-106.02372140497056, -38.9469465159727], [-107.18545433038126, -38.108356849534275], [-108.34718725579197, -37.26976718309584], 
[-107.6458234522868, -41.63810196095724], [-108.9299329918383, -41.005437608977715], [-110.2140425313898, -40.37277325699817], 
[-108.48484408356003, -44.35456099282], [-109.90789962540441, -44.18759039320898], [-111.3309551672488, -44.020619793597945], 
[-108.70326287964241, -46.53589835061999], [-110.12916922342754, -46.50660669240739], [-111.55507556721267, -46.47731503419476], 
[-108.63568874491975, -48.16483216550418], [-110.05415160539098, -48.312696573266805], [-111.47261446586222, -48.46056098102943], 
[-108.37031383332454, -49.65816836919187], [-109.75188055370657, -50.002820485053476], [-111.13344727408861, -50.34747260091507], 
[-107.73314036339264, -51.49326640932918], [-109.06878560068084, -52.02954174307344], [-110.40443083796904, -52.565817076817694], 
[-106.18180392899679, -54.80152344366154], [-107.53355906515651, -55.290024368846446], [-108.88531420131625, -55.77852529403137], 
[-104.08401848378173, -59.09758163662882], [-105.33861961436429, -59.78217348795568], [-106.59322074494685, -60.466765339282546], 
[-102.65729724590159, -62.20634935135709], [-103.98982358758835, -62.772572979206814], [-105.32234992927513, -63.338796607056544], 
[-102.34323423139995, -64.3759649436852], [-103.72904833160578, -64.27351167377938], [-105.12610689272611, -64.35573964729177], 
[-103.15787420696167, -66.29253660458205], [-104.16488382596346, -65.34833629192917], [-105.12610689272611, -64.35573964729177], 
[-107.42034257770496, -69.11322369473491], [-108.03951585736307, -67.81977803211599], [-108.80382458494161, -66.61563449166076], 
[-111.82022623422633, -71.8224158161594], [-112.42694192874441, -70.51911862377385], [-113.27967166629955, -69.36618313681822], 
[-118.15860932678315, -75.69028493998417], [-118.78728931274503, -74.39790959236457], [-119.41596929870693, -73.105534244745], 
[-122.91658917818621, -78.58943721854659], [-123.55862130581696, -77.30509723881644], [-124.20065343344768, -76.02075725908625], 
[-126.68059750407906, -80.88836802081761], [-127.35765218280041, -79.62664629131712], [-128.03470686152176, -78.36492456181662], 
[-128.79820598104766, -82.1737741416593], [-129.57698715117368, -80.97155659005503], [-130.3557683212997, -79.76933903845075], 
[-130.42680788528077, -83.08975144634674], [-131.0673458207383, -81.81863782736386], [-131.70788375619586, -80.54752420838096], 
[-131.42204827537438, -83.4862393919278], [-131.79601230926562, -82.10601811938464], [-132.16997634315683, -80.72579684684152], 
[-133.16073440693523, -83.59046100336356], [-132.8622099552254, -82.18083816784691], [-132.56368550351561, -80.77121533233027], 
[-134.9004344343412, -82.74967342553195], [-134.0776749491558, -81.57107556260021], [-133.20952074478984, -80.42645172092591], 
[-136.1256043747578, -81.45252950938323], [-134.93078585313924, -80.67690405663988], [-133.73596733152067, -79.90127860389657], 
[-137.77756610313895, -78.2052920832894], [-136.47447903193728, -77.61244836763302], [-135.17139196073563, -77.01960465197666], 
[-139.80389445286394, -73.78906500363743], [-138.46396687588276, -73.2812162491683], [-137.12403929890158, -72.77336749469913], 
[-140.90704923269834, -71.38988166371395], [-139.61069682600953, -70.78546485550285], [-138.31434441932072, -70.18104804729174], 
[-141.7323444624046, -69.61855192300416], [-140.42550400604335, -69.03369916404685], [-139.11866354968208, -68.44884640508951], 
[-142.82473510128744, -67.05604516894337], [-141.49924141523928, -66.52907273981322], [-140.17374772919115, -66.00210031068306], 
[-143.57759767949076, -64.92500278436654], [-142.20497871116638, -64.53443490021185], [-140.832359742842, -64.14386701605716], 
[-143.85742535406195, -63.35664452761962], [-142.4208833996355, -63.21598871933539], [-140.98434144520903, -63.07533291105116], 
[-143.93027846454152, -61.32370702590827], [-142.48960382459032, -61.33091712328071], [-141.04892918463912, -61.33812722065314], 
[-143.6888513630695, -59.08860777087488], [-142.27590469456422, -59.31175401735969], [-140.86295802605895, -59.534900263844484], 
[-142.8783422701981, -54.64574878508962], [-141.48303589486125, -54.95638921619067], [-140.08772951952437, -55.267029647291736], 
[-142.25650844562466, -51.41598738198894], [-140.85842316788995, -51.734263273137586], [-139.46033789015522, -52.05253916428626], 
[-141.74403640280588, -50.04136234470327], [-140.51415140026216, -50.77406267067738], [-139.28426639771845, -51.506762996651474], 
[-141.0877125614567, -49.2278584507756], [-140.10686768052423, -50.280538587268296], [-139.20065044886118, -51.39935284948466], 
[-139.74757603235898, -48.55065123029975], [-139.44154673684886, -49.94569849450721], [-139.00555056752734, -51.30625381624809], 
[-138.46006442990543, -48.31979614830314], [-138.27924650615424, -49.737778875618204], [-138.09842858240305, -51.155761602933296], 
[-127.51749946493985, -46.628128651435105], [-127.60102889115662, -48.08675617895949], [-127.68455831737339, -49.54538370648386], 
[-118.25239890641609, -45.121846212061484], [-117.96424950863798, -46.529438784524615], [-117.67610011085986, -47.937031356987774], 
[-117.82374230211043, -45.00142169985858], [-117.17617311007741, -46.27957837862874], [-116.57872735877754, -47.58199972206279], 
[-117.60450750393552, -44.854088234162575], [-116.59243726579359, -45.933134674545315], [-115.84567337064104, -47.19687928386142], 
[-117.4645838799522, -44.46677640633001], [-116.07957702131463, -44.83372261374822], [-114.69457016267708, -45.20066882116643], 
[-116.85801540429912, -42.12466964729177], [-115.4820583508184, -42.534375758588425], [-114.16509065799798, -43.17637266676455], 
[-116.22498004074532, -38.56663483345946], [-114.80331298564624, -38.519511549985424], [-113.38164593054715, -38.47238826651139], 
[-116.35242136767371, -37.66467501257114], [-114.96115063708392, -37.307146850749575], [-113.56987990649412, -36.94961868892797], 
[-116.99873144913559, -35.77775114095279], [-115.66270525271091, -35.26573161454483], [-114.32667905628622, -34.75371208813691], 
[-119.68627014711952, -28.469384064241694], [-118.44999235331025, -27.683679905752385], [-117.21371455950097, -26.897975747263047], 
[-122.62004857638496, -20.422938983100664], [-121.24620120696122, -19.99825410576196], [-119.87235383753747, -19.57356922842324], 
[-122.60577879135329, -16.53515714077244], [-121.43282188057606, -17.323624086689378], [-120.31913632645137, -18.199771662618346], 
[-121.06443680921386, -15.170655355512736], [-120.37639648046377, -16.43496496379447], [-119.68835615171366, -17.699274572076206], 
[-119.28564373286606, -14.324124443414178], [-118.78069096047078, -15.666959384396876], [-118.17877764126041, -16.966869853629575], 
[-114.96768716316257, -12.569181737231474], [-114.38325636504521, -13.874842202925507], [-113.79882556692786, -15.18050266861951], 
[-110.75311509753723, -11.190134500952809], [-110.43233738616163, -12.58511054962706], [-110.11155967478604, -13.980086598301298], 
[-107.61893969428603, -10.568495582253775], [-107.42300025136686, -11.984977419728622], [-107.22706080844767, -13.40145925720347], 
[-102.33986200823773, -10.163791976862456], [-102.3021586496281, -11.604552745640731], [-102.26445529101846, -13.045313514419021], 
[-96.43329258433025, -10.35643111964957], [-96.72500150272623, -11.769097761129657], [-97.0167104211222, -13.181764402609772], 
[-91.52706487612679, -10.962090631785173], [-91.74578478205284, -12.374347920539051], [-91.96450468797889, -13.78660520929293], 
[-89.13364174672121, -11.384663140462806], [-89.54548181311625, -12.765635070729957], [-89.95732187951131, -14.146607000997136], 
[-87.1723679562047, -11.998914865200646], [-87.61080902893278, -13.358344255068715], [-88.04925010166085, -14.717773644936742], 
[-85.51237790151119, -12.504009636995221], [-85.87400490496279, -13.878501396100475], [-86.2356319084144, -15.252993155205758], 
[-83.90775012526329, -12.879770404677473], [-84.2003151760212, -14.278512259716507], [-84.4928802267791, -15.67725411475557], 
[-81.40854502975039, -13.449131753264268], [-81.78056982856765, -14.83610767673494], [-82.1525946273849, -16.22308360020564], 
[-79.1303465116795, -14.173650639559284], [-79.6156363519849, -15.52022927921034], [-80.10092619229029, -16.866807918861426], 
[-77.4947218324828, -14.778302756714282], [-77.93400530413813, -16.139412080769205], [-78.37328877579345, -17.500521404824127], 
[-75.93200455385805, -15.348539799143694], [-76.39912310279857, -16.69881564129996], [-76.8662416517391, -18.049091483456266], 
[-74.80494947162309, -15.753164869169908], [-75.29147483114649, -17.09711440131693], [-75.77800019066989, -18.44106393346391], 
[-73.34041913826479, -16.31916264484201], [-73.85351838849512, -17.652457367420993], [-74.36661763872544, -18.985752089999963], 
