,car_params_0,car_params_1,car_params_2,car_params_3,car_params_4,car_params_5,car_params_6,car_params_7,car_params_8,car_params_9,car_params_10,car_params_11,car_params_12,car_params_13,car_params_14,car_params_15,car_params_16,car_params_17,car_params_18,car_params_19,car_params_20,car_params_21,car_params_22,car_params_23,car_params_24,car_params_25,car_params_26,car_params_27,car_params_28,car_params_29,car_params_30,car_params_31,car_params_32,car_params_33,car_params_34,car_params_35,car_params_36,car_params_37,car_params_38,car_params_39,car_params_40,car_params_41,car_params_42,car_params_43,car_params_44,car_params_45,car_params_46,car_params_47,car_params_48,car_params_49,car_params_50,car_params_51,car_params_52,car_params_53,car_params_54,car_params_55,car_params_56,car_params_57,car_params_58,car_params_59,car_params_60,car_params_61,car_params_62,car_params_63,car_params_64,car_params_65,car_params_66,car_params_67,car_params_68,car_params_69,car_params_70,car_params_71,car_params_72,car_params_73,car_params_74,car_params_75,car_params_76,car_params_77,car_params_78,car_params_79,car_params_80,car_params_81,car_params_82,car_params_83,car_params_84,car_params_85,car_params_86,car_params_87,car_params_88,car_params_89,car_params_90,car_params_91,car_params_92,car_params_93,car_params_94,car_params_95,car_params_96,car_params_97,car_params_98,car_params_99,car_params_100,car_params_101,car_params_102,car_params_103,car_params_104,car_params_105,car_params_106,car_params_107,car_params_108,car_params_109,car_params_110,car_params_111,car_params_112,car_params_113,car_params_114,car_params_115,car_params_116,car_params_117,car_params_118,car_params_119,car_params_120,car_params_121,car_params_122,car_params_123,car_params_124,car_params_125,car_params_126,car_params_127,car_params_128,car_params_129,car_params_130,car_params_131,car_params_132,car_params_133,car_params_134,car_params_135,car_params_136,car_params_137,car_params_138,car_params_139,car_params_140,car_params_141,car_params_142,car_params_143,car_params_144,car_params_145,car_params_146,car_params_147,car_params_148,car_params_149,car_params_150,car_params_151,car_params_152,car_params_153,car_params_154,car_params_155,car_params_156,car_params_157,car_params_158,car_params_159,car_params_160,car_params_161,car_params_162,car_params_163,car_params_164,car_params_165,car_params_166,car_params_167,car_params_168,car_params_169,car_params_170,car_params_171,car_params_172,car_params_173,car_params_174,car_params_175,car_params_176,car_params_177,car_params_178,car_params_179,car_params_180,car_params_181,car_params_182,car_params_183,car_params_184,car_params_185,car_params_186,car_params_187,car_params_188,car_params_189,car_params_190,car_params_191,car_params_192,car_params_193,car_params_194,car_params_195,car_params_196,car_params_197,car_params_198,car_params_199
mu,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489,1.0489
C_sf,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718
C_sr,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562
lf,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875
lr,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145
h,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074
m,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74
I,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712
s_min,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189
s_max,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189
