,car_params_0,car_params_1,car_params_2,car_params_3,car_params_4,car_params_5,car_params_6,car_params_7,car_params_8,car_params_9,car_params_10,car_params_11,car_params_12,car_params_13,car_params_14,car_params_15,car_params_16,car_params_17,car_params_18,car_params_19,car_params_20,car_params_21,car_params_22,car_params_23,car_params_24,car_params_25,car_params_26,car_params_27,car_params_28,car_params_29,car_params_30,car_params_31,car_params_32,car_params_33,car_params_34,car_params_35,car_params_36,car_params_37,car_params_38,car_params_39,car_params_40,car_params_41,car_params_42,car_params_43,car_params_44,car_params_45,car_params_46,car_params_47,car_params_48,car_params_49,car_params_50,car_params_51,car_params_52,car_params_53,car_params_54,car_params_55,car_params_56,car_params_57,car_params_58,car_params_59,car_params_60,car_params_61,car_params_62,car_params_63,car_params_64,car_params_65,car_params_66,car_params_67,car_params_68,car_params_69,car_params_70,car_params_71,car_params_72,car_params_73,car_params_74,car_params_75,car_params_76,car_params_77,car_params_78,car_params_79,car_params_80,car_params_81,car_params_82,car_params_83,car_params_84,car_params_85,car_params_86,car_params_87,car_params_88,car_params_89,car_params_90,car_params_91,car_params_92,car_params_93,car_params_94,car_params_95,car_params_96,car_params_97,car_params_98,car_params_99,car_params_100,car_params_101,car_params_102,car_params_103,car_params_104,car_params_105,car_params_106,car_params_107,car_params_108,car_params_109,car_params_110,car_params_111,car_params_112,car_params_113,car_params_114,car_params_115,car_params_116,car_params_117,car_params_118,car_params_119,car_params_120,car_params_121,car_params_122,car_params_123,car_params_124,car_params_125,car_params_126,car_params_127,car_params_128,car_params_129,car_params_130,car_params_131,car_params_132,car_params_133,car_params_134,car_params_135,car_params_136,car_params_137,car_params_138,car_params_139,car_params_140,car_params_141,car_params_142,car_params_143,car_params_144,car_params_145,car_params_146,car_params_147,car_params_148,car_params_149,car_params_150,car_params_151,car_params_152,car_params_153,car_params_154,car_params_155,car_params_156,car_params_157,car_params_158,car_params_159,car_params_160,car_params_161,car_params_162,car_params_163,car_params_164,car_params_165,car_params_166,car_params_167,car_params_168,car_params_169,car_params_170,car_params_171,car_params_172,car_params_173,car_params_174,car_params_175,car_params_176,car_params_177,car_params_178,car_params_179,car_params_180,car_params_181,car_params_182,car_params_183,car_params_184,car_params_185,car_params_186,car_params_187,car_params_188,car_params_189,car_params_190,car_params_191,car_params_192,car_params_193,car_params_194,car_params_195,car_params_196,car_params_197,car_params_198,car_params_199
mu,0.8779772136341747,0.8566378443513738,0.829158527314932,0.8360750627397171,0.8659262502682313,0.8792076282830827,0.8122456514450911,0.892663406542554,0.8299932743288887,0.7812755674513086,0.8534353461787254,0.8848809181778661,0.9027791343520329,0.7994181886037802,0.9105578262536907,0.8345301088631367,0.8186138878695022,0.8450640657216523,0.9006220811440508,0.8615809476456735,0.8696678654248489,0.7910015261358021,0.9175460637897884,0.9007626621443479,0.8156336844786923,0.8260334385757846,0.9008603589330659,0.9124990859663622,0.8817521834971203,0.8322760922197348,0.8535104971054464,0.8139778173544536,0.8798554451987792,0.8126625149086476,0.8568077107049045,0.8747036720579316,0.825837141251283,0.8431956636129895,0.8554289066602904,0.8609751851725517,0.8277024646812313,0.9050193953990516,0.8593318827350924,0.8874189807306413,0.8135553569495021,0.8375421474946185,0.8375836810780424,0.8567012829458968,0.8374371253698984,0.7898104700765465,0.8270748204746159,0.8451548913291548,0.8000997095641487,0.8107404891169038,0.8282047554574352,0.776303835736688,0.8228191673127198,0.8498280741770137,0.8802207825584805,0.8697748284418119,0.8583625976592755,0.8630016767476446,0.7746862605766703,0.8030659653014738,0.8777700554172138,0.8239561807708432,0.9139841383532905,0.8302614009356984,0.9080500030870908,0.883624650557636,0.8152251497043582,0.8356310985531085,0.8700216636809115,0.8238644313938497,0.8503335359735492,0.8083476580241497,0.8766123280204308,0.8181903438347665,0.8719218355197497,0.8316123031363417,0.878679508226594,0.858497171607757,0.8854268409089404,0.806990452451878,0.8479378387467946,0.7941635039478789,0.8447770966138798,0.8620123054420931,0.8505628887622847,0.8437253726164293,0.7863378969419277,0.9153177322259601,0.8618637414992972,0.8218854310033398,0.8738833506382635,0.8222129625511598,0.8559693004663501,0.8244082196156436,0.7948269574376436,0.8626922200078124,0.8535365585651516,0.794308151344545,0.8071861861343747,0.8956988944920162,0.7776167610075689,0.8342586690983299,0.8509071530288088,0.8394171063326001,0.879058027642658,0.8359838389260607,0.8250751782848088,0.8254061132771996,0.9086702357712119,0.827516112251566,0.8010300920283757,0.8625754962834329,0.7947481488555233,0.8606164326386476,0.8205090009110453,0.8755267247750262,0.8018369168890498,0.862971183803364,0.8482261899346619,0.8378528639394656,0.8230824077505263,0.8003476219437546,0.8505942787380908,0.8241429574964932,0.8126309979417312,0.826964665962775,0.8402204191152518,0.8347411871359606,0.8431629179821658,0.8233347773348122,0.8819187592399286,0.8974288158887513,0.8918975175642585,0.7979369191225835,0.8828466422690713,0.820645937114085,0.8934901735878052,0.8685456345404579,0.8040385159419776,0.8983039966737111,0.8140387501712383,0.8412176807783114,0.8781254654019346,0.8606211046393688,0.8298854982109287,0.8396114788040666,0.884393283798657,0.8175571533583881,0.8425387201303507,0.8337597439889761,0.8409389773609418,0.8221055362121187,0.8939652336164832,0.7983200176199559,0.8059638072441621,0.8181670647014356,0.8361054301532316,0.8558603718770527,0.8719589089609069,0.878950439795471,0.8635979498898058,0.8342256457955346,0.8322502263058961,0.8061519207198405,0.86871463730089,0.7904710840545982,0.8173250218385417,0.8441778897532041,0.8918149940789494,0.795388988267624,0.8600275300241604,0.9013857120639369,0.9152045781636845,0.8828302006847357,0.8588272249691569,0.8841977958623141,0.8295458545284958,0.8343159569566335,0.8162889700767638,0.8831237300420633,0.8007820872117375,0.859546706617458,0.8626260736787267,0.9026029691425145,0.8510550008152192,0.8180961984671357,0.7771611792589412,0.9140833373619885,0.8271769649929537,0.8379140494608617,0.86303675706554,0.896790091539425,0.9116015296122599,0.8695249368458774,0.8445061301447427,0.7959660389231549
C_sf,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718,4.718
C_sr,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562,5.4562
lf,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875,0.15875
lr,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145,0.17145
h,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074
m,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74
I,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712,0.04712
s_min,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189,-0.4189
s_max,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189,0.4189
