"Step","MPC_MPCC_f_2022_01_13_11_40_50 - position_y","MPC_MPCC_f_2022_01_13_11_40_50 - position_y__MIN","MPC_MPCC_f_2022_01_13_11_40_50 - position_y__MAX"
"0","-0.039578381925821304","-0.039578381925821304","-0.039578381925821304"
"1","-0.03957861289381981","-0.03957861289381981","-0.03957861289381981"
"2","-0.03957917168736458","-0.03957917168736458","-0.03957917168736458"
"3","-0.0395805723965168","-0.0395805723965168","-0.0395805723965168"
"4","-0.039582759141922","-0.039582759141922","-0.039582759141922"
"5","-0.039586141705513","-0.039586141705513","-0.039586141705513"
"6","-0.03959084674715996","-0.03959084674715996","-0.03959084674715996"
"7","-0.03959602862596512","-0.03959602862596512","-0.03959602862596512"
"8","-0.039604105055332184","-0.039604105055332184","-0.039604105055332184"
"9","-0.039614107459783554","-0.039614107459783554","-0.039614107459783554"
"10","-0.03962525352835655","-0.03962525352835655","-0.03962525352835655"
"11","-0.03963908925652504","-0.03963908925652504","-0.03963908925652504"
"12","-0.03965622931718826","-0.03965622931718826","-0.03965622931718826"
"13","-0.03967708721756935","-0.03967708721756935","-0.03967708721756935"
"14","-0.03970221057534218","-0.03970221057534218","-0.03970221057534218"
"15","-0.03973222151398659","-0.03973222151398659","-0.03973222151398659"
"16","-0.039767760783433914","-0.039767760783433914","-0.039767760783433914"
"17","-0.03980950638651848","-0.03980950638651848","-0.03980950638651848"
"18","-0.03985818848013878","-0.03985818848013878","-0.03985818848013878"
"19","-0.03991459310054779","-0.03991459310054779","-0.03991459310054779"
"20","-0.03997959941625595","-0.03997959941625595","-0.03997959941625595"
"21","-0.040054161101579666","-0.040054161101579666","-0.040054161101579666"
"22","-0.040139321237802505","-0.040139321237802505","-0.040139321237802505"
"23","-0.040236204862594604","-0.040236204862594604","-0.040236204862594604"
"24","-0.040346018970012665","-0.040346018970012665","-0.040346018970012665"
"25","-0.04047004505991936","-0.04047004505991936","-0.04047004505991936"
"26","-0.04060964658856392","-0.04060964658856392","-0.04060964658856392"
"27","-0.04076625779271126","-0.04076625779271126","-0.04076625779271126"
"28","-0.04094140604138374","-0.04094140604138374","-0.04094140604138374"
"29","-0.04113668203353882","-0.04113668203353882","-0.04113668203353882"
"30","-0.04135376214981079","-0.04135376214981079","-0.04135376214981079"
"31","-0.04159440100193024","-0.04159440100193024","-0.04159440100193024"
"32","-0.04186045378446579","-0.04186045378446579","-0.04186045378446579"
"33","-0.04215386509895325","-0.04215386509895325","-0.04215386509895325"
"34","-0.04247668758034706","-0.04247668758034706","-0.04247668758034706"
"35","-0.04283107444643974","-0.04283107444643974","-0.04283107444643974"
"36","-0.04321929067373276","-0.04321929067373276","-0.04321929067373276"
"37","-0.04364367946982384","-0.04364367946982384","-0.04364367946982384"
"38","-0.044106677174568176","-0.044106677174568176","-0.044106677174568176"
"39","-0.04461078718304634","-0.04461078718304634","-0.04461078718304634"
"40","-0.045158568769693375","-0.045158568769693375","-0.045158568769693375"
"41","-0.0457526333630085","-0.0457526333630085","-0.0457526333630085"
"42","-0.04639562591910362","-0.04639562591910362","-0.04639562591910362"
"43","-0.04709022492170334","-0.04709022492170334","-0.04709022492170334"
"44","-0.04783910512924194","-0.04783910512924194","-0.04783910512924194"
"45","-0.048644933849573135","-0.048644933849573135","-0.048644933849573135"
"46","-0.04951034486293793","-0.04951034486293793","-0.04951034486293793"
"47","-0.050437916070222855","-0.050437916070222855","-0.050437916070222855"
"48","-0.051430195569992065","-0.051430195569992065","-0.051430195569992065"
"49","-0.05248967558145523","-0.05248967558145523","-0.05248967558145523"
