x, y
-5.4392505, -53.62999 
-5.6665106, -53.56568 
-5.889304, -53.476616 
-6.1053777, -53.363697 
-6.3125772, -53.227882 
-6.508832, -53.070206 
-6.6921477, -52.89181 
-6.8606076, -52.69395 
-7.0123825, -52.478024 
-7.1457424, -52.245556 
-7.2590785, -51.998238 
-7.351003, -51.73807 
-7.420755, -51.467052 
-7.468333, -51.186966 
-7.4943523, -50.900326 
-7.5003815, -50.608467 
-7.488454, -50.313847 
-7.4609504, -50.01791 
-7.4202952, -49.722122 
-7.3686094, -49.427197 
-7.3079224, -49.13361 
-7.2400117, -48.841446 
-7.166751, -48.550537 
-7.0898805, -48.260555 
-7.011288, -47.971035 
-6.9326677, -47.68152 
-6.855773, -47.391563 
-6.7820673, -47.100895 
-6.712953, -46.809193 
-6.649473, -46.516373 
-6.5925775, -46.22223 
-6.5428805, -45.926857 
-6.500944, -45.630188 
-6.4670277, -45.332462 
-6.4414067, -45.03381 
-6.4241023, -44.734535 
-6.415227, -44.434822 
-6.414687, -44.134956 
-6.4225235, -43.835136 
-6.4385285, -43.53562 
-6.4625335, -43.236614 
-6.494081, -42.9383 
-6.532728, -42.640816 
-6.577671, -42.34421 
-6.6280856, -42.048485 
-6.682865, -41.753532 
-6.740874, -41.459194 
-6.80072, -41.16522 
-6.861142, -40.871357 
-6.920718, -40.577324 
-6.9781294, -40.28286 
-7.0315666, -39.987644 
-7.078883, -39.69139 
-7.1183434, -39.393986 
-7.14876, -39.095524 
-7.16944, -38.79623 
-7.18046, -38.49642 
-7.1827188, -38.19641 
-7.1778154, -37.896423 
-7.16778, -37.596554 
-7.1546674, -37.2968 
-7.140124, -36.997105 
-7.1250215, -36.697433 
-7.1092486, -36.397793 
-7.0916996, -36.098248 
-7.070458, -35.799065 
-7.043112, -35.50055 
-7.006978, -35.202866 
-6.9593506, -34.906696 
-6.8977523, -34.613132 
-6.8201427, -34.323475 
-6.724914, -34.039215 
-6.6108556, -33.762016 
-6.4771852, -33.493717 
-6.323765, -33.236298 
-6.151109, -32.991745 
-5.959948, -32.761795 
-5.751642, -32.548225 
-5.5271935, -32.352226 
-5.2885423, -32.17511 
-5.036865, -32.01738 
-4.7744374, -31.879644 
-4.5024214, -31.761768 
-4.222818, -31.663446 
-3.9372363, -31.584017 
-3.6463718, -31.522478 
-3.3518543, -31.477638 
-3.0546455, -31.448107 
-2.7559204, -31.432348 
-2.4563735, -31.428997 
-2.1566944, -31.436646 
-1.8572845, -31.454103 
-1.558446, -31.480072 
-1.2603183, -31.513412 
-0.9629267, -31.552814 
-0.66621506, -31.597082 
-0.37004802, -31.644857 
-0.074267596, -31.694983 
0.22133148, -31.74618 
0.5169508, -31.797262 
0.81281585, -31.8469 
1.1090786, -31.893988 
1.4059044, -31.937344 
1.7033617, -31.976017 
2.0015204, -32.008877 
2.3003714, -32.034843 
2.5998168, -32.052845 
2.8996568, -32.06225 
3.1996453, -32.06256 
3.4995146, -32.053886 
3.8382876, -32.027977 
4.137497, -32.005993 
4.436348, -31.979485 
4.7350163, -31.950945 
5.0337243, -31.922798 
5.332654, -31.897099 
5.631893, -31.87527 
5.9314246, -31.857828 
6.231173, -31.844501 
6.531058, -31.834503 
6.831019, -31.8269 
7.131023, -31.821062 
7.43106, -31.817013 
7.7311234, -31.815617 
8.0310545, -31.818552 
8.3306465, -31.827915 
8.629456, -31.845865 
8.9262, -31.874338 
9.218632, -31.914478 
9.5042925, -31.966383 
9.780927, -32.029568 
10.04699, -32.104034 
10.30156, -32.190838 
10.543867, -32.291893 
10.772909, -32.409485 
10.987243, -32.54568 
11.184997, -32.701828 
11.364068, -32.878246 
11.522359, -33.074326 
11.658, -33.288567 
11.769486, -33.518826 
11.855682, -33.762596 
11.915779, -34.017204 
11.949235, -34.27994 
11.9557295, -34.548103 
11.935117, -34.81904 
11.887424, -35.090134 
11.81284, -35.358826 
11.711765, -35.622562 
11.584835, -35.878838 
11.433166, -36.125153 
11.25844, -36.359108 
11.0626, -36.578674 
10.847929, -36.781937 
10.6164465, -36.967487 
10.370567, -37.133892 
10.11198, -37.280144 
9.842452, -37.405224 
9.563333, -37.508446 
9.276173, -37.58969 
8.982963, -37.64938 
8.685817, -37.688892 
8.386663, -37.710705 
8.086771, -37.7179 
7.7868147, -37.713367 
7.4871116, -37.7 
7.187733, -37.680595 
6.88863, -37.657284 
6.5897255, -37.631527 
6.290949, -37.60429 
5.9922485, -37.576214 
5.6935754, -37.54783 
5.3948545, -37.519928 
5.095968, -37.49381 
4.796783, -37.471348 
4.4972816, -37.454823 
4.197654, -37.446636 
3.898667, -37.44901 
3.6021986, -37.463543 
3.3105738, -37.490856 
3.0261552, -37.530773 
2.7509587, -37.582867 
2.4863558, -37.64725 
2.233259, -37.72488 
1.9925119, -37.81728 
1.7651749, -37.926205 
1.552677, -38.053284 
1.3568288, -38.19971 
1.1796974, -38.365875 
1.0233846, -38.551273 
0.8897903, -38.75453 
0.78045934, -38.97361 
0.69653744, -39.206074 
0.6388157, -39.4493 
0.60777533, -39.700603 
0.60358787, -39.957245 
0.626202, -40.216526 
0.6754275, -40.475834 
0.7509468, -40.732635 
0.85230404, -40.984463 
0.97889274, -41.2289 
1.1299329, -41.46359 
1.3042994, -41.686222 
1.5004785, -41.89459 
1.7167642, -42.086624 
1.9512161, -42.260452 
2.2016318, -42.414413 
2.4655478, -42.547146 
2.7401674, -42.657677 
3.0225239, -42.74574 
3.3114412, -42.8122 
3.605847, -42.85897 
3.903748, -42.889744 
4.2023897, -42.90955 
4.497513, -42.923733 
4.7860904, -42.936527 
5.066312, -42.95066 
5.33776, -42.968235 
5.600204, -42.991276 
5.8532934, -43.021523 
6.096536, -43.06038 
6.329288, -43.108925 
6.550762, -43.167923 
6.7600546, -43.237823 
6.9563165, -43.31942 
7.1386952, -43.414284 
7.306041, -43.52422 
7.456837, -43.650387 
7.5894136, -43.792973 
7.702224, -43.95124 
7.79406, -44.123722 
7.86415, -44.308464 
7.9121184, -44.50324 
7.9378824, -44.705746 
7.941517, -44.91372 
7.9231477, -45.124996 
7.8829103, -45.337505 
7.8209662, -45.549225 
7.7375374, -45.75816 
7.632934, -45.962322 
7.5075817, -46.159737 
7.3620405, -46.34843 
7.1970205, -46.526455 
7.013394, -46.691906 
6.8121605, -46.84297 
6.594113, -46.97839 
6.3601446, -47.097324 
6.111338, -47.199642 
5.8492975, -47.28568 
5.576105, -47.35617 
5.294272, -47.41184 
5.0061088, -47.45324 
4.713433, -47.48084 
4.4176936, -47.495167 
4.120072, -47.49709 
3.8214939, -47.488045 
3.522608, -47.470146 
3.2237513, -47.446167 
2.9249828, -47.41938 
2.6262157, -47.393272 
2.3271253, -47.371296 
2.0274918, -47.356846 
1.7275372, -47.353184 
1.4277376, -47.36318 
1.1289161, -47.389206 
0.83222073, -47.43319 
0.5390785, -47.496647 
0.25115782, -47.580677 
-0.029677011, -47.685978 
-0.30143645, -47.81287 
-0.5620438, -47.961308 
-0.8093807, -48.130924 
-1.0413613, -48.32101 
-1.2559705, -48.530357 
-1.4514422, -48.756897 
-1.626832, -48.99829 
-1.7824095, -49.252987 
-1.9194, -49.51882 
-2.0404296, -49.792896 
-2.1492898, -50.072346 
-2.2504497, -50.354767 
-2.348448, -50.63816 
-2.447277, -50.920223 
-2.5500546, -51.198597 
-2.658491, -51.47071 
-2.7727375, -51.733902 
-2.8922842, -51.985966 
-3.0175982, -52.22563 
-3.1494622, -52.4519 
-3.2883725, -52.66374 
-3.434766, -52.86009 
-3.5899546, -53.03972 
-3.7556238, -53.201046 
-3.9330258, -53.342148 
-4.1226063, -53.46096 
-4.3238754, -53.555534 
-4.535461, -53.624302 
-4.755339, -53.66624 
-4.9810514, -53.68097 
-5.209914, -53.668686 
