Fri Feb 18 16:08:50 2022    log.dat

         31905354 function calls (30848552 primitive calls) in 54.070 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      227    4.487    0.020    4.487    0.020 {method 'tobytes' of 'numpy.ndarray' objects}
      226    2.842    0.013    2.842    0.013 {built-in method matplotlib.backends._tkagg.blit}
21038/21032    2.286    0.000    2.826    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/llvmlite/binding/ffi.py:149(__call__)
672137/672134    1.247    0.000    1.248    0.000 {built-in method numpy.array}
     8176    1.157    0.000    1.157    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
      227    1.108    0.005    1.119    0.005 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/pyglet/image/__init__.py:2034(get_image_data)
    10170    0.980    0.000    1.036    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
   173865    0.850    0.000    0.850    0.000 {method 'reduce' of 'numpy.ufunc' objects}
493552/411683    0.838    0.000    4.096    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
  3665355    0.644    0.000    0.836    0.000 {built-in method builtins.isinstance}
    31640    0.544    0.000    4.558    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/matplotlib/lines.py:744(draw)
    80556    0.508    0.000    1.338    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/scipy/interpolate/_fitpack_impl.py:524(splev)
      226    0.505    0.002    1.117    0.005 /home/gnone/edoardo-ghignone/drivers/src/utils/forces/MPCC_solv_10N_no_warm_no_hard_gnone/interface/MPCC_solv_10N_no_warm_no_hard_gnone_py.py:451(MPCC_solv_10N_no_warm_no_hard_gnone_solve)
      228    0.466    0.002    0.466    0.002 {method 'write' of '_io.BufferedWriter' objects}
423170/66427    0.449    0.000    0.653    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/ir.py:313(_rec_list_vars)
      226    0.427    0.002    9.176    0.041 /home/gnone/edoardo-ghignone/drivers/src/utils/MPC_utils.py:713(get_forces_params)
    22600    0.400    0.000    4.077    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/matplotlib/text.py:665(draw)
     8588    0.396    0.000    0.455    0.000 {method 'draw_markers' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
        1    0.390    0.390    0.390    0.390 {built-in method _tkinter.create}
425887/260301    0.376    0.000    0.794    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/matplotlib/artist.py:241(stale)
   256011    0.363    0.000    0.363    0.000 {method 'reshape' of 'numpy.ndarray' objects}
     7232    0.360    0.000    3.300    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/matplotlib/ticker.py:2202(_raw_ticks)
     2210    0.349    0.000    0.349    0.000 {built-in method marshal.loads}
     8136    0.346    0.000    0.346    0.000 {method 'draw_glyphs_to_bitmap' of 'matplotlib.ft2font.FT2Font' objects}
715118/714100    0.341    0.000    1.001    0.000 {built-in method builtins.getattr}
73676/226    0.316    0.000   30.346    0.134 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/matplotlib/artist.py:33(draw_wrapper)
   397458    0.285    0.000    0.437    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/matplotlib/__init__.py:604(__getitem__)
    18984    0.277    0.000    2.444    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/matplotlib/text.py:864(get_window_extent)
     8228    0.246    0.000    1.008    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/matplotlib/lines.py:660(recache)
51152/42740    0.245    0.000    0.962    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/matplotlib/transforms.py:2401(get_affine)
     7232    0.238    0.000    0.977    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/matplotlib/ticker.py:884(_set_format)
     3616    0.231    0.000    7.750    0.002 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/matplotlib/axis.py:1023(_update_ticks)
    41132    0.229    0.000    0.591    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/matplotlib/transforms.py:780(__init__)
     4972    0.227    0.000    1.503    0.000 /home/gnone/edoardo-ghignone/drivers/src/utils/MPC_utils.py:37(linearise_error)
   142225    0.225    0.000    0.225    0.000 {method 'copy' of 'numpy.ndarray' objects}
