# x_m,y_m,w_tr_right_m,w_tr_left_m
3.742234916030406,-19.804606857892175,0.31,0.31
3.635756097276717,-19.776572721868128,0.31,0.31
3.432663763965742,-19.694165430301176,0.31,0.31
3.2434921029482737,-19.582353539543924,0.31,0.31
3.070554788955227,-19.44358396541002,0.31,0.31
2.9161654967175217,-19.280303623713152,0.31,0.31
2.782637900966071,-19.094959430267004,0.31,0.31
2.6722856764317893,-18.889998300885267,0.31,0.31
2.587422497845597,-18.667867151381607,0.31,0.31
2.5564789723882964,-18.55056499500909,0.31,0.31
2.5425980579793013,-18.385601796435033,0.31,0.31
2.4949354844197735,-16.984877624742246,0.31,0.31
2.3903315878047477,-12.961013277574146,0.31,0.31
2.3023075975892535,-9.00918566767833,0.31,0.31
2.2304044877435265,-5.684011224521065,0.31,0.31
2.15064862112913,-1.5166431163538334,0.31,0.31
2.1423591978858436,0.09948963834803237,0.31,0.31
2.158197423722397,0.7398854872652336,0.31,0.31
2.19204852619365,1.1285749765374504,0.31,0.31
2.243632917092995,1.3802529605365876,0.31,0.31
2.2767091371435617,1.4920143957285106,0.31,0.31
2.326019829762549,1.6466731483686132,0.31,0.31
2.4443757292996224,1.9295929504536602,0.31,0.31
2.586665580288326,2.1810860268839107,0.31,0.31
2.753169976387224,2.4014307311920575,0.31,0.31
2.9441695112548896,2.590905416910786,0.31,0.31
3.159944778549886,2.749788437572775,0.31,0.31
3.400776371930781,2.8783581467107204,0.31,0.31
3.666944885056143,2.9768928978572973,0.31,0.31
3.8106914141343147,3.0137500901756127,0.31,0.31
3.9033673323789353,3.029905275445234,0.31,0.31
4.31276308521835,3.0558756376357437,0.31,0.31
5.430190032629149,3.0816021411115138,0.31,0.31
8.082326247503298,3.0884646559904247,0.31,0.31
12.149875173309459,3.0657749001563808,0.31,0.31
14.83135980387475,3.042266536795495,0.31,0.31
17.61554236648958,3.0161611991267954,0.31,0.31
19.26498454325597,2.976333673756695,0.31,0.31
19.68643094962443,2.9310090180778374,0.31,0.31
19.82138388076162,2.8967898205685927,0.31,0.31
20.012309685122915,2.8426731372973535,0.31,0.31
20.36666417242935,2.706401853851368,0.31,0.31
20.685888977623677,2.5384665353136313,0.31,0.31
20.96761394913622,2.3410688096757752,0.31,0.31
21.209468935397283,2.116410304929431,0.31,0.31
21.409083784837197,1.8666926490662306,0.31,0.31
21.564088345886262,1.5941174700777907,0.31,0.31
21.672112466974806,1.3008863959557573,0.31,0.31
21.705660537363556,1.1464898464192643,0.31,0.31
21.72736732723257,1.0093000512080508,0.31,0.31
21.75127316872215,0.6422412041131551,0.31,0.31
21.751727476241975,0.20465987770975858,0.31,0.31
21.728683307490247,-0.25822989611498315,0.31,0.31
21.70735258797139,-0.48326470749523054,0.31,0.31
21.686930836957092,-0.646084848515379,0.31,0.31
