inner_point, midpoint, outer_point, 
[-5.405970787521539, -54.06511916184249], [-5.470664887844344, -54.368293490213844], [-5.535358988167149, -54.6714678185852], 
[-5.484598324553199, -54.04439561483978], [-5.577143706598033, -54.3402593541898], [-5.669689088642867, -54.636123093539815], 
[-5.64199601631765, -53.98038189147383], [-5.780236039909008, -54.257852062622845], [-5.918476063500366, -54.53532223377186], 
[-5.792976699832907, -53.891143914825356], [-5.969407700926476, -54.14604017186559], [-6.145838702020046, -54.40093642890583], 
[-5.932060905237953, -53.77949747988099], [-6.142345014919523, -54.00727059773169], [-6.352629124601093, -54.23504371558239], 
[-6.057722809558637, -53.64657317466728], [-6.296734307157228, -53.84399025603482], [-6.53574580475582, -54.04140733740236], 
[-6.167529664661961, -53.49411104812102], [-6.430261902908679, -53.65864606258867], [-6.692994141155397, -53.823181077056326], 
[-6.2584950425455, -53.325198272667336], [-6.540614127442961, -53.45368493320694], [-6.822733212340421, -53.58217159374654], 
[-6.33018422882287, -53.13720338066204], [-6.625477306029153, -53.231553783703276], [-6.920770383235436, -53.325904186744516], 
[-6.351409357544215, -53.05886209074141], [-6.656420831486454, -53.11425162733076], [-6.961432305428692, -53.16964116392011], 
[-6.360506868448136, -52.93801306147202], [-6.670301745895449, -52.9492884287567], [-6.980096623342762, -52.960563796041384], 
[-6.408117685476692, -51.53881421027803], [-6.7179643194549765, -51.548564257063916], [-7.027810953433261, -51.558314303849805], 
[-6.512649429272385, -47.517604447268674], [-6.822568216070002, -47.524699909895816], [-7.132487002867619, -47.53179537252296], 
[-6.600665617539691, -43.56612622051721], [-6.9105922062854965, -43.5728723], [-7.220518795031302, -43.57961837948279], 
[-6.672568076264576, -40.24098175762954], [-6.9824953161312235, -40.247697856842734], [-7.292422555997871, -40.25441395605593], 
[-6.752280618040691, -36.07605786191348], [-7.06225118274562, -36.0803297486755], [-7.372221747450549, -36.08460163543752], 
[-6.7605531776003955, -34.466988810779554], [-7.070540605988906, -34.46419699397364], [-7.380528034377417, -34.46140517716772], 
[-6.745065083230866, -33.838792621139696], [-7.054702380152353, -33.823801145056436], [-7.36433967707384, -33.808809668973176], 
[-6.714090263480667, -33.47980707128427], [-7.0208512776811, -33.43511165578422], [-7.3276122918815325, -33.39041624028417], 
[-6.670213952652926, -33.265087468934624], [-6.969266886781755, -33.18343367178508], [-7.268319820910584, -33.10177987463554], 
[-6.639830200161224, -33.1626143822377], [-6.936190666731188, -33.07167223659316], [-7.232551133301152, -32.98073009094862], 
[-6.593820419244213, -33.01808819543212], [-6.886879974112201, -32.917013483953056], [-7.1799395289801895, -32.81593877247399], 
[-6.490251768250479, -32.77071184878867], [-6.768524074575128, -32.63409368186801], [-7.046796380899776, -32.49747551494735], 
[-6.366729320097392, -32.552180100262895], [-6.626234223586424, -32.38260060543776], [-6.885739127075457, -32.21302111061262], 
[-6.22616216814805, -32.36608462459782], [-6.459729827487526, -32.16225590112961], [-6.693297486827002, -31.958427177661406], 
[-6.067079186916407, -32.20823148949986], [-6.2687302926198605, -31.972781215410883], [-6.470381398323314, -31.737330941321904], 
[-5.887825431239144, -32.076257141913054], [-6.052955025324864, -31.813898194748894], [-6.218084619410583, -31.551539247584735], 
[-5.685342211642929, -31.968218079231814], [-5.812123431943969, -31.68532848561095], [-5.938904652245009, -31.402438891990084], 
[-5.457196468693209, -31.88381551402159], [-5.545954918818607, -31.586793734464372], [-5.634713368944005, -31.289771954907152], 
[-5.339275554699698, -31.85348136301068], [-5.402208389740435, -31.549936542146057], [-5.465141224781172, -31.246391721281434], 
[-5.265375120058261, -31.840620285818023], [-5.309532471495815, -31.533781356876435], [-5.353689822933369, -31.226942427934848], 
[-4.892622767814638, -31.817719917666125], [-4.9001367186564, -31.507810994685926], [-4.907650669498162, -31.197902071705727], 
[-3.777247621114118, -31.792036366371352], [-3.7827097712456013, -31.482084491210156], [-3.7881719213770846, -31.17213261604896], 
[-1.1320566905254001, -31.785218428428816], [-1.130573556371452, -31.475221976331245], [-1.129090422217504, -31.165225524233673], 
[2.9346248774825474, -31.807902821049442], [2.936975369434709, -31.49791173216529], [2.9393258613868705, -31.187920643281135], 
[5.615664932757234, -31.831407494623473], [5.618460000000001, -31.521420095526175], [5.6212550672427675, -31.211432696428876], 
[8.399292108199834, -31.857507326948706], [8.402642562614831, -31.547525433194874], [8.405993017029829, -31.23754353944104], 
[10.03684644010807, -31.896978206623434], [10.05208473938122, -31.587352958564974], [10.06732303865437, -31.277727710506515], 
[10.407547783233568, -31.935573959337443], [10.47353114574968, -31.632677614243832], [10.539514508265793, -31.32978126915022], 
[10.527394038111765, -31.966103104486788], [10.60848407688687, -31.666896811753077], [10.689574115661973, -31.367690519019366], 
[10.707547028487062, -32.017089864028314], [10.799409881248165, -31.721013495024316], [10.891272734009268, -31.424937126020318], 
[11.025226055561946, -32.13938033336793], [11.153764368554599, -31.8572847784703], [11.282302681547252, -31.575189223572668], 
[11.31206567284364, -32.29017976725313], [11.472989173748926, -32.02522009700804], [11.633912674654212, -31.760260426762947], 
[11.560074900054872, -32.463896840020816], [11.754714145261469, -32.222617822645894], [11.949353390468065, -31.981338805270976], 
[11.769710474126638, -32.65854665082772], [11.996569131522532, -32.44727632739224], [12.223427788918427, -32.23600600395676], 
[11.939627008914968, -32.871001224753684], [12.196183980962447, -32.69699398325544], [12.452740953009926, -32.522986741757194], 
[12.070594034643667, -33.101352023174265], [12.351188542011512, -32.96956916224388], [12.631783049379356, -32.83778630131349], 
[12.159405871858748, -33.341641138983725], [12.459212663100056, -33.26280023636591], [12.759019454341363, -33.1839593337481], 
[12.187826873822678, -33.47301202780923], [12.492760733488806, -33.417196785902405], [12.797694593154935, -33.36138154399558], 
[12.207028505825726, -33.594151521688204], [12.51446752335782, -33.55438658111362], [12.821906540889916, -33.51462164053903], 
[12.228461606527004, -33.92884151195334], [12.5383733648474, -33.921445428208514], [12.848285123167797, -33.91404934446369], 
[12.22890319861555, -34.35218419882135], [12.538827672367225, -34.35902675461191], [12.8487521461189, -34.36586931040247], 
[12.206783644994772, -34.79703506199329], [12.515783503615497, -34.82191652843665], [12.824783362236222, -34.84679799488001], 
[12.186207318333684, -35.014016057267945], [12.494452784096639, -35.0469513398169], [12.802698249859594, -35.079886622365855], 
[12.167718526798259, -35.162099177620576], [12.474031033082342, -35.20977148083705], [12.780343539366426, -35.25744378405352], 
[12.105448734944662, -35.43066679159283], [12.402166302470603, -35.52043697105956], [12.698883869996543, -35.61020715052629], 
[12.01089283777815, -35.68544316083221], [12.293877992457032, -35.81201093805599], [12.576863147135915, -35.938578715279775], 
[11.886482774353748, -35.92006432044493], [12.15005709737265, -36.08324696733217], [12.413631420391553, -36.246429614219416], 
[11.731817169937997, -36.136412567292474], [11.971594611548491, -36.33289864439395], [12.211372053158986, -36.529384721495425], 
[11.547257683360169, -36.333658779783725], [11.759381529315599, -36.559719554747176], [11.971505375271029, -36.785780329710626], 
[11.331081623291183, -36.51240771962637], [11.514308845004992, -36.76246328389767], [11.6975360667188, -37.012518848168966], 
[11.088377471751606, -36.66797949365503], [11.237267552947715, -36.93988341735128], [11.386157634143824, -37.21178734104753], 
[10.94866638865059, -36.73953658158981], [11.085760776565431, -37.01757458043575], [11.222855164480272, -37.29561257928169], 
[10.787358681437606, -36.81701399664895], [10.917004666083228, -37.09860220425941], [11.04665065072885, -37.38019041186986], 
[10.490109149369532, -36.93773812041386], [10.591916330444826, -37.23054402520661], [10.69372351152012, -37.52334992999936], 
[10.1773874273, -37.027005894704125], [10.245776072686246, -37.329368248812955], [10.314164718072492, -37.631730602921785], 
[9.800858109946473, -37.09073825560147], [9.83862768779482, -37.39842878029984], [9.876397265643169, -37.706119304998204], 
[9.314048314420216, -37.13151717377172], [9.330514970757894, -37.44107952488867], [9.346981627095573, -37.75064187600562], 
[8.677356120015087, -37.15070184151148], [8.681481716562809, -37.460674387800864], [8.68560731311053, -37.77064693409025], 
[7.391336752706675, -37.14604672499353], [7.386403010844679, -37.456007461525175], [7.381469268982684, -37.76596819805682], 
[6.175945294654271, -37.12042089875998], [6.168460000000001, -37.43033051520313], [6.1609747053457316, -37.74024013164628], 
[3.9018277380621362, -37.0719857520234], [3.8975591231555686, -37.38195636180242], [3.893290508249001, -37.691926971581445], 
[2.213196592884562, -37.06992153194385], [2.217764931639989, -37.379887869279074], [2.222333270395416, -37.6898542066143], 
[1.6147876628942286, -37.110399005786206], [1.6648345698824532, -37.41633250689537], [1.7148814768706777, -37.72226600800454], 
[1.434998903267122, -37.14626338653605], [1.5043859296744913, -37.44839819182393], [1.5737729560818605, -37.750532997111804], 
[1.3051553051060798, -37.17886627905034], [1.387785991099836, -37.47765076615133], [1.4704166770935923, -37.776435253252316], 
[1.0577414099805016, -37.26129783340733], [1.1704925037218405, -37.55006623690767], [1.2832435974631795, -37.838834640408], 
[0.829918902202052, -37.36383033176184], [0.9721609183513813, -37.63927035942989], [1.1144029345007107, -37.914710387097934], 
[0.6194486084362458, -37.48826941446814], [0.7926514953017385, -37.745370095100185], [0.9658543821672312, -38.00247077573223], 
[0.42856990434897635, -37.63440495471111], [0.6318244948861835, -37.868472405300786], [0.8350790854233907, -38.10253985589046], 
[0.2582978013699764, -37.80222126800121], [0.4895401774179966, -38.0086842514139], [0.7207825534660168, -38.21514723482658], 
[0.11111763740049435, -37.98916968055812], [0.3656588032104562, -38.16611259482175], [0.6201999690204181, -38.343055509085374], 
[-0.015879385932799306, -38.19955571569537], [0.26004063257684074, -38.34086439690654], [0.5359606510864807, -38.48217307811771], 
[-0.06685985995836802, -38.30598394177208], [0.2147888130333122, -38.43549851624934], [0.49643748602499244, -38.5650130907266], 
[-0.11384376363242199, -38.41180517645213], [0.17219882115499807, -38.5313026228187], [0.45824140594241813, -38.65080006918527], 
[-0.1857484536254727, -38.619647321757704], [0.11343240420754519, -38.70083115208308], [0.4126132620405631, -38.78201498240846], 
[-0.24286842946857468, -38.96029408655825], [0.06600903524371127, -38.986651472485356], [0.3748864999559972, -39.01300885841246], 
[-0.25772313540739605, -39.28642038514878], [0.05216434509849499, -39.29477199731117], [0.36205182560438604, -39.303123609473566], 
[-0.2633801558559716, -39.53723580954803], [0.04660263906145978, -39.54050182473135], [0.35658543397889114, -39.54376783991467], 
[-0.2390445573479405, -40.016163473761246], [0.06813130046223925, -39.97441431354717], [0.375307158272419, -39.9326651533331], 
[-0.21057212078324267, -40.1821027872753], [0.09309689742975813, -40.11977199731117], [0.3967659156427589, -40.05744120734704], 
[-0.16500253887488436, -40.36939654605586], [0.13321826030317574, -40.28475403346556], [0.43143905948123584, -40.20011152087526], 
[-0.0370093756267133, -40.71854127248167], [0.24542896614340393, -40.590757928112595], [0.5278673079135212, -40.46297458374352], 
[0.1353722677001808, -41.03591896777042], [0.39589422326153034, -40.86790613888378], [0.65641617882288, -40.699893309997144], 
[0.3527919327944591, -41.32202940788704], [0.5844951151751516, -41.116083698354984], [0.8161982975558442, -40.91013798882293], 
[0.6126883708271607, -41.5733515730492], [0.8111127254018591, -41.33517563910202], [1.0095370799765575, -41.096999705154836], 
[0.9127394972444113, -41.78882311379839], [1.0756281374592458, -41.52506699370075], [1.2385167776740804, -41.26131087360311], 
[1.2490508385740422, -41.96758624946471], [1.3779224348649066, -41.68564279472698], [1.506794031155771, -41.40369933998925], 
[1.6248766894684519, -42.112509223526416], [1.717876701136431, -41.81678807475657], [1.8108767128044103, -41.52106692598673], 
[1.8225428406851139, -42.16929691664099], [1.9035008942854041, -41.870054884905386], [1.9844589478856944, -41.570812853169784], 
[2.0089067493111594, -42.21724316272872], [2.08033241688414, -41.91558379521007], [2.1517580844571205, -41.613924427691416], 
[2.4238058322115554, -42.29529296891465], [2.4701276687815756, -41.98877333258318], [2.516449505351596, -41.682253696251706], 
[3.2628575054980606, -42.38883029714657], [3.288674344549868, -42.07990718240542], [3.3144911836016755, -41.77098406766427], 
[4.197978741203385, -42.455938783440814], [4.21846, -42.14661610719786], [4.238941258796616, -41.8372934309549], 
[5.25943338072395, -42.53101176028271], [5.283826148309663, -42.221972939275524], [5.308218915895376, -41.91293411826834], 
[6.134404415671614, -42.615857250948395], [6.1723630459509895, -42.308189991742424], [6.210321676230365, -42.00052273253645], 
[6.467792792554677, -42.668715734892075], [6.533961574305669, -42.36585984123704], [6.6001303560566615, -42.063003947582004], 
[6.590605794080681, -42.698540236483716], [6.668460000000001, -42.39847570572296], [6.7463142059193215, -42.0984111749622], 
