length: 171, 
centerline_x, centerline_y, left_w, right_w 
-5.470664887844344, -54.368293490213844, 0.31, 0.31, 
-5.577143706598033, -54.3402593541898, 0.31, 0.31, 
-5.780236039909008, -54.257852062622845, 0.31, 0.31, 
-5.969407700926476, -54.14604017186559, 0.31, 0.31, 
-6.142345014919523, -54.00727059773169, 0.31, 0.31, 
-6.296734307157228, -53.84399025603482, 0.31, 0.31, 
-6.430261902908679, -53.65864606258867, 0.31, 0.31, 
-6.540614127442961, -53.45368493320694, 0.31, 0.31, 
-6.625477306029153, -53.231553783703276, 0.31, 0.31, 
-6.656420831486454, -53.11425162733076, 0.31, 0.31, 
-6.670301745895449, -52.9492884287567, 0.31, 0.31, 
-6.7179643194549765, -51.548564257063916, 0.31, 0.31, 
-6.822568216070002, -47.524699909895816, 0.31, 0.31, 
-6.9105922062854965, -43.5728723, 0.31, 0.31, 
-6.9824953161312235, -40.247697856842734, 0.31, 0.31, 
-7.06225118274562, -36.0803297486755, 0.31, 0.31, 
-7.070540605988906, -34.46419699397364, 0.31, 0.31, 
-7.054702380152353, -33.823801145056436, 0.31, 0.31, 
-7.0208512776811, -33.43511165578422, 0.31, 0.31, 
-6.969266886781755, -33.18343367178508, 0.31, 0.31, 
-6.936190666731188, -33.07167223659316, 0.31, 0.31, 
-6.886879974112201, -32.917013483953056, 0.31, 0.31, 
-6.768524074575128, -32.63409368186801, 0.31, 0.31, 
-6.626234223586424, -32.38260060543776, 0.31, 0.31, 
-6.459729827487526, -32.16225590112961, 0.31, 0.31, 
-6.2687302926198605, -31.972781215410883, 0.31, 0.31, 
-6.052955025324864, -31.813898194748894, 0.31, 0.31, 
-5.812123431943969, -31.68532848561095, 0.31, 0.31, 
-5.545954918818607, -31.586793734464372, 0.31, 0.31, 
-5.402208389740435, -31.549936542146057, 0.31, 0.31, 
-5.309532471495815, -31.533781356876435, 0.31, 0.31, 
-4.9001367186564, -31.507810994685926, 0.31, 0.31, 
-3.7827097712456013, -31.482084491210156, 0.31, 0.31, 
-1.130573556371452, -31.475221976331245, 0.31, 0.31, 
2.936975369434709, -31.49791173216529, 0.31, 0.31, 
5.618460000000001, -31.521420095526175, 0.31, 0.31, 
8.402642562614831, -31.547525433194874, 0.31, 0.31, 
10.05208473938122, -31.587352958564974, 0.31, 0.31, 
10.47353114574968, -31.632677614243832, 0.31, 0.31, 
10.60848407688687, -31.666896811753077, 0.31, 0.31, 
10.799409881248165, -31.721013495024316, 0.31, 0.31, 
11.153764368554599, -31.8572847784703, 0.31, 0.31, 
11.472989173748926, -32.02522009700804, 0.31, 0.31, 
11.754714145261469, -32.222617822645894, 0.31, 0.31, 
11.996569131522532, -32.44727632739224, 0.31, 0.31, 
12.196183980962447, -32.69699398325544, 0.31, 0.31, 
12.351188542011512, -32.96956916224388, 0.31, 0.31, 
12.459212663100056, -33.26280023636591, 0.31, 0.31, 
12.492760733488806, -33.417196785902405, 0.31, 0.31, 
12.51446752335782, -33.55438658111362, 0.31, 0.31, 
12.5383733648474, -33.921445428208514, 0.31, 0.31, 
12.538827672367225, -34.35902675461191, 0.31, 0.31, 
12.515783503615497, -34.82191652843665, 0.31, 0.31, 
12.494452784096639, -35.0469513398169, 0.31, 0.31, 
12.474031033082342, -35.20977148083705, 0.31, 0.31, 
12.402166302470603, -35.52043697105956, 0.31, 0.31, 
12.293877992457032, -35.81201093805599, 0.31, 0.31, 
12.15005709737265, -36.08324696733217, 0.31, 0.31, 
11.971594611548491, -36.33289864439395, 0.31, 0.31, 
