inner_point, midpoint, outer_point, 
[-74.94762333652773, -85.33296040823939], [-75.01207197747053, -82.91388201707004], [-75.07652061841331, -80.49480362590067], 
[-75.50475330335773, -85.34019171080841], [-75.57365976576892, -82.92269916219126], [-75.6425662281801, -80.5052066135741], 
[-76.12063080844769, -85.34594434525565], [-76.18258412400937, -82.92863753338152], [-76.24453743957105, -80.51133072150745], 
[-76.80941244828414, -85.35128521639179], [-76.83806775264725, -82.93224420782866], [-76.86672305701036, -80.51320319926552], 
[-77.54104631769383, -85.35609222585788], [-77.51722910130806, -82.93347176113556], [-77.4934118849223, -80.51085129641322], 
[-78.1522362369416, -85.35797833842302], [-78.13056448233635, -82.93114030046918], [-78.10889272773109, -80.50430226251534], 
[-78.76178363098974, -85.35511264116175], [-78.72961901042535, -82.92434799414931], [-78.69745438986095, -80.49358334713685], 
[-79.27687912342489, -85.34517559339487], [-79.207621554737, -82.91359990263517], [-79.13836398604911, -80.48202421187551], 
[-79.7406067433126, -85.32660432659429], [-79.64227637630603, -82.89721603527975], [-79.54394600929948, -80.46782774396524], 
[-80.1960505197184, -85.29783597223184], [-80.05110342359782, -82.87442193370757], [-79.90615632747726, -80.45100789518327], 
[-80.60034206342786, -85.26494536924454], [-80.40864643593777, -82.84826199327566], [-80.21695080844768, -80.43157861730677], 
[-81.35970795452289, -85.19307632446085], [-81.15894312606599, -82.78228532992902], [-80.95817829760911, -80.37149433539722], 
[-84.47102524189988, -84.81734255627921], [-84.18372426141508, -82.41890716439647], [-83.89642328093026, -80.02047177251374], 
[-87.97587227142418, -84.16480648994171], [-87.38145714653177, -81.83002724518266], [-86.78704202163935, -79.49524800042356], 
[-90.93847734719422, -83.41618292451989], [-90.28094774327005, -81.1079332966139], [-89.62341813934589, -78.79968366870793], 
[-93.8527006027526, -82.49674030845202], [-93.12581792820599, -80.2171898677], [-92.39893525365937, -77.93763942694801], 
[-97.17880368538385, -81.21312274945006], [-96.14289033478659, -79.06304933708762], [-95.10697698418932, -76.91297592472515], 
[-99.95560731102432, -79.93633108711396], [-98.84826713078479, -77.83294244936727], [-97.74092695054526, -75.72955381162058], 
[-102.65394386772144, -78.50049781733009], [-101.47405632002904, -76.44586577727279], [-100.29416877233665, -74.39123373721552], 
[-105.26431275061256, -76.9093421326874], [-104.0121994098928, -74.90560924188932], [-102.76008606917304, -72.90187635109126], 
[-108.18588694461693, -74.86164535280146], [-106.65897470264042, -73.06349382781525], [-105.13206246066392, -71.26534230282904], 
[-109.8593515324028, -73.547463463963], [-108.410563163499, -71.69778764996181], [-106.84541586882044, -69.94367950411805], 
[-111.68759812233455, -71.97580715264813], [-110.09350632030389, -70.25941865626709], [-108.49941451827323, -68.54303015988603], 
[-113.25794766829102, -70.50003023504868], [-111.67460739591803, -68.78252660836188], [-110.09126712354504, -67.06502298167504], 
[-114.61361795751314, -69.13231194735614], [-113.11590017833589, -67.32179931419168], [-111.61818239915863, -65.5112866810272], 
[-116.99940959900997, -66.46731160144707], [-115.27382048218627, -64.89598204073636], [-113.54823136536257, -63.32465248002567], 
[-119.19363686190783, -63.63668609104161], [-117.2724471930882, -62.32341547791705], [-115.35125752426856, -61.01014486479249], 
[-120.87047318969809, -61.16262374891593], [-118.85104384418, -60.01359660098021], [-116.8316144986619, -58.86456945304445], 
[-122.10956533578539, -59.114497995231645], [-120.08571761158737, -57.99298905369252], [-118.06186988738935, -56.87148011215339], 
[-123.25527434949414, -57.01018193515728], [-121.22045856728207, -55.92284159669204], [-119.18564278506997, -54.835501258226785], 
[-124.55274170199658, -54.30784647332193], [-122.37805968689969, -53.53160983199416], [-120.2033776718028, -52.75537319066639], 
[-125.48030134451076, -52.09408757975467], [-123.29791018609879, -51.36196189431435], [-121.11551902768683, -50.629836208874025], 
[-126.30733356723054, -49.83923647391714], [-124.1149224500258, -49.14843354308428], [-121.92251133282107, -48.45763061225141], 
[-127.03164012787411, -47.5479387232308], [-124.82821959758932, -46.89271771171558], [-122.62479906730454, -46.23749670020034], 
[-127.65102278415964, -45.224839895117114], [-125.43692474769793, -44.596507333619854], [-123.22282671123622, -43.968174772122566], 
[-128.27435297928687, -42.283323326461485], [-125.99569586200101, -41.96586422694068], [-123.71703874471515, -41.64840512741986], 
[-128.64961952742402, -39.90565743002108], [-126.37874958763217, -39.591292747757564], [-124.10787964784032, -39.27692806549405], 
[-128.82381843910125, -38.476638137197085], [-126.54424663232622, -38.274021866916314], [-124.2646748255512, -38.071405596635515], 
[-128.92048389987696, -37.53375257896789], [-126.64140500228368, -37.35904317487076], [-124.3623261046904, -37.184333770773634], 
[-128.96157171542927, -37.04312956924552], [-126.67853315061446, -36.87340516811484], [-124.39549458579964, -36.703680766984164], 
[-129.0003512714081, -36.460245333269], [-126.70892517179803, -36.33648065130822], [-124.41749907218795, -36.21271596934744], 
[-129.03277942623612, -35.75672730068412], [-126.73412922497678, -35.70037049907668], [-124.43547902371745, -35.64401369746922], 
[-129.0511274741888, -35.105016588884254], [-126.75028206366093, -35.05908511056137], [-124.44943665313305, -35.01315363223847], 
[-129.06217303110228, -34.38198960932537], [-126.760773602141, -34.35885253193479], [-124.45937417317973, -34.3357154545442], 
[-129.06725974060305, -33.562667287063604], [-126.76627676860275, -33.59497306616949], [-124.46529379660244, -33.62727884527537], 
[-129.06788203830683, -32.78149046474388], [-126.76753988722646, -32.842456975032405], [-124.46719773614609, -32.90342348532093], 
[-129.0645828740881, -31.985508341878145], [-126.76425842509376, -31.9930823396044], [-124.46393397609941, -32.00065633733065], 
[-129.0537333712995, -31.124551638538904], [-126.75527204428172, -31.211811817561454], [-124.45681071726395, -31.299071996584004], 
[-129.03386286690028, -30.343141093164732], [-126.74006931108066, -30.471167595906977], [-124.44226996050668, -30.473438706666244], 
[-129.00926411554536, -29.734976287716535], [-126.71769741042937, -29.80398690367221], [-124.42613070531337, -29.872997519627887], 
[-128.9687188709426, -29.03548676738336], [-126.68735340364043, -29.18915629708836], [-124.40598793633825, -29.342825826793387], 
[-128.9246608454103, -28.461126268251434], [-126.6499218751263, -28.631894312665054], [-124.37518290484229, -28.802662357078688], 
[-128.85808808298535, -27.76084605803635], [-126.58973059496826, -28.012796982611647], [-124.30917808906989, -28.14624819872114], 
[-128.759513326812, -26.8975178278791], [-126.48547335975168, -27.11476134839384], [-124.21143339269136, -27.332004868908584], 
[-128.59579855946063, -25.654049647291814], [-126.31941849527219, -25.88790311423503], [-124.04303843108374, -26.121756581178275], 
[-128.18086403213192, -23.131593202637248], [-125.94251982786889, -23.632774236264808], [-123.70417562360585, -24.13395526989234], 
[-127.63989990376311, -20.6343482627031], [-125.42055107817944, -21.215204275165775], [-123.20120225259576, -21.79606028762845], 
[-126.97561707909662, -18.167495729098093], [-124.78417593741116, -18.83816234813392], [-122.5927347957257, -19.508828967169734], 
[-126.19072646287488, -15.736216503430953], [-124.03453910777387, -16.50364698437228], [-121.87835175267287, -17.27107746531361], 
[-125.28793895984026, -13.34569148731046], [-123.17278529147734, -14.21365671308395], [-121.05763162311442, -15.08162193885741], 
[-124.26996547473522, -11.001101582345385], [-122.20005919073137, -11.97019006347196], [-120.13015290672752, -12.93927854459858], 
[-123.13951691230213, -8.707627690144392], [-121.11750550774575, -9.775245564739436], [-119.09549410318937, -10.842863439334451], 
[-121.8993041772834, -6.470450712316307], [-119.92626894473027, -7.6308217460893815], [-117.95323371217714, -8.791192779862428], 
[-120.55203817442145, -4.294751550469826], [-118.62749420389473, -5.538917136724848], [-116.702950233368, -6.783082722979884], 
[-118.721541906883, -1.6694735566804724], [-117.00036230159407, -3.201205927005404], [-115.27918269630513, -4.7329382973303495], 
[-116.73330543282455, 0.8415312424193786], [-114.92543085773403, -0.582118464232039], [-113.1175562826435, -2.0057681708834423], 
[-114.1466595793896, 3.689648904924951], [-112.70169188974272, 1.8683147973694076], [-111.25672420009583, 0.04698068981385006], 
[-112.30479080844766, 5.480245462732185], [-110.54037967262704, 3.9630304112917827], [-108.77596853680643, 2.4458153598513945], 
[-109.461995081303, 7.930452170851893], [-108.06839548205235, 6.078647767651205], [-106.67479588280169, 4.226843364450488], 
[-106.98644574402226, 9.800623824201736], [-105.4493818922598, 8.037667587426782], [-103.91231804049733, 6.2747113506518275], 
[-103.89435970223319, 11.835983271791335], [-102.74754508687946, 9.800948394501248], [-101.60073047152571, 7.765913517211189], 
[-101.22148064872047, 13.3558453547533], [-99.90770908476983, 11.398014473451369], [-98.59393752081917, 9.440183592149438], 
