inner_point, midpoint, outer_point, 
[-5.1784979831607085, -52.99911910402062], [-5.470664887844344, -54.368293490213844], [-5.7628317925279795, -55.73746787640707], 
[-5.159196819943944, -53.00410053131875], [-5.577143706598033, -54.3402593541898], [-5.9950905932521215, -55.676418177060846], 
[-5.155926255948036, -53.00476096711119], [-5.780236039909008, -54.257852062622845], [-6.40454582386998, -55.5109431581345], 
[-5.172622534697452, -52.99489578523228], [-5.969407700926476, -54.14604017186559], [-6.7661928671555005, -55.297184558498905], 
[-5.1926748421640445, -52.978617807438205], [-6.142345014919523, -54.00727059773169], [-7.092015187675002, -55.035923388025175], 
[-5.217327543808753, -52.95242924340721], [-6.296734307157228, -53.84399025603482], [-7.376141070505704, -54.735551268662434], 
[-5.243729214052534, -52.915584706928314], [-6.430261902908679, -53.65864606258867], [-7.616794591764824, -54.40170741824903], 
[-5.266527937583461, -52.873422595286144], [-6.540614127442961, -53.45368493320694], [-7.814700317302461, -54.03394727112773], 
[-5.291895667033034, -52.805455189323496], [-6.625477306029153, -53.231553783703276], [-7.959058945025272, -53.65765237808306], 
[-5.278949658844084, -52.86410533305628], [-6.656420831486454, -53.11425162733076], [-8.033892004128823, -53.36439792160524], 
[-5.27122810581081, -52.89836741521299], [-6.670301745895449, -52.9492884287567], [-8.069375385980088, -53.00020944230042], 
[-5.318656940198208, -51.50453178770829], [-6.7179643194549765, -51.548564257063916], [-8.117271698711745, -51.59259672641954], 
[-5.422934985371086, -47.492655885128094], [-6.822568216070002, -47.524699909895816], [-8.222201446768919, -47.55674393466354], 
[-5.510923740981857, -43.54240613459386], [-6.9105922062854965, -43.5728723], [-8.310260671589136, -43.60333846540614], 
[-5.5828239102818475, -40.21736708620249], [-6.9824953161312235, -40.247697856842734], [-8.3821667219806, -40.278028627482975], 
[-5.6623841163362645, -36.06103735684703], [-7.06225118274562, -36.0803297486755], [-8.462118249154976, -36.099622140503975], 
[-5.670597381008535, -34.47680519890359], [-7.070540605988906, -34.46419699397364], [-8.470483830969279, -34.45158878904368], 
[-5.656340394055316, -33.89150458543246], [-7.054702380152353, -33.823801145056436], [-8.45306436624939, -33.756097704680414], 
[-5.635478955485597, -33.63696191933282], [-7.0208512776811, -33.43511165578422], [-8.406223599876602, -33.23326139223562], 
[-5.618705248780591, -33.55219275568623], [-6.969266886781755, -33.18343367178508], [-8.319828524782919, -32.814674587883935], 
[-5.597788559641027, -33.482378700794314], [-6.936190666731188, -33.07167223659316], [-8.27459277382135, -32.660965772392004], 
[-5.563385210192255, -33.37347992289078], [-6.886879974112201, -32.917013483953056], [-8.210374738032147, -32.46054704501533], 
[-5.511810433108975, -33.25107895183228], [-6.768524074575128, -32.63409368186801], [-8.02523771604128, -32.01710841190374], 
[-5.454276594926276, -33.14844348529321], [-6.626234223586424, -32.38260060543776], [-7.798191852246572, -31.616757725582314], 
[-5.404908140147958, -33.082772716792476], [-6.459729827487526, -32.16225590112961], [-7.514551514827094, -31.241739085466744], 
[-5.358047879765557, -33.036105033877234], [-6.2687302926198605, -31.972781215410883], [-7.179412705474164, -30.909457396944532], 
[-5.307208471389355, -32.998745052909605], [-6.052955025324864, -31.813898194748894], [-6.798701579260372, -30.62905133658818], 
[-5.239563082197337, -32.96289439228583], [-5.812123431943969, -31.68532848561095], [-6.384683781690601, -30.407762578936065], 
[-5.145110305349068, -32.92818241633569], [-5.545954918818607, -31.586793734464372], [-5.946799532288146, -30.24540505259306], 
[-5.117995586330657, -32.92078412024435], [-5.402208389740435, -31.549936542146057], [-5.686421193150213, -30.179088964047764], 
[-5.110112174681055, -32.9195055520965], [-5.309532471495815, -31.533781356876435], [-5.508952768310574, -30.148057161656364], 
[-4.8662027471129585, -32.907399679112636], [-4.9001367186564, -31.507810994685926], [-4.9340706901998415, -30.108222310259215], 
[-3.7580419964582568, -32.881867153228455], [-3.7827097712456013, -31.482084491210156], [-3.8073775460329458, -30.082301829191856], 
[-1.13727158158283, -32.87520595354608], [-1.130573556371452, -31.475221976331245], [-1.123875531160074, -30.07523799911641], 
[2.926360244489463, -32.8978714884163], [2.936975369434709, -31.49791173216529], [2.9475904943799547, -30.097951975914274], 
[5.605837115677827, -32.92136318822366], [5.618460000000001, -31.521420095526175], [5.631082884322175, -30.121477002828694], 
[8.387511478160006, -32.9474436630509], [8.402642562614831, -31.547525433194874], [8.417773647069657, -30.14760720333885], 
[9.983266613631505, -32.98566053044188], [10.05208473938122, -31.587352958564974], [10.120902865130935, -30.189045386688065], 
[10.175541766644658, -33.00059659208594], [10.47353114574968, -31.632677614243832], [10.771520524854703, -30.264758636401723], 
[10.242270998547687, -33.0181510370021], [10.60848407688687, -31.666896811753077], [10.974697155226051, -30.31564258650405], 
[10.384545384907701, -33.05813258084883], [10.799409881248165, -31.721013495024316], [11.214274377588628, -30.383894409199804], 
[10.573268761491006, -33.131264703814445], [11.153764368554599, -31.8572847784703], [11.734259975618192, -30.583304853126158], 
