inner_point, midpoint, outer_point, 
[-8.998560775201097, -34.222412870090764], [-9.21289980387475, -34.56368663232167], [-9.427238832548403, -34.904960394552575], 
[-9.017844499683367, -34.20858259117982], [-9.270710986456695, -34.52237797015618], [-9.523577473230024, -34.83617334913254], 
[-9.06922048995619, -34.15408502635138], [-9.393054736456694, -34.393960787514224], [-9.716888982957197, -34.63383654867707], 
[-9.096288866333726, -34.11371586774543], [-9.43789980387475, -34.32751710102612], [-9.779510741415773, -34.54131833430681], 
[-9.102479008001916, -34.10413273580352], [-9.467474215644284, -34.274976226748024], [-9.832469423286652, -34.44581971769253], 
[-9.106326217634443, -34.068645372849716], [-9.50580219084279, -34.12182381612558], [-9.905278164051136, -34.17500225940144], 
[-9.127498795070792, -33.616618046221674], [-9.530494237740593, -33.61853460234461], [-9.933489680410393, -33.620451158467546], 
[-9.128540097291548, -32.847592269685016], [-9.531540000000001, -32.8478723], [-9.934539902708455, -32.84815233031498], 
[-9.127450218078854, -32.08585822425063], [-9.530437959033078, -32.08271487562036], [-9.933425699987302, -32.079571526990094], 
[-9.10624573314425, -31.630410095914865], [-9.506351032479461, -31.582194440325825], [-9.906456331814672, -31.533978784736785], 
[-9.111425833476527, -31.62046744049775], [-9.469441504339446, -31.435443713866345], [-9.827457175202365, -31.250419987234938], 
[-9.106463844696744, -31.61422309210103], [-9.441111972200765, -31.389679931977966], [-9.775760099704787, -31.1651367718549], 
[-9.077841683646554, -31.573014774187154], [-9.378536586169272, -31.304702315294815], [-9.67923148869199, -31.036389856402476], 
[-9.065120716641816, -31.56487668701514], [-9.263091890904347, -31.213854730207427], [-9.461063065166877, -30.862832773399713], 
[-9.030471531483428, -31.549599489105717], [-9.164874765740896, -31.169672166291033], [-9.299277999998363, -30.78974484347635], 
[-8.91349292074123, -31.52322818369122], [-8.97257337526983, -31.124582351036853], [-9.03165382979843, -30.725936518382486], 
[-8.579910658880818, -31.502367235799095], [-8.585458594198466, -31.099405425680928], [-8.591006529516113, -30.69644361556276], 
[-8.312420927656442, -31.500869814903687], [-8.31383619492963, -31.097872300000002], [-8.315251462202818, -30.694874785096317], 
[-7.975905134018646, -31.502641303494805], [-7.964392191289354, -31.09980578848935], [-7.952879248560063, -30.696970273483892], 
[-7.6840170256189495, -31.52939026149084], [-7.608524703262035, -31.133524237102336], [-7.533032380905121, -30.737658212713832], 
