length: 82, 
centerline_x, centerline_y, left_w, right_w 
-9.21289980387475, -34.56368663232167, 0.403, 0.403, 
-9.270710986456695, -34.52237797015618, 0.403, 0.403, 
-9.393054736456694, -34.393960787514224, 0.403, 0.403, 
-9.43789980387475, -34.32751710102612, 0.403, 0.403, 
-9.467474215644284, -34.274976226748024, 0.403, 0.403, 
-9.50580219084279, -34.12182381612558, 0.403, 0.403, 
-9.530494237740593, -33.61853460234461, 0.403, 0.403, 
-9.531540000000001, -32.8478723, 0.403, 0.403, 
-9.530437959033078, -32.08271487562036, 0.403, 0.403, 
-9.506351032479461, -31.582194440325825, 0.403, 0.403, 
-9.469441504339446, -31.435443713866345, 0.403, 0.403, 
-9.441111972200765, -31.389679931977966, 0.403, 0.403, 
-9.378536586169272, -31.304702315294815, 0.403, 0.403, 
-9.263091890904347, -31.213854730207427, 0.403, 0.403, 
-9.164874765740896, -31.169672166291033, 0.403, 0.403, 
-8.97257337526983, -31.124582351036853, 0.403, 0.403, 
-8.585458594198466, -31.099405425680928, 0.403, 0.403, 
-8.31383619492963, -31.097872300000002, 0.403, 0.403, 
-7.964392191289354, -31.09980578848935, 0.403, 0.403, 
-7.608524703262035, -31.133524237102336, 0.403, 0.403, 
-7.442799940395895, -31.182906536943023, 0.403, 0.403, 
-7.327402334609569, -31.262963338257954, 0.403, 0.403, 
-7.252087715855887, -31.380801508477475, 0.403, 0.403, 
-7.206611914087688, -31.543527915031927, 0.403, 0.403, 
-7.180730759257803, -31.75824942535165, 0.403, 0.403, 
-7.172113054299471, -31.889939882366757, 0.403, 0.403, 
-7.160428704758118, -32.05981658427321, 0.403, 0.403, 
-7.123124753395141, -32.32243370102049, 0.403, 0.403, 
-7.059536602993302, -32.52258439275468, 0.403, 0.403, 
-6.959039924327563, -32.69370990332649, 0.403, 0.403, 
-6.88942890809201, -32.77971929957208, 0.403, 0.403, 
-6.833877443034135, -32.840750255293116, 0.403, 0.403, 
-6.6982024316843605, -32.94706826695108, 0.403, 0.403, 
-6.539699544068573, -33.03301888717504, 0.403, 0.403, 
-6.365767248203233, -33.09696354741716, 0.403, 0.403, 
-6.183804012104807, -33.13726367912962, 0.403, 0.403, 
-6.001208303789754, -33.15228071376455, 0.403, 0.403, 
-5.825378591274537, -33.14037608277413, 0.403, 0.403, 
-5.663713342575618, -33.099911217610526, 0.403, 0.403, 
-5.59155700365579, -33.06716422425112, 0.403, 0.403, 
-5.510939061542117, -33.02500987387321, 0.403, 0.403, 
-5.371457012909797, -32.93532773471622, 0.403, 0.403, 
-5.256084995271208, -32.83564233683662, 0.403, 0.403, 
-5.162606817826022, -32.72200353285532, 0.403, 0.403, 
-5.088806289773898, -32.5904611753932, 0.403, 0.403, 
-5.03246722031451, -32.43706511707118, 0.403, 0.403, 
-4.974360810912087, -32.16132052674746, 0.403, 0.403, 
-4.953874042165044, -31.930555553799984, 0.403, 0.403, 
-4.94234727120069, -31.785485582942712, 0.403, 0.403, 
-4.90690891363809, -31.54458965895644, 0.403, 0.403, 
-4.849442958793497, -31.357089853774816, 0.403, 0.403, 
-4.7619873860876805, -31.216656497987533, 0.403, 0.403, 
-4.6365801749413995, -31.116959922184275, 0.403, 0.403, 
-4.465259304775423, -31.05167045695473, 0.403, 0.403, 
-4.240062755010514, -31.0144584328886, 0.403, 0.403, 
-3.953028505067433, -30.99899418057556, 0.403, 0.403, 
-3.780759913971109, -30.997949999953967, 0.403, 0.403, 
-3.5382326636892003, -30.999927449071993, 0.403, 0.403, 
-3.187459440471569, -31.03153817521022, 0.403, 0.403, 
-3.0092079310841555, -31.086930529685635, 0.403, 0.403, 
-2.9165723082539152, -31.14064548633095, 0.403, 0.403, 
-2.805872844561332, -31.250171725984004, 0.403, 0.403, 
-2.7453782639911584, -31.3517355648635, 0.403, 0.403, 
-2.7155259103311753, -31.409519456711312, 0.403, 0.403, 
-2.6779797978945368, -31.565452992594402, 0.403, 0.403, 
-2.658688127439234, -32.061440503865484, 0.403, 0.403, 
-2.666514999127658, -32.8228723, 0.403, 0.403, 
-2.676301450679972, -33.587560189861144, 0.403, 0.403, 
-2.7078758534701244, -34.082701639549406, 0.403, 0.403, 
-2.7506646332779887, -34.23878647037624, 0.403, 0.403, 
-2.783240879917793, -34.2978723, 0.403, 0.403, 
-2.820099299388488, -34.36261321697602, 0.403, 0.403, 
-2.890889289332632, -34.46530041136704, 0.403, 0.403, 
-2.997043731891706, -34.53985149704001, 0.403, 0.403, 
-3.181758928634183, -34.590730317056256, 0.403, 0.403, 
-3.488231181128535, -34.6224007144771, 0.403, 0.403, 
-3.9596567909432334, -34.63932653236387, 0.403, 0.403, 
-5.036456646416768, -34.64728195074934, 0.403, 0.403, 
-6.156540000000001, -34.646464131341595, 0.403, 0.403, 
-7.831703032559301, -34.64466947801839, 0.403, 0.403, 
-8.89933042991595, -34.62229043064623, 0.403, 0.403, 
-9.162418333122538, -34.58902007467404, 0.403, 0.403, 
