
This is MPCC_solv_20N_no_warm_no_hard_invitedguest, a primal-dual interior point solver generated by FORCESPRO v5.1.0.
Problem size: 294 variables, 208 equality and 544 inequality constraints in 21 stage(s)
(c) embotech AG, Zurich, Switzerland, 2013-2022. All rights reserved. Email: support@embotech.com

   #it  res_eq  res_ineq     pobj         dobj       dgap     rdgap     mu
  ---------------------------------------------------------------------------
    0  4.7e+02  9.0e+03  +0.0000e+00  -3.5200e+08  +3.5e+08  1.0e+06  1.0e+06
    1  4.8e+01  9.2e+02  -2.2316e+09  -1.1897e+10  +9.7e+09  4.3e+00  1.6e+07
    2  4.9e+00  9.4e+01  -2.2545e+09  -2.3880e+09  +1.3e+08  5.9e-02  2.6e+05
    3  7.2e-01  1.4e+01  -2.2546e+09  -2.2755e+09  +2.1e+07  9.2e-03  4.0e+04
    4  1.7e-01  3.2e+00  -2.2546e+09  -2.2600e+09  +5.4e+06  2.4e-03  1.0e+04
    5  3.8e-02  7.3e-01  -2.2547e+09  -2.2561e+09  +1.4e+06  6.2e-04  2.6e+03
    6  2.1e-03  4.0e-02  -2.2547e+09  -2.2548e+09  +1.5e+05  6.5e-05  2.7e+02
    7  2.1e-04  4.1e-03  -2.2547e+09  -2.2547e+09  +1.7e+04  7.6e-06  3.1e+01
    8  3.1e-05  6.0e-04  -2.2547e+09  -2.2547e+09  +2.8e+03  1.2e-06  5.2e+00
    9  8.4e-06  1.6e-04  -2.2547e+09  -2.2547e+09  +8.6e+02  3.8e-07  1.6e+00
   10  3.1e-06  6.0e-05  -2.2547e+09  -2.2547e+09  +3.6e+02  1.6e-07  6.7e-01
   11  5.9e-07  1.1e-05  -2.2547e+09  -2.2547e+09  +9.0e+01  4.0e-08  1.7e-01
   12  1.1e-07  2.2e-06  -2.2547e+09  -2.2547e+09  +1.9e+01  8.4e-09  3.5e-02
   13  3.2e-08  5.8e-07  -2.2547e+09  -2.2547e+09  +5.7e+00  2.5e-09  1.1e-02
   14  5.8e-08  5.9e-08  -2.2547e+09  -2.2547e+09  +9.8e-01  4.3e-10  1.8e-03
   15  1.8e-07  1.8e-08  -2.2547e+09  -2.2547e+09  +3.5e-01  1.6e-10  6.4e-04
   16  3.7e-07  5.5e-09  -2.2547e+09  -2.2547e+09  +1.3e-01  5.6e-11  2.3e-04
   17  4.6e-08  1.7e-09  -2.2547e+09  -2.2547e+09  +4.2e-02  1.9e-11  7.8e-05

OPTIMAL (within RESEQ=1.0e-04, RESINEQ=1.0e-04, (R)DGAP=(1.0e-04)1.0e-02, MU=1.0e-04).
Solve time: 1.780 ms (17 iterations)

