inner_point, midpoint, outer_point, 
[-5.876705889948227, -37.401064901337286], [-6.007298265762499, -36.79497445315386], [-6.13789064157677, -36.18888400497044], 
[-5.613277042299235, -37.33225408355685], [-5.795137260812701, -36.739525763900836], [-5.976997479326166, -36.146797444244825], 
[-5.1226136722398, -37.14020077366704], [-5.389104005685981, -36.580394644565416], [-5.655594339132162, -36.02058851546379], 
[-4.671359766176177, -36.88748695989706], [-5.009637043418976, -36.367902045084094], [-5.347914320661774, -35.84831713027113], 
[-4.258071345784703, -36.57754445686505], [-4.661869470825308, -36.107069086400564], [-5.0656675958659125, -35.63659371593608], 
[-3.8895251950286442, -36.217044357358986], [-4.350934384718605, -35.802916889458515], [-4.812343574408566, -35.388789421558045], 
[-3.5700364521555876, -35.8102226084686], [-4.0819648819124925, -35.46046657520165], [-4.593893311669397, -35.1107105419347], 
[-3.3070157092887413, -35.36492552197515], [-3.8600940592205966, -35.084739264573656], [-4.413172409152452, -34.80455300717216], 
[-3.10152834904327, -34.874573992920034], [-3.690455013456539, -34.68075607851824], [-4.279381677869808, -34.48693816411645], 
[-3.02876504898958, -34.62291754700095], [-3.6293236422662183, -34.46887412441633], [-4.229882235542857, -34.31483070183171], 
[-2.9821721558466243, -34.41791642741483], [-3.5912078298693118, -34.301832200373724], [-4.200243503892, -34.18574797333262], 
[-2.9300600200366658, -33.932807116961975], [-3.549476011157548, -33.90590302909907], [-4.16889200227843, -33.87899894123617], 
[-2.929723783566037, -33.45838205631807], [-3.5491783020922174, -33.484383969276514], [-4.168632820618398, -33.51038588223496], 
[-2.981481595045162, -32.97435874446592], [-3.5903528608377453, -33.09130224232765], [-4.1992241266303285, -33.20824574018938], 
[-3.0280468661689115, -32.77138822308754], [-3.6282345611100233, -32.926870475583684], [-4.228422256051135, -33.082352728079826], 
[-3.1005602225301043, -32.52208701574141], [-3.6894755343171504, -32.71593942233665], [-4.278390846104196, -32.909791828931894], 
[-3.300699146852326, -32.03924545912631], [-3.8556192775072953, -32.31576607064356], [-4.410539408162264, -32.59228668216081], 
[-3.5555682197269824, -31.599953200619467], [-4.070519816733283, -31.94524272079154], [-4.585471413739583, -32.290532240963614], 
[-3.8649218954181106, -31.198546518175807], [-4.330135640778192, -31.60839547953602], [-4.795349386138273, -32.01824444089623], 
[-4.222387336872188, -30.84244742140548], [-4.6304252384251035, -31.30925045363245], [-5.038463139978019, -31.77605348585942], 
[-4.624572782103476, -30.535204513295874], [-4.967347098457095, -31.051833749836266], [-5.310121414810714, -31.56846298637666], 
[-5.0634420219413, -30.283715934860346], [-5.336859709657245, -30.840171474902913], [-5.610277397373191, -31.39662701494548], 
[-5.547544742410307, -30.087282182398436], [-5.734921560808636, -30.678289735587835], [-5.922298379206965, -31.269297288777235], 
[-5.790765968165615, -30.018919815418368], [-5.944332436324336, -30.619600545804534], [-6.097898904483057, -31.2202812761907], 
[-5.965736602900634, -29.977393888819698], [-6.0942636175793545, -30.583925674052573], [-6.222790632258075, -31.190457459285447], 
[-6.3338694059729805, -29.921368990004076], [-6.394817833923752, -30.538365982809008], [-6.4557662618745235, -31.15536297561394], 
[-6.692411352188606, -29.90283997384723], [-6.694558138222285, -30.522836257150384], [-6.696704924255964, -31.14283254045354], 
[-7.04956733539385, -29.91902676870682], [-6.991657711978169, -30.536316389157268], [-6.933748088562488, -31.153606009607714], 
[-7.400125523726528, -29.96870329590378], [-7.284289736694626, -30.577786270910224], [-7.168453949662725, -31.186869245916668], 
[-7.742609406860847, -30.050556265968094], [-7.570627393874871, -30.646225794489816], [-7.398645380888896, -31.241895323011537], 
[-8.074739694509544, -30.163231899145305], [-7.848843865022126, -30.740614851976606], [-7.6229480355347095, -31.317997804807906], 
[-8.394554563656367, -30.305473410935825], [-8.117112331639607, -30.859933335451167], [-7.839670099622848, -31.41439325996651], 
[-8.700070713239121, -30.47607407128576], [-8.373605975230534, -31.003161136994056], [-8.047141237221947, -31.530248202702353], 
[-8.989320253349476, -30.67389592203667], [-8.616497977298126, -31.16927814868584], [-8.243675701246776, -31.66466037533501], 
[-9.260281200216157, -30.897832087721785], [-8.8439615193456, -31.357264262607085], [-8.427641838475042, -31.816696437492386], 
[-9.510916945563826, -31.14683569559713], [-9.054169782876174, -31.566099370838355], [-8.597422620188523, -31.98536304607958], 
[-9.738938523876469, -31.41964070731038], [-9.245295949393068, -31.794763365460216], [-8.751653374909667, -32.169886023610054], 
[-9.942573416286839, -31.71572805468884], [-9.415513200399502, -32.04223613855323], [-8.888452984512165, -32.36874422241762], 
[-10.117987971741975, -32.0311237635511], [-9.562994717398691, -32.30749758219797], [-9.008001463055407, -32.583871400844835], 
[-10.267665113431503, -32.37513245815739], [-9.685913681893858, -32.589527588474986], [-9.104162250356213, -32.803922718792585], 
[-10.325697512984291, -32.54429534858704], [-9.73645371032847, -32.737146952240494], [-9.14720990767265, -32.929998555893945], 
[-10.369276661803418, -32.68213258168472], [-9.775228777367008, -32.85963500701075], [-9.181180892930598, -33.037137432336785], 
[-10.436292622328727, -32.94900641722166], [-9.828344667736927, -33.07065872713662], [-9.220396713145126, -33.192311037051574], 
[-10.4865933438541, -33.36203188344282], [-9.867305684584162, -33.39174375103744], [-9.248018025314224, -33.42145561863206], 
[-10.49070146241834, -33.696074600648316], [-9.87070406865201, -33.6978723], [-9.25070667488568, -33.699669999351684], 
[-10.488200973108988, -34.03639210487021], [-9.868820716747134, -34.0086775233449], [-9.24944046038528, -33.98096294181959], 
[-10.437642476234341, -34.44772210586248], [-9.8307333919579, -34.32098867135236], [-9.223824307681458, -34.19425523684224], 
[-10.367323151631565, -34.71296618506953], [-9.776135509188547, -34.5261583388139], [-9.18494786674553, -34.33935049255827], 
[-10.321862931311216, -34.849399234131845], [-9.735529498169782, -34.6478723], [-9.149196065028349, -34.44634536586816], 
[-10.257416000902742, -35.02944549417634], [-9.678197329548558, -34.80829909299673], [-9.098978658194374, -34.58715269181711], 
[-10.095631688808341, -35.39249214608313], [-9.54267659940934, -35.11206270913375], [-8.98972151001034, -34.831633272184376], 
[-9.906235931245579, -35.726623214958536], [-9.382309616424319, -35.39510969089381], [-8.858383301603059, -35.063596166829086], 
[-9.685098857640035, -36.039896411859296], [-9.197297956849406, -35.65720818211104], [-8.709497056058776, -35.27451995236279], 
[-9.43462199512404, -36.32799689492323], [-8.987843196940513, -35.898126326619604], [-8.541064398756987, -35.468255758315976], 
[-9.155280507412431, -36.59038150346879], [-8.754146912953557, -36.11763226825365], [-8.353013318494682, -35.64488303303851], 
[-8.85056522078124, -36.82438958416801], [-8.496410681144443, -36.31549415084732], [-8.142256141507646, -35.80659871752663], 
[-8.514979246350585, -37.033987333259475], [-8.214836077769087, -36.491480118234776], [-7.91469290918759, -35.94897290321008], 
[-8.341831993358523, -37.124631971164405], [-8.06419171235811, -36.57027119119705], [-7.786551431357696, -36.0159104112297], 
[-8.210350716645952, -37.187516096864485], [-7.957275674924574, -36.62151872650158], [-7.704200633203196, -36.05552135613867], 
[-7.909857813673492, -37.300179753048205], [-7.722826416831879, -36.70906279626598], [-7.535795019990266, -36.11794583948376], 
[-7.607387800080873, -37.38245978092215], [-7.46918277311454, -36.77805977221828], [-7.330977746148208, -36.17365976351441], 
[-7.292715525843992, -37.44123880619755], [-7.202507226268238, -36.827836440137844], [-7.112298926692484, -36.214434074078135], 
[-6.973393444923324, -37.476125495946164], [-6.928962258788649, -36.85771958580408], [-6.8845310726539735, -36.23931367566199], 
[-6.651782726745915, -37.487029082863884], [-6.654710353171446, -36.86703599499636], [-6.657637979596978, -36.24704290712883], 
[-6.333457094511307, -37.47288933386034], [-6.385913991912312, -36.85511245349409], [-6.438370889313316, -36.23733557312784], 
[-6.0156409359689995, -37.43087363417949], [-6.128735657506922, -36.82127574707664], [-6.241830379044844, -36.21167785997379], 
[-5.857131719285913, -37.39651415119489], [-6.007298265762499, -36.79497445315386], [-6.157464812239084, -36.19343475511283], 
