length: 67, 
centerline_x, centerline_y, left_w, right_w 
-6.007298265762499, -36.79497445315386, 0.62, 0.62, 
-5.795137260812701, -36.739525763900836, 0.62, 0.62, 
-5.389104005685981, -36.580394644565416, 0.62, 0.62, 
-5.009637043418976, -36.367902045084094, 0.62, 0.62, 
-4.661869470825308, -36.107069086400564, 0.62, 0.62, 
-4.350934384718605, -35.802916889458515, 0.62, 0.62, 
-4.0819648819124925, -35.46046657520165, 0.62, 0.62, 
-3.8600940592205966, -35.084739264573656, 0.62, 0.62, 
-3.690455013456539, -34.68075607851824, 0.62, 0.62, 
-3.6293236422662183, -34.46887412441633, 0.62, 0.62, 
-3.5912078298693118, -34.301832200373724, 0.62, 0.62, 
-3.549476011157548, -33.90590302909907, 0.62, 0.62, 
-3.5491783020922174, -33.484383969276514, 0.62, 0.62, 
-3.5903528608377453, -33.09130224232765, 0.62, 0.62, 
-3.6282345611100233, -32.926870475583684, 0.62, 0.62, 
-3.6894755343171504, -32.71593942233665, 0.62, 0.62, 
-3.8556192775072953, -32.31576607064356, 0.62, 0.62, 
-4.070519816733283, -31.94524272079154, 0.62, 0.62, 
-4.330135640778192, -31.60839547953602, 0.62, 0.62, 
-4.6304252384251035, -31.30925045363245, 0.62, 0.62, 
-4.967347098457095, -31.051833749836266, 0.62, 0.62, 
-5.336859709657245, -30.840171474902913, 0.62, 0.62, 
-5.734921560808636, -30.678289735587835, 0.62, 0.62, 
-5.944332436324336, -30.619600545804534, 0.62, 0.62, 
-6.0942636175793545, -30.583925674052573, 0.62, 0.62, 
-6.394817833923752, -30.538365982809008, 0.62, 0.62, 
-6.694558138222285, -30.522836257150384, 0.62, 0.62, 
-6.991657711978169, -30.536316389157268, 0.62, 0.62, 
-7.284289736694626, -30.577786270910224, 0.62, 0.62, 
-7.570627393874871, -30.646225794489816, 0.62, 0.62, 
-7.848843865022126, -30.740614851976606, 0.62, 0.62, 
-8.117112331639607, -30.859933335451167, 0.62, 0.62, 
-8.373605975230534, -31.003161136994056, 0.62, 0.62, 
-8.616497977298126, -31.16927814868584, 0.62, 0.62, 
-8.8439615193456, -31.357264262607085, 0.62, 0.62, 
-9.054169782876174, -31.566099370838355, 0.62, 0.62, 
-9.245295949393068, -31.794763365460216, 0.62, 0.62, 
-9.415513200399502, -32.04223613855323, 0.62, 0.62, 
-9.562994717398691, -32.30749758219797, 0.62, 0.62, 
-9.685913681893858, -32.589527588474986, 0.62, 0.62, 
-9.73645371032847, -32.737146952240494, 0.62, 0.62, 
-9.775228777367008, -32.85963500701075, 0.62, 0.62, 
-9.828344667736927, -33.07065872713662, 0.62, 0.62, 
-9.867305684584162, -33.39174375103744, 0.62, 0.62, 
-9.87070406865201, -33.6978723, 0.62, 0.62, 
-9.868820716747134, -34.0086775233449, 0.62, 0.62, 
-9.8307333919579, -34.32098867135236, 0.62, 0.62, 
-9.776135509188547, -34.5261583388139, 0.62, 0.62, 
-9.735529498169782, -34.6478723, 0.62, 0.62, 
-9.678197329548558, -34.80829909299673, 0.62, 0.62, 
-9.54267659940934, -35.11206270913375, 0.62, 0.62, 
-9.382309616424319, -35.39510969089381, 0.62, 0.62, 
-9.197297956849406, -35.65720818211104, 0.62, 0.62, 
-8.987843196940513, -35.898126326619604, 0.62, 0.62, 
-8.754146912953557, -36.11763226825365, 0.62, 0.62, 
-8.496410681144443, -36.31549415084732, 0.62, 0.62, 
-8.214836077769087, -36.491480118234776, 0.62, 0.62, 
-8.06419171235811, -36.57027119119705, 0.62, 0.62, 
-7.957275674924574, -36.62151872650158, 0.62, 0.62, 
-7.722826416831879, -36.70906279626598, 0.62, 0.62, 
-7.46918277311454, -36.77805977221828, 0.62, 0.62, 
-7.202507226268238, -36.827836440137844, 0.62, 0.62, 
-6.928962258788649, -36.85771958580408, 0.62, 0.62, 
-6.654710353171446, -36.86703599499636, 0.62, 0.62, 
-6.385913991912312, -36.85511245349409, 0.62, 0.62, 
-6.128735657506922, -36.82127574707664, 0.62, 0.62, 
-6.007298265762499, -36.79497445315386, 0.62, 0.62, 
