
This is MPCC_solv_20N_no_warm_no_hard_invitedguest, a primal-dual interior point solver generated by FORCESPRO v5.1.0.
Problem size: 294 variables, 208 equality and 544 inequality constraints in 21 stage(s)
(c) embotech AG, Zurich, Switzerland, 2013-2022. All rights reserved. Email: support@embotech.com

   #it  res_eq  res_ineq     pobj         dobj       dgap     rdgap     mu
  ---------------------------------------------------------------------------
    0  6.7e+02  9.0e+03  +0.0000e+00  -3.5203e+08  +3.5e+08  1.0e+06  1.0e+06
    1  9.8e+01  1.3e+03  -4.5277e+09  -1.3718e+10  +9.2e+09  2.0e+00  1.5e+07
    2  5.5e+01  7.4e+02  -4.5995e+09  -9.3029e+09  +4.7e+09  1.0e+00  8.3e+06
    3  5.6e+00  7.6e+01  -4.6264e+09  -4.7944e+09  +1.7e+08  3.6e-02  3.3e+05
    4  1.1e+00  1.4e+01  -4.6264e+09  -4.6727e+09  +4.6e+07  1.0e-02  9.2e+04
    5  5.8e-02  7.9e-01  -4.6266e+09  -4.6319e+09  +5.4e+06  1.2e-03  1.0e+04
    6  1.3e-02  1.8e-01  -4.6266e+09  -4.6281e+09  +1.5e+06  3.3e-04  2.8e+03
    7  6.7e-05  9.1e-04  -4.6266e+09  -4.6267e+09  +9.7e+04  2.1e-05  1.8e+02
    8  1.5e-05  2.1e-04  -4.6266e+09  -4.6267e+09  +2.5e+04  5.4e-06  4.6e+01
    9  4.1e-06  5.6e-05  -4.6266e+09  -4.6267e+09  +7.7e+03  1.7e-06  1.4e+01
   10  9.5e-07  1.3e-05  -4.6266e+09  -4.6266e+09  +2.2e+03  4.8e-07  4.1e+00
   11  2.2e-07  3.0e-06  -4.6266e+09  -4.6266e+09  +5.9e+02  1.3e-07  1.1e+00
   12  7.5e-08  1.0e-06  -4.6266e+09  -4.6266e+09  +2.2e+02  4.7e-08  4.0e-01
   13  2.0e-08  2.7e-07  -4.6266e+09  -4.6266e+09  +7.7e+01  1.7e-08  1.4e-01
   14  6.7e-09  9.2e-08  -4.6266e+09  -4.6266e+09  +4.3e+01  9.2e-09  7.9e-02
   15  1.8e-09  2.5e-08  -4.6266e+09  -4.6266e+09  +1.4e+01  3.0e-09  2.6e-02
   16  3.4e-10  5.7e-09  -4.6266e+09  -4.6266e+09  +3.5e+00  7.6e-10  6.4e-03
   17  1.9e-10  8.4e-10  -4.6266e+09  -4.6266e+09  +7.5e-01  1.6e-10  1.4e-03
   18  1.2e-10  8.5e-11  -4.6266e+09  -4.6266e+09  +8.6e-02  1.9e-11  1.6e-04
   19  1.2e-10  5.5e-12  -4.6266e+09  -4.6266e+09  +5.8e-03  1.2e-12  1.1e-05

OPTIMAL (within RESEQ=1.0e-04, RESINEQ=1.0e-04, (R)DGAP=(1.0e-04)1.0e-02, MU=1.0e-04).
Solve time: 1.907 ms (19 iterations)

