,x_0,y_0,delta_0,v_0,phi_0,phi_dot_0,beta_0,theta_0,stvel_0,acc_0,comp_0,oob_0
0,-6.812739,-47.932728,0.0,0.0,1.5950991,0.0,0.0,7.0,1.8400482,9.509951,2.3881795,0.0
1,-6.812739,-47.932728,0.018400483,0.0950995,1.5950991,0.0,0.0095540965,7.0,3.1993854,9.509964,0.04454869,0.0
2,-6.8127713,-47.931778,0.050394338,0.19019915,1.595152,0.014516082,0.026170399,7.000951,-3.1997597,9.5099745,0.042708464,0.0
3,-6.812867,-47.92988,0.01839674,0.28529888,1.5954427,0.0105783995,0.009525414,7.002853,3.1999447,9.509962,0.043096155,0.0
4,-6.812965,-47.927025,0.05039619,0.3803985,1.5956016,0.043530833,0.026144618,7.005706,-3.199975,9.509985,0.043546118,0.0
5,-6.8131585,-47.923225,0.018396439,0.47549835,1.5961826,0.021132246,0.009498511,7.00951,1.9294001,9.50995,0.044951223,0.0
6,-6.8133245,-47.918476,0.03769044,0.5705979,1.5964476,0.05422048,0.019519027,7.014265,0.22696377,9.509962,0.048845977,0.0
7,-6.813582,-47.912773,0.039960075,0.66569746,1.5969898,0.07713188,0.01755336,7.019971,-3.1999223,9.509949,0.04965004,0.0
8,-6.8138733,-47.906124,0.007960852,0.76079696,1.5977612,0.072215386,0.019026775,7.026628,3.1999524,9.509811,0.048630297,0.0
9,-6.814223,-47.898525,0.039960377,0.8558951,1.5984832,0.03861814,0.011850712,7.034236,-3.1999414,9.509912,0.04716562,0.0
10,-6.8145614,-47.889973,0.007960962,0.9509942,1.5988694,0.09925578,0.013168335,7.0427947,3.199853,9.509935,0.04285087,0.0
11,-6.8149533,-47.88047,0.03995949,1.0460936,1.599862,0.033827037,0.010766348,7.0523047,2.1750405,9.509988,0.047087915,0.0
12,-6.8153696,-47.870018,0.061709896,1.1411934,1.6002003,0.1061203,0.01184347,7.0627656,-3.0914888,9.509986,0.047058284,0.0
13,-6.8158402,-47.858616,0.03079501,1.2362933,1.6012615,0.14910123,0.016699715,7.0741777,1.4459225,9.509945,0.045483235,0.0
14,-6.8164234,-47.846268,0.045254234,1.3313928,1.6027524,0.118558824,0.015870698,7.0865407,3.199982,9.509962,0.045004915,0.0
15,-6.81706,-47.832966,0.07725405,1.4264923,1.6039381,0.1499407,0.016186401,7.0998545,-3.1999588,8.956736,0.04609518,0.0
16,-6.8177633,-47.818718,0.045254465,1.5160598,1.6054375,0.22574478,0.019933928,7.1141195,-3.1999974,9.509952,0.044260353,0.0
17,-6.81859,-47.80358,0.01325449,1.6111592,1.607695,0.1990126,0.01928551,7.12928,0.25721282,9.509894,0.046590686,0.0
18,-6.8194947,-47.787495,0.015826618,1.7062582,1.6096851,0.14155863,0.0154226115,7.1453915,3.1999571,9.509945,0.044910036,0.0
19,-6.820421,-47.77046,0.04782619,1.8013576,1.6111007,0.12436682,0.012634886,7.162454,-3.1999965,4.5373483,0.043639116,0.0
20,-6.8213744,-47.75247,0.015826225,1.8467311,1.6123443,0.18952715,0.013959734,7.1804676,3.19999,9.509814,0.0443179,0.0
21,-6.8223987,-47.73403,0.047826126,1.9418292,1.6142396,0.14348938,0.011690834,7.198935,-3.1999733,9.509759,0.043340314,0.0
22,-6.823469,-47.71464,0.015826391,2.0369267,1.6156745,0.18335356,0.012295857,7.2183533,3.1999736,9.509862,0.04267652,0.0
23,-6.824633,-47.694305,0.047826126,2.1320255,1.617508,0.14674835,0.010291516,7.238723,-3.1999733,9.509673,0.04396203,0.0
24,-6.8258476,-47.67302,0.015826393,2.227122,1.6189755,0.18784982,0.010931114,7.2600427,3.1999831,9.509884,0.043321576,0.0
25,-6.827163,-47.650787,0.047826223,2.322221,1.620854,0.15333253,0.009114603,7.2823143,-3.1999946,9.509808,0.045247126,0.0
26,-6.8285365,-47.627605,0.01582628,2.417319,1.6223873,0.19371505,0.009735691,7.3055363,3.1999824,9.509891,0.046510514,0.0
27,-6.830018,-47.603477,0.047826104,2.512418,1.6243244,0.16011472,0.008045454,7.3297095,-3.1999726,9.509757,0.04474107,0.0
28,-6.831564,-47.578403,0.015826378,2.6075156,1.6259257,0.19954684,0.00862459,7.3548336,3.1999729,9.509833,0.043429177,0.0
29,-6.8332253,-47.55238,0.047826108,2.7026138,1.6279211,0.16643156,0.007026707,7.380909,-3.1999893,8.696119,0.043925717,0.0
30,-6.834958,-47.52541,0.015826216,2.789575,1.6295854,0.20893495,0.0076472685,7.407935,3.1999707,9.509844,0.045161594,0.0
31,-6.8368096,-47.497574,0.04782592,2.8846736,1.6316748,0.17437997,0.00609256,7.4358306,-3.1999903,9.509513,0.050377868,0.0
32,-6.8387403,-47.468792,0.01582602,2.9797688,1.6334186,0.21096537,0.006562338,7.4646773,3.1999848,9.509898,0.04982514,0.0
33,-6.8408003,-47.439068,0.04782587,3.0748677,1.6355282,0.17757842,0.005088841,7.4944754,-3.199992,9.509603,0.0493797,0.0
34,-6.8429456,-47.408394,0.015825948,3.1699636,1.637304,0.21392384,0.005526935,7.5252237,3.1999903,9.509935,0.04988411,0.0
