,s_x,s_y,delta,velocity,yaw,yaw_der,slip_angle,steer_v,acceleration,param,comp_time,lap_finished,out_of_soft
0,7.01485,-0.32244226,0.0,0.0,6.1945524,0.0,0.0,-0.9988946,9.509961,7.0,2.1864774,0.0,0.0
1,7.01485,-0.32244226,-0.009988946,0.09509961,6.1945524,0.0,-0.005186568,3.1754677,9.509984,7.0,0.039667256,0.0,0.0
2,7.015797,-0.32253137,0.021765731,0.19019945,6.194524,0.0062691425,0.011302639,-3.1999874,9.509986,7.000951,0.023574444,0.0,0.0
3,7.0176935,-0.32267836,-0.0102341445,0.2852993,6.194649,-0.00589913,-0.0053184316,3.1999876,9.509984,7.002853,0.01926905,0.0,0.0
4,7.0205336,-0.3229457,0.021765733,0.38039917,6.1945605,0.018803554,0.01129816,-3.199978,9.509956,7.005706,0.016448295,0.0,0.0
5,7.0243263,-0.32323956,-0.010234049,0.4754987,6.1948113,-0.011802199,-0.005322861,3.1999924,9.5099745,7.00951,0.017025646,0.0,0.0
6,7.0290604,-0.32368445,0.021765875,0.5705985,6.194664,0.031334065,0.011293755,-3.199996,9.509982,7.014265,0.016061986,0.0,0.0
7,7.0347495,-0.32412466,-0.010234086,0.6656983,6.1949773,0.04459382,0.010140894,3.1999953,9.509983,7.019971,0.016737442,0.0,0.0
8,7.041386,-0.32464385,0.021765867,0.7607981,6.195423,-0.01985549,0.0036573648,-3.199997,9.509989,7.026628,0.016479742,0.0,0.0
9,7.0489674,-0.32528296,-0.010234103,0.855898,6.195225,0.06461482,0.003954893,3.1999948,9.509985,7.034236,0.01553262,0.0,0.0
10,7.057496,-0.3260011,0.021765847,0.9509978,6.195871,-0.031668335,0.002941193,-3.1999974,9.509991,7.0427947,0.01668812,0.0,0.0
11,7.0669723,-0.32680255,-0.010234128,1.0460978,6.1955543,0.059002366,0.0034099955,3.1999962,9.509988,7.0523047,0.015456326,0.0,0.0
12,7.077396,-0.32768252,0.021765834,1.1411977,6.196144,-0.016126042,0.0019982636,-3.1999981,9.509993,7.062766,0.017255368,0.0,0.0
13,7.088767,-0.32865188,-0.010234148,1.2362976,6.195983,0.048109435,0.0034689095,3.1999967,9.509988,7.0741777,0.015590309,0.0,0.0
14,7.1010866,-0.32968587,0.02176582,1.3313974,6.196464,-0.0056952895,0.0016456342,-3.1999974,9.509987,7.0865407,0.016230265,0.0,0.0
15,7.114352,-0.3308172,-0.010234153,1.4264973,6.1964073,0.0454126,0.003292547,3.1999981,9.509991,7.099855,0.016240692,0.0,0.0
16,7.1285677,-0.33200672,0.02176583,1.5215973,6.1968613,-0.00045834627,0.0015238349,-3.1999989,9.50999,7.1141195,0.01554359,0.0,0.0
17,7.1437287,-0.3332955,-0.0102341585,1.6166971,6.1968565,0.045423124,0.0030775066,3.199997,9.509987,7.129336,0.0168013,0.0,0.0
18,7.15984,-0.33463985,0.02176581,1.711797,6.197311,0.0033174653,0.0014334094,-3.1999984,9.509988,7.1455026,0.015456209,0.0,0.0
19,7.176897,-0.3360836,-0.010234172,1.8068968,6.1973443,0.046179667,0.0028630942,3.199998,9.509992,7.1626205,0.016709538,0.0,0.0
20,7.194904,-0.33758122,0.021765808,1.9019967,6.197806,0.006392408,0.0013388736,-3.1999996,9.509996,7.18069,0.01544706,0.0,0.0
21,7.2138567,-0.33917776,-0.010234187,1.9970968,6.19787,0.047206808,0.0026511406,3.1999955,9.509984,7.1997094,0.016284868,0.0,0.0
22,7.2337594,-0.34082678,0.021765767,2.0921965,6.198342,0.00899891,0.0012327653,-3.1999993,9.509994,7.219681,0.016565876,0.0,0.0
23,7.254608,-0.34257403,-0.0102342265,2.1872964,6.198432,0.04830791,0.0024409036,3.199996,9.509985,7.2406025,0.015726741,0.0,0.0
24,7.2764072,-0.34437242,0.021765733,2.2823963,6.198915,0.011241331,0.0011143987,-3.1999989,9.509986,7.2624755,0.01699202,0.0,0.0
25,7.2991524,-0.34626818,-0.0102342535,2.3774962,6.1990275,0.049384106,0.002231868,3.1999955,9.509989,7.2852993,0.014822304,0.0,0.0
26,7.3228474,-0.3482138,0.021765701,2.4725962,6.199521,0.013175832,0.0009851438,-3.1999953,9.509988,7.3090744,0.015372792,0.0,0.0
27,7.347489,-0.3502558,-0.010234251,2.567696,6.199653,0.05038072,0.002023976,3.1999788,9.509988,7.3338003,0.016184015,0.0,0.0
28,7.3730807,-0.35234636,0.021765536,2.6627958,6.2001567,0.014837105,0.000846976,-3.199994,9.509987,7.3594775,0.01469541,0.0,0.0
29,7.3996186,-0.3545322,-0.010234403,2.7578957,6.200305,0.051266324,0.0018175262,3.1999774,9.509986,7.3861055,0.016275527,0.0,0.0
30,7.427107,-0.3567654,0.021765372,2.8529956,6.200818,0.01624908,0.00070196466,-3.199994,9.509987,7.4136844,0.01460167,0.0,0.0
31,7.455542,-0.3590927,-0.010234568,2.9480956,6.20098,0.05202346,0.0016130622,3.199981,9.509989,7.442214,0.014735074,0.0,0.0
32,7.484927,-0.36146608,0.02176524,3.0431952,6.2015004,0.017431308,0.0005521253,-3.1999953,9.509988,7.471695,0.01611881,0.0,0.0
33,7.5152593,-0.3639324,-0.010234712,3.1382952,6.201675,0.052643877,0.0014112779,3.1999702,9.509989,7.502127,0.014714426,0.0,0.0
34,7.546541,-0.36644346,0.02176499,3.233395,6.2022014,0.018400848,0.00039932388,-3.1999955,9.509987,7.53351,0.016145898,0.0,0.0
35,7.5787706,-0.36904624,-0.010234966,3.328495,6.2023854,0.053125117,0.0012129216,3.199967,9.509983,7.565844,0.015339126,0.0,0.0
36,7.61195,-0.3716925,0.021764703,3.4235947,6.2029166,0.019173125,0.0002452381,-3.1999958,9.509987,7.599129,0.014507328,0.0,0.0
37,7.646076,-0.37442926,-0.010235254,3.5186946,6.2031083,0.05346915,0.001018752,3.1999645,9.509989,7.633365,0.014932647,0.0,0.0
38,7.6811533,-0.37720817,0.021764392,3.6137946,6.203643,0.019763574,9.137502e-05,-3.1999965,9.509988,7.668552,0.016405478,0.0,0.0
39,7.7171774,-0.38007635,-0.010235573,3.7088945,6.2038407,0.05368133,0.0008295,3.1999724,9.509989,7.70469,0.015013507,0.0,0.0
40,7.7541523,-0.3829854,0.02176415,3.8039944,6.2043777,0.020187424,-6.094626e-05,-3.1999967,9.509988,7.741779,0.015211902,0.0,0.0
41,7.7920737,-0.38598245,-0.010235816,3.899094,6.2045794,0.05376944,0.0006458347,3.1999729,9.509992,7.7798185,0.014552731,0.0,0.0
42,7.8309464,-0.38901913,0.021763913,3.994194,6.205117,0.020460183,-0.0002105836,-3.1999962,9.509988,7.8188095,0.014557036,0.0,0.0
43,7.8707657,-0.39214253,-0.01023605,4.089294,6.205322,0.053742867,0.00046833782,3.1992538,9.509988,7.858752,0.015775781,0.0,0.0
44,7.911536,-0.39530432,0.021756489,4.184394,6.205859,0.02059686,-0.00035658374,-3.1999965,9.509987,7.8996444,0.017981874,0.0,0.0
45,7.953254,-0.3985516,-0.0102434745,4.279494,6.206065,0.053598646,0.00029723856,3.1318371,9.509981,7.9514885,0.020661239,0.0,0.0
46,7.995923,-0.401836,0.021074897,4.3745937,6.206601,0.020588558,-0.0004985284,-3.1999965,9.5099945,7.994283,0.015050025,0.0,0.0
47,8.039539,-0.40520474,-0.010925069,4.4696937,6.2068067,0.052097224,0.00011045802,2.9999347,9.509987,8.03803,0.015266911,0.0,0.0
48,8.0841055,-0.40861037,0.019074278,4.5647936,6.207328,0.018226257,-0.00066763005,-3.1999974,9.509995,8.0827265,0.014684866,0.0,0.0
49,8.129621,-0.41210017,-0.0129256975,4.6598935,6.20751,0.04631165,-0.00012014172,2.8346522,9.5099745,8.128374,0.014759916,0.0,0.0
50,8.176085,-0.41562876,0.015420825,4.754993,6.207973,0.0100150565,-0.0008823567,-3.199997,9.5099945,8.1749735,0.015888749,0.0,0.0
51,8.223497,-0.41924357,-0.016579144,4.850093,6.2080736,0.03288146,-0.00038769247,2.6807673,9.509993,8.222523,0.014563683,0.0,0.0
52,8.27186,-0.4229019,0.01022853,4.945193,6.208402,-0.007281899,-0.0011132029,-3.1999977,9.509995,8.271024,0.01475557,0.0,0.0
53,8.32117,-0.4266515,-0.021771446,5.0402927,6.208329,0.009510187,-0.00062901695,2.525896,9.509995,8.320476,0.015435971,0.0,0.0
54,8.371429,-0.43045256,0.0034875157,5.1353927,6.2084246,-0.03517729,-0.001273715,-3.199989,9.509977,8.370879,0.014855936,0.0,0.0
55,8.422635,-0.43435347,-0.028512375,5.2304926,6.2080727,-0.024903068,-0.0007474027,1.0590752,9.509995,8.422233,0.014630201,0.0,0.0
56,8.47479,-0.4383175,-0.017921623,5.3255925,6.2078238,-0.07442719,-0.0012605481,-3.1999915,9.509989,8.474538,0.015636394,0.0,0.0
57,8.527889,-0.4423941,-0.04992154,5.4206924,6.2070794,-0.09504976,-0.0009974021,0.31897628,9.509984,8.527794,0.014657688,0.0,0.0
