,s_x,s_y,delta,velocity,yaw,yaw_der,slip_angle,steer_v,acceleration,param,comp_time,lap_finished,out_of_soft
0,-3.2260106,-23.473,0.0,0.0,1.6452271,0.0,0.0,-3.2,9.509998,7.0,1.1782695,0.0,0.0
1,-3.2260106,-23.473,-0.032,0.095099986,1.6452271,0.0,-0.016615385,-3.2,-9.51,7.0,0.03206603,0.0,0.0
2,-3.2260656,-23.472052,-0.064,-1.6053558e-08,1.6451348,-3.7473524e-06,-0.0332432,-3.1999993,6.774698,7.000951,0.017343465,0.0,0.0
3,-3.2260656,-23.472052,-0.09599999,0.06774696,1.6451348,-0.0131452875,-0.049908374,1.4040214,9.509987,7.000951,0.016734961,0.0,0.0
4,-3.226082,-23.471373,-0.08195978,0.16284683,1.6449373,-0.037948184,-0.042569008,0.6306528,9.509941,7.0016284,0.016430702,0.0,0.0
5,-3.2261336,-23.469746,-0.075653255,0.25794625,1.6445322,-0.058461905,-0.039278354,-0.036876142,9.509988,7.003257,0.015322866,0.0,0.0
6,-3.2262225,-23.467169,-0.076022014,0.35304612,1.64394,-0.08056445,-0.03947063,0.5546378,9.509986,7.0058365,0.016816882,0.0,0.0
7,-3.2263412,-23.46364,-0.07047564,0.448146,1.6431257,-0.0965339,-0.036578596,-0.048187226,9.509987,7.009367,0.015094101,0.0,0.0
8,-3.2265015,-23.459162,-0.070957504,0.54324585,1.6421676,-0.117507376,-0.03682971,0.5786805,9.509988,7.0138483,0.016864575,0.0,0.0
9,-3.226689,-23.453732,-0.065170705,0.6383457,1.6409925,-0.11575294,-0.0357824,-0.13714951,9.509956,7.019281,0.015028832,0.0,0.0
10,-3.2269087,-23.447351,-0.0665422,0.7334453,1.639835,-0.14189146,-0.03188203,0.631513,9.50999,7.0256643,0.01680715,0.0,0.0
11,-3.2271812,-23.440023,-0.060227066,0.82854515,1.638416,-0.14232457,-0.03193974,-0.27828807,9.509989,7.0329986,0.015372112,0.0,0.0
12,-3.2274768,-23.431742,-0.06300995,0.9236451,1.6369928,-0.15747656,-0.029519485,0.7096816,9.509989,7.041284,0.014988471,0.0,0.0
13,-3.2278154,-23.422512,-0.05591313,1.018745,1.635418,-0.17088065,-0.028842136,-0.42466384,9.509985,7.0505204,0.01676875,0.0,0.0
14,-3.22818,-23.41233,-0.06015977,1.1138448,1.6337092,-0.17214516,-0.027164849,0.8007314,9.50998,7.050708,0.014821761,0.0,0.0
15,-3.2285779,-23.4012,-0.052152455,1.2089446,1.6319878,-0.19133069,-0.026322145,-0.3825562,9.509992,7.0618463,0.015410211,0.0,0.0
16,-3.2289994,-23.389118,-0.05597802,1.3040445,1.6300745,-0.18830484,-0.024757672,0.66704106,9.509965,7.073936,0.015474652,0.0,0.0
17,-3.2294495,-23.376085,-0.049307607,1.3991442,1.6281915,-0.20363168,-0.023807291,-0.24317423,9.509988,7.0869765,0.0150833,0.0,0.0
18,-3.2299194,-23.362103,-0.05173935,1.4942441,1.6261551,-0.201948,-0.02234287,0.5480604,9.509994,7.100968,0.015532404,0.0,0.0
19,-3.2304125,-23.347168,-0.046258748,1.589344,1.6241356,-0.21219786,-0.021319855,-0.22715217,9.5099745,7.11591,0.015576177,0.0,0.0
20,-3.2309213,-23.331282,-0.04853027,1.6844437,1.6220137,-0.21073568,-0.019930543,0.5311442,9.509974,7.1318035,0.015150353,0.0,0.0
