
This is MPCC_solv_20N_no_warm_no_hard_invitedguest, a primal-dual interior point solver generated by FORCESPRO v5.1.0.
Problem size: 294 variables, 208 equality and 544 inequality constraints in 21 stage(s)
(c) embotech AG, Zurich, Switzerland, 2013-2022. All rights reserved. Email: support@embotech.com

   #it  res_eq  res_ineq     pobj         dobj       dgap     rdgap     mu
  ---------------------------------------------------------------------------
    0  5.2e+02  9.0e+03  +0.0000e+00  -3.5200e+08  +3.5e+08  1.0e+06  1.0e+06
    1  5.3e+01  9.2e+02  -2.3197e+09  -1.1982e+10  +9.7e+09  4.2e+00  1.6e+07
    2  5.4e+00  9.4e+01  -2.3434e+09  -2.4767e+09  +1.3e+08  5.7e-02  2.6e+05
    3  7.9e-01  1.4e+01  -2.3435e+09  -2.3644e+09  +2.1e+07  8.9e-03  4.0e+04
    4  1.8e-01  3.2e+00  -2.3436e+09  -2.3490e+09  +5.4e+06  2.3e-03  1.0e+04
    5  4.2e-02  7.3e-01  -2.3436e+09  -2.3450e+09  +1.4e+06  6.0e-04  2.6e+03
    6  2.3e-03  4.0e-02  -2.3436e+09  -2.3438e+09  +1.5e+05  6.2e-05  2.7e+02
    7  2.3e-04  4.1e-03  -2.3436e+09  -2.3436e+09  +1.7e+04  7.3e-06  3.1e+01
    8  3.4e-05  6.0e-04  -2.3436e+09  -2.3436e+09  +2.8e+03  1.2e-06  5.2e+00
    9  9.2e-06  1.6e-04  -2.3436e+09  -2.3436e+09  +8.6e+02  3.7e-07  1.6e+00
   10  3.4e-06  6.0e-05  -2.3436e+09  -2.3436e+09  +3.8e+02  1.6e-07  7.0e-01
   11  6.5e-07  1.1e-05  -2.3436e+09  -2.3436e+09  +8.6e+01  3.7e-08  1.6e-01
   12  6.7e-08  1.2e-06  -2.3436e+09  -2.3436e+09  +1.2e+01  5.3e-09  2.3e-02
   13  2.3e-08  3.9e-07  -2.3436e+09  -2.3436e+09  +4.8e+00  2.1e-09  8.9e-03
   14  8.9e-09  5.8e-08  -2.3436e+09  -2.3436e+09  +9.1e-01  3.9e-10  1.7e-03
   15  1.5e-08  1.8e-08  -2.3436e+09  -2.3436e+09  +3.1e-01  1.3e-10  5.7e-04
   16  2.9e-08  5.4e-09  -2.3436e+09  -2.3436e+09  +1.1e-01  4.7e-11  2.0e-04
   17  2.2e-07  1.6e-09  -2.3436e+09  -2.3436e+09  +3.8e-02  1.6e-11  6.9e-05

OPTIMAL (within RESEQ=1.0e-04, RESINEQ=1.0e-04, (R)DGAP=(1.0e-04)1.0e-02, MU=1.0e-04).
Solve time: 1.710 ms (17 iterations)

