
This is MPCC_solv_20N_no_warm_no_hard_invitedguest, a primal-dual interior point solver generated by FORCESPRO v5.1.0.
Problem size: 294 variables, 208 equality and 544 inequality constraints in 21 stage(s)
(c) embotech AG, Zurich, Switzerland, 2013-2022. All rights reserved. Email: support@embotech.com

   #it  res_eq  res_ineq     pobj         dobj       dgap     rdgap     mu
  ---------------------------------------------------------------------------
    0  4.6e+02  9.0e+03  +0.0000e+00  -3.5200e+08  +3.5e+08  1.0e+06  1.0e+06
    1  4.7e+01  9.2e+02  -2.2325e+09  -1.1898e+10  +9.7e+09  4.3e+00  1.6e+07
    2  4.8e+00  9.4e+01  -2.2553e+09  -2.3862e+09  +1.3e+08  5.8e-02  2.5e+05
    3  4.9e-01  9.6e+00  -2.2555e+09  -2.2700e+09  +1.5e+07  6.4e-03  2.8e+04
    4  9.3e-02  1.8e+00  -2.2555e+09  -2.2586e+09  +3.1e+06  1.4e-03  5.8e+03
    5  2.1e-02  4.2e-01  -2.2555e+09  -2.2564e+09  +8.5e+05  3.7e-04  1.6e+03
    6  3.1e-03  6.1e-02  -2.2555e+09  -2.2557e+09  +1.5e+05  6.5e-05  2.7e+02
    7  1.7e-04  3.4e-03  -2.2555e+09  -2.2555e+09  +1.0e+04  4.5e-06  1.9e+01
    8  3.3e-05  6.4e-04  -2.2555e+09  -2.2555e+09  +2.1e+03  9.5e-07  3.9e+00
    9  6.2e-06  1.2e-04  -2.2555e+09  -2.2555e+09  +5.0e+02  2.2e-07  9.2e-01
   10  1.7e-06  3.2e-05  -2.2555e+09  -2.2555e+09  +1.5e+02  6.7e-08  2.8e-01
   11  3.8e-07  7.4e-06  -2.2555e+09  -2.2555e+09  +4.0e+01  1.8e-08  7.4e-02
   12  7.3e-08  1.4e-06  -2.2555e+09  -2.2555e+09  +8.4e+00  3.7e-09  1.6e-02
   13  1.7e-08  3.2e-07  -2.2555e+09  -2.2555e+09  +2.4e+00  1.1e-09  4.5e-03
   14  1.5e-07  7.5e-08  -2.2555e+09  -2.2555e+09  +6.1e-01  2.7e-10  1.1e-03
   15  1.9e-07  2.3e-08  -2.2555e+09  -2.2555e+09  +2.2e-01  9.7e-11  4.0e-04
   16  3.6e-07  6.1e-09  -2.2555e+09  -2.2555e+09  +7.1e-02  3.2e-11  1.3e-04
   17  7.2e-08  1.4e-09  -2.2555e+09  -2.2555e+09  +1.9e-02  8.6e-12  3.6e-05

OPTIMAL (within RESEQ=1.0e-04, RESINEQ=1.0e-04, (R)DGAP=(1.0e-04)1.0e-02, MU=1.0e-04).
Solve time: 1.724 ms (17 iterations)

