
This is MPCC_solv_20N_no_warm_no_hard_gnone, a primal-dual interior point solver generated by FORCESPRO v5.1.0.
Problem size: 294 variables, 208 equality and 544 inequality constraints in 21 stage(s)
(c) embotech AG, Zurich, Switzerland, 2013-2022. All rights reserved. Email: support@embotech.com

   #it  res_eq  res_ineq     pobj         dobj       dgap     rdgap     mu
  ---------------------------------------------------------------------------
    0  9.8e+01  9.0e+03  +0.0000e+00  -3.5200e+08  +3.5e+08  1.0e+06  1.0e+06
    1  1.4e+01  1.3e+03  -4.9972e+07  -9.2731e+09  +9.2e+09  1.8e+02  1.5e+07
    2  2.1e+00  1.9e+02  -5.1166e+07  -2.3706e+08  +1.9e+08  3.6e+00  3.6e+05
    3  2.2e-01  2.0e+01  -5.1212e+07  -6.9776e+07  +1.9e+07  3.6e-01  3.6e+04
    4  1.3e-01  1.2e+01  -5.1215e+07  -6.3814e+07  +1.3e+07  2.5e-01  2.5e+04
    5  1.3e-02  1.2e+00  -4.9990e+07  -6.0385e+07  +1.0e+07  2.1e-01  2.0e+04
    6  7.0e-04  6.5e-02  -5.0761e+07  -5.2624e+07  +1.9e+06  3.7e-02  3.4e+03
    7  1.3e-04  1.2e-02  -5.0996e+07  -5.1506e+07  +5.1e+05  1.0e-02  9.4e+02
    8  2.5e-05  2.3e-03  -5.1092e+07  -5.1216e+07  +1.2e+05  2.4e-03  2.3e+02
    9  6.8e-06  6.2e-04  -5.1125e+07  -5.1169e+07  +4.4e+04  8.7e-04  8.2e+01
   10  2.3e-06  2.1e-04  -5.1136e+07  -5.1154e+07  +1.8e+04  3.5e-04  3.3e+01
   11  1.9e-08  1.1e-06  -5.1142e+07  -5.1146e+07  +3.8e+03  7.5e-05  7.1e+00
   12  3.7e-08  2.8e-07  -5.1143e+07  -5.1144e+07  +1.1e+03  2.2e-05  2.0e+00
   13  1.5e-07  4.2e-08  -5.1143e+07  -5.1143e+07  +2.1e+02  4.2e-06  3.9e-01
   14  1.0e-06  4.3e-09  -5.1143e+07  -5.1143e+07  +2.5e+01  4.9e-07  4.6e-02
   15  2.5e-04  2.3e-10  -5.1143e+07  -5.1143e+07  +1.5e+00  3.0e-08  2.9e-03
   16  2.5e-04  1.5e-11  -5.1143e+07  -5.1143e+07  +8.5e-02  1.7e-09  1.7e-04
   17  1.0e-03  1.8e-12  -5.1143e+07  -5.1143e+07  +2.0e-03  3.8e-11  1.0e-05
   18  3.9e-04  1.8e-12  -5.1143e+07  -5.1143e+07  +3.4e-03  6.6e-11  5.6e-07
Interior-point method could not proceed. Please contact support@embotech.com. Exiting.
