
This is MPCC_solv_20N_no_warm_no_hard_invitedguest, a primal-dual interior point solver generated by FORCESPRO v5.1.0.
Problem size: 294 variables, 208 equality and 544 inequality constraints in 21 stage(s)
(c) embotech AG, Zurich, Switzerland, 2013-2022. All rights reserved. Email: support@embotech.com

   #it  res_eq  res_ineq     pobj         dobj       dgap     rdgap     mu
  ---------------------------------------------------------------------------
    0  6.4e+02  9.0e+03  +0.0000e+00  -3.5204e+08  +3.5e+08  1.0e+06  1.0e+06
    1  9.4e+01  1.3e+03  -3.7098e+09  -1.2901e+10  +9.2e+09  2.5e+00  1.5e+07
    2  5.5e+01  7.7e+02  -3.7669e+09  -8.6956e+09  +4.9e+09  1.3e+00  8.7e+06
    3  5.6e+00  7.9e+01  -3.7906e+09  -3.9506e+09  +1.6e+08  4.2e-02  3.2e+05
    4  5.7e-01  8.0e+00  -3.7907e+09  -3.8118e+09  +2.1e+07  5.6e-03  4.1e+04
    5  1.9e-01  2.7e+00  -3.7907e+09  -3.8011e+09  +1.0e+07  2.7e-03  2.0e+04
    6  2.9e-02  4.0e-01  -3.7908e+09  -3.7927e+09  +1.9e+06  5.0e-04  3.6e+03
    7  1.4e-04  2.0e-03  -3.7908e+09  -3.7910e+09  +1.8e+05  4.7e-05  3.3e+02
    8  2.1e-05  2.9e-04  -3.7908e+09  -3.7909e+09  +2.9e+04  7.7e-06  5.4e+01
    9  6.4e-06  9.0e-05  -3.7908e+09  -3.7908e+09  +1.1e+04  2.8e-06  2.0e+01
   10  6.5e-07  9.2e-06  -3.7908e+09  -3.7908e+09  +4.7e+03  1.2e-06  8.7e+00
   11  1.8e-07  2.5e-06  -3.7908e+09  -3.7908e+09  +1.3e+03  3.5e-07  2.5e+00
   12  5.4e-08  7.5e-07  -3.7908e+09  -3.7908e+09  +4.5e+02  1.2e-07  8.3e-01
   13  1.6e-08  2.3e-07  -3.7908e+09  -3.7908e+09  +1.5e+02  4.0e-08  2.8e-01
   14  9.5e-10  1.3e-08  -3.7908e+09  -3.7908e+09  +4.3e+01  1.1e-08  7.9e-02
   15  2.9e-10  3.8e-09  -3.7908e+09  -3.7908e+09  +1.9e+01  5.0e-09  3.5e-02
   16  1.5e-10  1.0e-09  -3.7908e+09  -3.7908e+09  +6.1e+00  1.6e-09  1.1e-02
   17  2.0e-10  2.0e-10  -3.7908e+09  -3.7908e+09  +1.3e+00  3.4e-10  2.4e-03
   18  1.9e-10  2.2e-11  -3.7908e+09  -3.7908e+09  +1.7e-01  4.5e-11  3.1e-04
   19  2.4e-10  5.5e-12  -3.7908e+09  -3.7908e+09  +4.3e-02  1.1e-11  7.9e-05

OPTIMAL (within RESEQ=1.0e-04, RESINEQ=1.0e-04, (R)DGAP=(1.0e-04)1.0e-02, MU=1.0e-04).
Solve time: 1.942 ms (19 iterations)

