
This is MPCC_solv_20N_no_warm_no_hard_invitedguest, a primal-dual interior point solver generated by FORCESPRO v5.1.0.
Problem size: 294 variables, 208 equality and 544 inequality constraints in 21 stage(s)
(c) embotech AG, Zurich, Switzerland, 2013-2022. All rights reserved. Email: support@embotech.com

   #it  res_eq  res_ineq     pobj         dobj       dgap     rdgap     mu
  ---------------------------------------------------------------------------
    0  1.2e+02  9.0e+03  +0.0000e+00  -3.5200e+08  +3.5e+08  1.0e+06  1.0e+06
    1  1.8e+01  1.3e+03  -1.4523e+08  -9.3654e+09  +9.2e+09  6.3e+01  1.5e+07
    2  2.6e+00  1.9e+02  -1.4849e+08  -3.5249e+08  +2.0e+08  1.4e+00  4.0e+05
    3  3.8e-01  2.9e+01  -1.4852e+08  -1.7911e+08  +3.1e+07  2.1e-01  6.0e+04
    4  2.5e-01  1.9e+01  -1.4852e+08  -1.7036e+08  +2.2e+07  1.5e-01  4.3e+04
    5  6.8e-02  5.1e+00  -1.4855e+08  -1.5672e+08  +8.2e+06  5.5e-02  1.6e+04
    6  1.0e-02  7.4e-01  -1.4859e+08  -1.5011e+08  +1.5e+06  1.0e-02  2.9e+03
    7  5.0e-05  3.7e-03  -1.4861e+08  -1.4875e+08  +1.5e+05  9.8e-04  2.7e+02
    8  5.1e-06  3.8e-04  -1.4861e+08  -1.4863e+08  +1.7e+04  1.1e-04  3.1e+01
    9  1.2e-06  8.7e-05  -1.4861e+08  -1.4862e+08  +6.9e+03  4.7e-05  1.3e+01
   10  6.4e-08  4.8e-06  -1.4861e+08  -1.4861e+08  +2.5e+03  1.7e-05  4.6e+00
   11  1.7e-08  1.3e-06  -1.4861e+08  -1.4861e+08  +7.2e+02  4.8e-06  1.3e+00
   12  7.0e-09  5.2e-07  -1.4861e+08  -1.4861e+08  +3.7e+02  2.5e-06  6.8e-01
   13  1.6e-09  1.2e-07  -1.4861e+08  -1.4861e+08  +1.1e+02  7.1e-07  1.9e-01
   14  4.6e-10  3.2e-08  -1.4861e+08  -1.4861e+08  +3.2e+01  2.1e-07  5.9e-02
   15  1.6e-10  6.1e-09  -1.4861e+08  -1.4861e+08  +8.0e+00  5.4e-08  1.5e-02
   16  1.4e-10  1.4e-09  -1.4861e+08  -1.4861e+08  +2.0e+00  1.4e-08  3.7e-03
   17  2.0e-10  4.3e-10  -1.4861e+08  -1.4861e+08  +6.9e-01  4.6e-09  1.3e-03
   18  7.8e-10  8.2e-11  -1.4861e+08  -1.4861e+08  +1.8e-01  1.2e-09  3.3e-04
   19  1.9e-09  1.6e-11  -1.4861e+08  -1.4861e+08  +3.7e-02  2.5e-10  6.8e-05

OPTIMAL (within RESEQ=1.0e-04, RESINEQ=1.0e-04, (R)DGAP=(1.0e-04)1.0e-02, MU=1.0e-04).
Solve time: 1.887 ms (19 iterations)

