inner_point, midpoint, outer_point, 
[-76.67534080844769, 6.158083744379695], [-77.16604580844768, 4.152706234258289], [-77.65675080844768, 2.1473287241368695], 
[-139.29346212659615, 5.656708734540459], [-138.66678063366902, 3.523538637279259], [-137.42164031389638, 1.6638151247284014], 
[-142.24720951750888, 3.252947155890652], [-140.38125829939565, 1.9473561692403507], [-138.51530708128246, 0.6417651825900634], 
[-143.3258808084477, 0.8440203527082275], [-141.1415207759075, 0.27226210376881], [-138.95716074336733, -0.29949614517062173], 
[-143.3525793318047, -29.936647967524337], [-141.21948115968104, -29.368466404953466], [-139.0863829875574, -28.80028484238258], 
[-142.9612121253966, -34.56912616454669], [-140.7707031868719, -33.74046693088975], [-138.8347482660371, -32.42924285534954], 
[-140.03527145898158, -37.95891743276874], [-138.74161615959528, -35.94886475718232], [-137.44796086020898, -33.9388120815959], 
[-136.99589569492952, -38.70896381374091], [-136.9243578741588, -36.46103883362123], [-136.51995830536023, -34.31220710155745], 
[-111.36108972182751, -38.78362429651416], [-110.60762191961027, -36.60840585908545], [-109.85415411739302, -34.433187421656726], 
[-17.325149244839224, -38.722375824775355], [-17.74139279110497, -36.53591431766533], [-18.15763633737069, -34.349452810555334], 
[-15.889072438424506, -38.61545646996177], [-16.32582140960284, -36.24116097398701], [-17.224270995097243, -33.999248670139295], 
[-12.382521534387052, -36.397576457444686], [-14.326861107229405, -34.820882633879876], [-16.271200680071757, -33.24418881031504], 
[-11.036585582462465, -33.63333964729176], [-13.405165436717738, -33.14360102338779], [-15.486560808447678, -31.92653964729176], 
[-10.878200808447673, -16.26664964729177], [-13.182380808447675, -16.20174740482389], [-15.486560808447678, -16.136845162355982], 
[-12.053958231183486, 3.3132236477114105], [-14.070914293520588, 2.031177707407494], [-16.087870355857717, 0.7491317671035773], 
[-14.132994883392996, 5.230609350063261], [-15.394185768755364, 3.28594329785912], [-16.655376654117703, 1.3412772456549504], 
[-16.715251920285567, 6.049713533445242], [-17.227452042707085, 3.994309919252089], [-17.739652165128604, 1.9389063050589357], 
