inner_point, midpoint, outer_point, 
[1.3038392268727534, -0.745291792293088], [0.08314340759386596, -0.0009153513356068288], [-1.1375524116850215, 0.7434610896218601], 
[-8.961951139876845, -16.86515320606142], [-10.121224762831247, -16.02534101314677], [-11.280498385785677, -15.185528820232108], 
[-15.490187519397267, -27.05201138167169], [-16.651501882598296, -26.20184232716265], [-17.812816245799297, -25.351673272653585], 
[-17.71674217112806, -30.125357474149027], [-18.794012517258494, -29.1830279024213], [-19.8712828633889, -28.240698330693604], 
[-19.086370886134716, -31.3917221826204], [-19.95178408003153, -30.253230695103795], [-20.817197273928343, -29.114739207587178], 
[-20.951863258753633, -32.72162043046782], [-21.75155596129258, -31.536458911202857], [-22.55124866383153, -30.351297391937877], 
[-23.647879154235653, -34.30090973027498], [-24.257839749178146, -33.01207456670184], [-24.86780034412064, -31.723239403128673], 
[-27.24538914165288, -35.745250513302], [-27.753391735634153, -34.3965370556503], [-28.261394329615428, -33.04782359799859], 
[-32.698818782914614, -37.364641994271025], [-33.11157794733779, -35.992925904149516], [-33.52433711176097, -34.621209814028035], 
[-40.641454877512544, -39.59124934710438], [-40.959504955622634, -38.200294591426996], [-41.27755503373274, -36.809339835749626], 
[-50.15547198514143, -42.17307068799103], [-50.42022672411052, -40.764452297996314], [-50.68498146307961, -39.35583390800163], 
[-62.321621848171745, -45.45152687698126], [-62.724976387207676, -44.07836389888273], [-63.12833092624359, -42.70520092078422], 
[-67.9716154644968, -47.05410310629368], [-68.43572462926538, -45.6996719630951], [-68.89983379403397, -44.3452408198965], 
[-72.4433875592391, -48.387269615792505], [-72.83896898309976, -47.01156552069874], [-73.23455040696044, -45.63586142560496], 
[-74.23303477093462, -48.85732609185537], [-74.50735018524833, -47.44510794876997], [-74.66402581487202, -46.013521981495785], 
[-76.0089942244478, -48.56791185416732], [-75.31904459694952, -47.32024741534154], [-74.75363391870057, -46.00822700924023], 
[-76.74404005111305, -47.999197594994016], [-75.77137135646356, -46.986446582448664], [-74.79870266181406, -45.97369556990334], 
[-77.37870809077623, -47.2044134697645], [-76.17477288351463, -46.45735400063853], [-74.9169547715287, -45.8031335975226], 
[-77.91460402645754, -45.979103868373286], [-76.54929289822296, -45.53927979764886], [-75.18398176998838, -45.09945572692443], 
[-78.25794144299765, -44.79694420869325], [-76.90433227333995, -44.32057615185742], [-75.53787654122226, -43.88184309360129], 
[-78.5365576595337, -44.205469106091556], [-77.355211826837, -43.3918768029794], [-76.21751475489769, -42.519752633289315], 
[-78.9114792947318, -43.81111062110514], [-77.95560795339078, -42.75745597193253], [-76.98369739816339, -41.71849711754176], 
[-79.80434312149964, -42.96551929654886], [-78.81861678730479, -41.937786763045295], [-77.83289045310993, -40.91005422954174], 
[-80.98542239758406, -41.825979647291746], [-80.00316971993675, -40.796214738995474], [-79.02091704228945, -39.76644983069916], 
[-85.31747508869455, -37.656617591609745], [-84.40174529919292, -36.564430679407025], [-83.48601550969131, -35.47224376720432], 
[-87.89810305667143, -35.38296929554669], [-86.99215218986532, -34.275690913728], [-86.08620132305921, -33.16841253190927], 
[-89.21252561287973, -34.46156958751435], [-88.46811020640224, -33.24360879138166], [-87.72369479992476, -32.025647995248974], 
[-89.92627870099179, -34.12297684827199], [-89.47379463850845, -32.76586471140543], [-89.02131057602512, -31.408752574538894], 
[-91.36695697349508, -33.754663741589354], [-91.09788953969246, -32.34902533036055], [-90.82882210588984, -30.94338691913177], 
[-94.29329615802334, -33.29352183932383], [-94.17353487037366, -31.879224272058124], [-94.05377358272398, -30.46492670479239], 
[-96.79147632529248, -33.37351488876557], [-96.97576878097318, -31.9596493360972], [-97.16006123665389, -30.54578378342883], 
[-98.69306080844768, -33.67293604332201], [-99.18038603462344, -32.350731560732186], [-99.55533362425217, -30.99554816762044], 
[-102.05694750305189, -35.41398711180014], [-102.78535329660545, -34.19580952544989], [-103.513759090159, -32.97763193909965], 
[-103.46415941583732, -36.370855644448014], [-104.35052080883315, -35.23927681435805], [-105.19785398387376, -34.07897948807636], 
