inner_point, midpoint, outer_point, 
[-133.30137913433552, -49.989492141638934], [-133.33828632809687, -51.56074658119806], [-133.37519352185822, -53.13200102075719], 
[-128.93542699929463, -49.943026019908714], [-128.90531174675777, -51.482368944502696], [-128.87519649422092, -53.02171186909666], 
[-124.80710080844769, -49.88562984499413], [-124.9868229027447, -51.42985096573912], [-125.16654499704174, -52.9740720864841], 
[-120.51530404785248, -49.831814040477894], [-120.60940070722512, -51.38172389988031], [-120.70349736659777, -52.93163375928273], 
[-116.14910466786414, -49.83146744854314], [-116.17830119127174, -51.37803593981748], [-116.20749771467936, -52.92460443109182], 
[-111.13137342364942, -49.878882596269776], [-111.48703406173777, -51.40546162949974], [-111.1754183944036, -52.93519421040902], 
[-107.28221400919521, -49.96396243404334], [-107.10012750065479, -51.48062629370996], [-106.91804099211436, -52.99729015337658], 
[-102.5146041257155, -50.1499890493878], [-102.75001557520949, -51.68018851823632], [-102.98542702470348, -53.21038798708483], 
[-99.16243080844768, -50.358533941357805], [-99.52691379432557, -51.89784604104463], [-99.89139678020342, -53.437158140731455], 
[-95.71138262321537, -50.64325536893128], [-97.10042224203207, -52.32757600056284], [-98.09391333184504, -53.79543023645678], 
[-93.02022731965056, -53.517266338244895], [-95.640564964442, -54.34796417575045], [-98.04612270409312, -55.26823432674793], 
[-95.1903993409179, -56.95104704900531], [-96.60410648697014, -56.09141250525913], [-97.84463386527744, -54.94787688072013], 
[-97.88347359052558, -59.918059647291756], [-99.11654551939304, -58.893979647291765], [-100.34961744826052, -57.86989964729177], 
[-100.43851342645502, -62.63567804411206], [-101.57836460601017, -61.53288884570191], [-102.71821578556532, -60.43009964729177], 
[-103.1495030659963, -65.28900506750382], [-104.02002841020752, -63.92530126392711], [-104.89055375441873, -62.56159746035042], 
[-106.2191977092839, -67.18826379378572], [-106.83817461213266, -65.58687189928557], [-107.52089128564059, -63.99931979014807], 
[-109.07382005541245, -67.84094595800546], [-109.13072755422219, -66.02435419389991], [-109.18763505303193, -64.20776242979434], 
[-111.57940080844767, -67.82539633994719], [-111.12600273110465, -65.90050592640864], [-110.5938005144774, -64.00023597673388], 
[-115.11415230350556, -66.65343325519456], [-114.54153655597662, -64.84364498913833], [-113.96892080844768, -63.0338567230821], 
[-118.32053071886966, -65.9045135556056], [-118.10947607161498, -64.02536924826106], [-117.8984214243603, -62.14622494091651], 
[-119.67550387644081, -65.96905407609896], [-120.39414661136132, -64.2674525807698], [-120.83783829258873, -62.49052846543524], 
[-121.19232562484694, -66.78403809986551], [-122.33455282771288, -65.50630898066535], [-123.47678003057882, -64.22857986146516], 
[-122.69083727114207, -68.95012018872833], [-124.16632504241967, -68.2609644991071], [-125.64181281369727, -67.57180880948587], 
[-123.72578810550576, -71.99279487220349], [-125.30086122916559, -71.38497662639564], [-126.87593435282542, -70.77715838058779], 
[-124.10024649060642, -75.05503522809369], [-125.85927565367622, -74.81071818785645], [-127.61830481674602, -74.56640114761922], 
[-124.00392262951598, -77.82052752781468], [-125.73300564261018, -78.24701539158383], [-127.52176079164069, -78.31962655168871], 
[-123.28357888819845, -80.9647386698115], [-124.91768273914923, -81.55393589929349], [-126.55178659010002, -82.1431331287755], 
[-121.91287490784123, -83.37720399620702], [-123.34748380605062, -84.38723000007786], [-124.78209270426001, -85.39725600394871], 
[-120.12225448987772, -84.76512990964429], [-121.01881617129652, -86.36902203056715], [-121.91537785271532, -87.97291415148999], 
[-118.85081380459764, -85.14091923292989], [-118.8983263391788, -86.9876778859868], [-118.99825473097667, -88.83389438253081], 
[-116.88539206959754, -85.036057389929], [-116.45521175834037, -86.8433413141291], [-116.0250314470832, -88.65062523832918], 
[-114.60114178132383, -84.14834702026758], [-113.80213744545148, -85.81339085848019], [-113.00313310957912, -87.4784346966928], 
[-112.54392376913111, -82.58945846549695], [-111.38478385462722, -83.97767057335517], [-110.22564394012332, -85.36588268121339], 
[-109.74459080844768, -79.88761964729176], [-108.58488013315528, -81.28946724696704], [-107.42516945786286, -82.69131484664231], 
[-107.19007298638955, -77.41882733284643], [-106.12491223583734, -78.92377252641819], [-105.05975148528512, -80.42871771998998], 
[-104.2132506355924, -75.24970082338203], [-103.2823780647401, -76.7469049890664], [-102.35150549388777, -78.24410915475079], 
[-101.2801767191138, -74.40461510035334], [-101.0034534288029, -75.97891984058487], [-100.726730138492, -77.55322458081638], 
[-97.54097080844768, -74.24110427573302], [-97.5829214065281, -75.7718887983001], [-97.62487200460853, -77.30267332086714], 
[-92.84718083603757, -74.30466524480971], [-93.23003274987809, -75.82167375493103], [-93.6128846637186, -77.33868226505234], 
