inner_point, midpoint, outer_point, 
[-9.15200160365385, -25.91795700187762], [-8.946420067746214, -25.262304393037518], [-8.618851187558615, -24.669367423092677], 
[-6.755557636520385, -25.961364453983432], [-6.7936938396471644, -25.37868722340579], [-6.729127297581952, -24.795332010977052], 
[-4.747330043342571, -25.885244262820912], [-4.910702306956326, -25.285427688169797], [-4.960604178444417, -24.674583739007968], 
[-2.6282706439945205, -25.1500206087304], [-3.3074404859086375, -24.698223776096857], [-3.882422759606036, -24.153823066804524], 
[-2.6017683279505963, -23.06334830849142], [-3.246080857676578, -23.141739740256746], [-3.8999455997364656, -23.09771683340145], 
[-2.74839830538202, -20.730897002822573], [-3.4695836549928973, -21.23194736504752], [-4.187308651685003, -21.546498362361934], 
[-4.886939197899183, -19.64457809822945], [-4.826766247989786, -20.42553499803171], [-4.9193160423371545, -21.289383004814262], 
[-6.664333342991819, -21.023877129344257], [-5.813750030845389, -21.220130032121425], [-4.946595166591013, -21.63987612433992], 
[-6.482710619880745, -22.19434780225224], [-5.471092308125838, -22.252420237768735], [-4.4702234973214665, -22.52416306853738], 
[-6.739149863969668, -23.33560125557386], [-6.197245703481354, -23.80350613853326], [-5.707379021657529, -24.465346737311684], 
[-7.036547148719557, -23.294935002224324], [-7.2158995102767305, -23.848766197547086], [-7.518739657498648, -24.40961359744868], 
[-7.486643324992428, -22.584041616775362], [-8.243760023346363, -22.96716935293775], [-8.998585541442603, -23.191385094681728], 
[-6.970326192974901, -21.910652895807566], [-7.939739204087287, -22.00619484884485], [-8.832323286959308, -21.906416436819548], 
[-7.6231483231406365, -19.87901788583411], [-8.202773945605907, -20.567839246779975], [-8.962650153678009, -21.170793000000003], 
[-10.161433557946056, -19.88041528648227], [-9.467611896366655, -20.495269887880628], [-8.980777994419114, -21.17121172075506], 
[-10.67429127338305, -22.166280839826953], [-10.008094303442231, -22.18738179686411], [-9.341615199426556, -22.33096058284614], 
[-10.695087134454752, -24.42934991050288], [-9.932718538959744, -24.08743396075508], [-9.188150790735284, -23.91718806872179], 
