x, y
-78.35799407958984, -42.92713928222656
-78.90161895751953, -42.08841323852539
-79.50148010253906, -41.28903579711914
-80.15210723876953, -40.53010940551758
-80.84310913085938, -39.807491302490234
-81.56400299072266, -39.11381149291992
-82.30221557617188, -38.438533782958984
-83.04808044433594, -37.77149963378906
-83.79764556884766, -37.10826873779297
-84.55255889892578, -36.451717376708984
-85.31961822509766, -35.80882263183594
-86.105712890625, -35.1900749206543
-86.91679382324219, -34.605079650878906
-87.75637817382812, -34.0619010925293
-88.62619018554688, -33.56813049316406
-89.52558135986328, -33.13150405883789
-90.45193481445312, -32.75843048095703
-91.40234375, -32.4518928527832
-92.37252807617188, -32.21320343017578
-93.35713958740234, -32.04431915283203
-94.3517837524414, -31.94771385192871
-95.35147857666016, -31.924442291259766
-96.35030364990234, -31.974321365356445
-97.34185028076172, -32.09649658203125
-98.32322692871094, -32.290008544921875
-99.2885513305664, -32.55343246459961
-100.23191833496094, -32.886722564697266
-101.1482925415039, -33.287899017333984
-102.0354232788086, -33.752140045166016
-102.89170837402344, -34.27275466918945
-103.71440887451172, -34.8443717956543
-104.50051879882812, -35.464141845703125
-105.24748229980469, -36.130001068115234
-105.95219421386719, -36.83906173706055
-106.61264038085938, -37.58988952636719
-107.22557067871094, -38.38008499145508
-107.78616333007812, -39.20688247680664
-108.29045104980469, -40.068817138671875
-108.73542022705078, -40.96278381347656
-109.11843872070312, -41.885005950927734
-109.4367446899414, -42.83149719238281
-109.68772888183594, -43.7979621887207
-109.86945343017578, -44.77971267700195
-109.98103332519531, -45.7718391418457
-110.02299499511719, -46.76944351196289
-109.9966812133789, -47.768104553222656
-109.90106964111328, -48.76315689086914
-109.73133087158203, -49.74831771850586
-109.48538208007812, -50.71728515625
-109.1705322265625, -51.66619110107422
-108.80174255371094, -52.59550094604492
-108.39591217041016, -53.50938415527344
-107.96721649169922, -54.41459655761719
-107.527099609375, -55.314361572265625
-107.08293151855469, -56.21076583862305
-106.6409683227539, -57.10764694213867
-106.21066284179688, -58.00978469848633
-105.7978515625, -58.92061996459961
-105.40400695800781, -59.840126037597656
-105.0382080078125, -60.77086639404297
-104.72854614257812, -61.7218132019043
-104.51606750488281, -62.69833755493164
-104.44129943847656, -63.69425582885742
-104.54635620117188, -64.68701934814453
-104.86412048339844, -65.63256072998047
-105.39015197753906, -66.48095703125
-106.08007049560547, -67.20390319824219
-106.88143920898438, -67.80119323730469
-107.75263977050781, -68.29116821289062
-108.66053009033203, -68.71155548095703
-109.57953643798828, -69.10755920410156
-110.4928970336914, -69.5114517211914
-111.3966064453125, -69.9382553100586
-112.2879638671875, -70.38949584960938
-113.16748046875, -70.86306762695312
-114.03743743896484, -71.35587310791016
