inner_point, midpoint, outer_point, 
[-76.50466080844768, 6.159352916109668], [-76.43935863329955, 3.544300562189477], [-76.56431791964465, 0.9293400004055314], 
[-68.3561938414535, 6.155421667058263], [-66.92970788351222, 3.5422219419647405], [-65.50322192557094, 0.9290222168712319], 
[-60.39798833595253, 6.151582210143104], [-59.263573132737164, 3.540196285662418], [-58.129157929521796, 0.9288103611817178], 
[-52.43978283045156, 6.147742753227945], [-51.597438381962135, 3.538170629360067], [-50.755093933472665, 0.9285985054921753], 
[-44.48157732495059, 6.1439032963128], [-43.93130363118705, 3.5361449730577306], [-43.38102993742352, 0.9283866498026327], 
[-36.52337181944962, 6.140063839397669], [-35.78463478379528, 3.52615064875377], [-35.04589774814096, 0.9122374581098995], 
[-28.56516631394865, 6.136224382482496], [-28.118506951756586, 3.5170873653495818], [-27.671847589564493, 0.897950348216682], 
[-20.606960808447695, 6.132384925567337], [-20.78590791401328, 3.4895648069393417], [-20.96485501957889, 0.846744688311361], 
[-19.347468331222814, 5.835945190520974], [-19.801402862914784, 3.320691549657653], [-20.255337394606784, 0.8054379087943033], 
[-17.721470985548933, 5.277130878137754], [-18.424623754837967, 2.838572284655285], [-19.127776524127, 0.4000136911728447], 
[-16.23431613241928, 4.515426482630602], [-17.50334286891629, 2.3738899215507416], [-18.772369605413274, 0.2323533604708814], 
[-14.89898123073894, 3.564289427229113], [-16.423692430801793, 1.651134450091206], [-17.948403630864647, -0.2620205270467153], 
[-13.728443739413024, 2.437177135162756], [-15.587626738574528, 0.883771060525163], [-17.44680973773606, -0.6696350141124157], 
[-12.735681117346587, 1.1475470296610553], [-14.657723273924859, -0.24530025483443296], [-16.57976543050313, -1.6381475393299354], 
[-11.933670823444658, -0.2911434660463783], [-14.079249746108928, -1.238571292608384], [-16.2248286687732, -2.18599911917039], 
[-11.335390316612404, -1.8654369287301336], [-13.51690018831735, -2.6208568481329735], [-15.698410060022326, -3.376276767535856], 
[-11.116704189255216, -2.6992293279288617], [-13.349422263095931, -3.254184350242724], [-15.582140336936675, -3.8091393725566007], 
[-11.030543115418538, -3.1282182049546208], [-13.306341726177607, -3.4686787887556108], [-15.582140336936675, -3.8091393725566007], 
[-10.962470337015674, -3.7767574838641167], [-13.248455183860443, -3.98364975237736], [-15.534440030705213, -4.190542020890618], 
[-10.910606890306667, -7.192162601496662], [-13.19327320459999, -7.383723001819945], [-15.475939518893313, -7.575283402143228], 
[-10.879208935924254, -15.150307094886799], [-13.161711764083378, -15.049793125912686], [-15.444214592242531, -14.949279156938559], 
[-10.87891998165378, -19.946560021437037], [-13.161510082189096, -20.470006836035907], [-15.444100182724384, -20.99345365063479], 
[-10.878440532849709, -27.90476643867352], [-13.161200566361487, -28.13614204353985], [-15.443960599873236, -28.367517648406164], 
[-10.878200808447673, -31.883869647291775], [-13.161045808447653, -31.969209647291805], [-15.443890808447662, -32.05454964729182], 
[-10.878249492242048, -32.780129994825245], [-13.161092459391142, -33.59591106847178], [-15.443935426540207, -34.411692142118326], 
[-10.878681772534236, -40.73833641476365], [-13.161378390962795, -41.262046277326675], [-15.444075009391355, -41.785756139889685], 
[-10.879114052826452, -48.69654283470203], [-13.161664322534449, -48.92818148618156], [-15.444214592242474, -49.15982013766106], 
[-10.901878181089103, -54.40021240430552], [-13.185226453486848, -54.61109487425554], [-15.468574725884594, -54.82197734420555], 
[-10.963418743660782, -60.00479357333691], [-13.248929387183097, -59.96167542351673], [-15.534440030705412, -59.91855727369655], 
[-11.121007364885202, -61.07803128548659], [-13.351573850911137, -60.68899560375772], [-15.582140336937073, -60.29995992202885], 
[-11.625392072435574, -62.73602031255217], [-13.672739473629946, -61.771770391667715], [-15.72008687482429, -60.80752047078325], 
[-12.35439958066965, -64.26765558721269], [-14.381882201527304, -63.24637755177298], [-16.40936482238493, -62.22509951633325], 
[-13.860508596759956, -66.31182231470726], [-15.381478538043012, -64.58876532930748], [-16.90244847932607, -62.86570834390768], 
[-14.161105182285326, -66.6199352734528], [-15.676248896747836, -64.89452078066107], [-17.191392611210347, -63.16910628786937], 
[-15.105279254159711, -67.46855640079374], [-16.445201097046606, -65.58904268464525], [-17.7851229399335, -63.70952896849673], 
